# these ground truth weights were obtained by averaging the results of sigLASSO, SigProfilerAssignment, and MuSiCal
signature	Breast-AdenoCA::SP2293	Skin-Melanoma::SP124319	Bladder-TCC::SP96136	Skin-Melanoma::SP124311
SBS1	0.0055	0.0000	0.0071	0.0000
SBS2	0.4888	0.0000	0.3384	0.0000
SBS3	0.0000	0.0000	0.0000	0.0000
SBS4	0.0000	0.0000	0.0042	0.0000
SBS5	0.0071	0.0000	0.3569	0.0215
SBS6	0.0000	0.0000	0.0000	0.0000
SBS7a	0.0000	0.8508	0.0000	0.5234
SBS7b	0.0000	0.1115	0.0000	0.2680
SBS7c	0.0000	0.0098	0.0000	0.0661
SBS7d	0.0000	0.0079	0.0000	0.0493
SBS8	0.0000	0.0000	0.0000	0.0000
SBS9	0.0000	0.0000	0.0119	0.0000
SBS10a	0.0000	0.0000	0.0000	0.0000
SBS10b	0.0000	0.0000	0.0000	0.0000
SBS11	0.0000	0.0000	0.0000	0.0000
SBS12	0.0000	0.0000	0.0000	0.0000
SBS13	0.4775	0.0000	0.2469	0.0000
SBS14	0.0000	0.0000	0.0000	0.0000
SBS15	0.0000	0.0000	0.0000	0.0000
SBS16	0.0000	0.0000	0.0000	0.0031
SBS17a	0.0000	0.0000	0.0000	0.0000
SBS17b	0.0000	0.0000	0.0000	0.0000
SBS18	0.0000	0.0000	0.0000	0.0000
SBS19	0.0056	0.0000	0.0069	0.0000
SBS20	0.0014	0.0000	0.0000	0.0000
SBS21	0.0005	0.0000	0.0063	0.0000
SBS22	0.0000	0.0000	0.0000	0.0000
SBS23	0.0000	0.0000	0.0000	0.0000
SBS24	0.0000	0.0000	0.0000	0.0000
SBS25	0.0000	0.0000	0.0000	0.0000
SBS26	0.0000	0.0000	0.0000	0.0000
SBS27	0.0000	0.0000	0.0000	0.0000
SBS28	0.0000	0.0009	0.0000	0.0048
SBS29	0.0000	0.0000	0.0000	0.0000
SBS30	0.0000	0.0000	0.0000	0.0000
SBS31	0.0000	0.0000	0.0000	0.0000
SBS32	0.0000	0.0000	0.0000	0.0000
SBS33	0.0000	0.0000	0.0000	0.0000
SBS34	0.0000	0.0000	0.0000	0.0000
SBS35	0.0000	0.0000	0.0000	0.0000
SBS36	0.0000	0.0000	0.0000	0.0000
SBS37	0.0000	0.0000	0.0000	0.0000
SBS38	0.0000	0.0000	0.0000	0.0000
SBS39	0.0000	0.0000	0.0000	0.0042
SBS40	0.0000	0.0000	0.0000	0.0000
SBS41	0.0000	0.0000	0.0000	0.0000
SBS42	0.0000	0.0000	0.0000	0.0000
SBS43	0.0000	0.0000	0.0000	0.0000
SBS44	0.0000	0.0000	0.0000	0.0026
SBS45	0.0000	0.0000	0.0000	0.0000
SBS46	0.0000	0.0000	0.0000	0.0000
SBS47	0.0000	0.0000	0.0000	0.0000
SBS48	0.0000	0.0000	0.0000	0.0000
SBS49	0.0000	0.0000	0.0000	0.0000
SBS50	0.0000	0.0000	0.0000	0.0000
SBS51	0.0000	0.0000	0.0000	0.0000
SBS52	0.0000	0.0000	0.0000	0.0000
SBS53	0.0000	0.0000	0.0000	0.0000
SBS54	0.0000	0.0000	0.0000	0.0000
SBS55	0.0000	0.0014	0.0000	0.0044
SBS56	0.0000	0.0000	0.0000	0.0000
SBS57	0.0000	0.0000	0.0000	0.0000
SBS58	0.0000	0.0000	0.0000	0.0000
SBS59	0.0000	0.0000	0.0000	0.0000
SBS60	0.0000	0.0000	0.0000	0.0000
SBS84	0.0000	0.0000	0.0000	0.0000
SBS85	0.0000	0.0000	0.0000	0.0132
