Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
S0	1000	0.997	152.201	15.22%	23.462	7.561%	0.04878	0.997
S1	1000	0.998	146.246	14.625%	22.906	7.067%	0.05969	0.997
S2	1000	0.998	132.809	13.281%	20.737	6.533%	0.04781	0.998
S3	1000	0.997	154.111	15.411%	23.235	7.499%	0.04216	0.997
S4	1000	0.994	176.025	17.603%	35.123	11.158%	0.04269	0.993
S5	1000	0.997	151.19	15.119%	25.322	8.076%	0.04463	0.996
S6	1000	0.996	176.174	17.617%	26.252	8.559%	0.06035	0.996
S7	1000	0.993	181.721	18.172%	36.652	11.807%	0.05866	0.992
S8	1000	0.995	180.946	18.095%	30.135	9.702%	0.06315	0.995
S9	1000	0.996	164.215	16.422%	29.335	9.311%	0.05771	0.995
S10	1000	0.998	148.835	14.884%	20.467	6.531%	0.0524	0.998
S11	1000	0.995	184.382	18.438%	32.711	10.442%	0.05289	0.994
S12	1000	0.995	179.86	17.986%	31.169	10.0%	0.05472	0.994
S13	1000	0.997	158.676	15.868%	22.159	7.128%	0.05787	0.997
S14	1000	0.998	126.018	12.602%	18.677	5.853%	0.03903	0.998
S15	1000	0.998	138.048	13.805%	20.425	6.649%	0.04646	0.998
S16	1000	0.997	169.873	16.987%	25.28	8.243%	0.05011	0.996
S17	1000	0.997	157.495	15.75%	24.338	7.568%	0.05252	0.997
S18	1000	0.995	178.006	17.801%	30.57	9.701%	0.05215	0.995
S19	1000	0.998	138.609	13.861%	22.288	7.058%	0.04561	0.997
S20	1000	0.997	143.211	14.321%	24.605	7.758%	0.03958	0.997
S21	1000	0.996	192.205	19.22%	27.595	9.031%	0.07124	0.995
S22	1000	0.993	399.079	39.908%	93.712	30.148%	0.5847	0.995
S23	1000	0.994	187.028	18.703%	34.489	10.989%	0.06385	0.993
S24	1000	0.998	141.916	14.192%	21.272	6.977%	0.04895	0.997
S25	1000	0.997	137.242	13.724%	24.258	7.501%	0.03748	0.997
S26	1000	0.998	156.312	15.631%	22.276	7.018%	0.05251	0.998
S27	1000	0.996	173.13	17.313%	27.241	8.427%	0.05673	0.996
S28	1000	0.998	139.076	13.908%	21.48	7.016%	0.04549	0.997
S29	1000	0.998	143.228	14.323%	22.086	6.942%	0.04938	0.997
S30	1000	0.994	178.19	17.819%	34.974	11.002%	0.05815	0.993
S31	1000	0.998	143.55	14.355%	21.781	7.014%	0.04237	0.997
S32	1000	0.995	186.998	18.7%	30.119	9.809%	0.05616	0.995
S33	1000	0.996	153.57	15.357%	26.708	8.559%	0.04164	0.996
S34	1000	0.996	176.252	17.625%	27.346	8.877%	0.06285	0.996
S35	1000	0.995	182.682	18.268%	32.855	10.455%	0.05782	0.994
S36	1000	0.998	145.779	14.578%	19.431	6.295%	0.05212	0.998
S37	1000	0.994	190.742	19.074%	32.759	10.647%	0.06248	0.994
S38	1000	0.998	143.478	14.348%	19.827	6.269%	0.05128	0.998
S39	1000	0.999	117.383	11.738%	15.997	5.057%	0.03924	0.999
S40	1000	0.996	173.435	17.344%	27.978	8.628%	0.06396	0.996
S41	1000	0.998	147.531	14.753%	20.11	6.567%	0.0482	0.998
S42	1000	0.998	120.011	12.001%	17.877	5.586%	0.03563	0.998
S43	1000	0.998	139.174	13.917%	19.912	6.367%	0.04922	0.998
S44	1000	0.997	159.645	15.965%	24.014	7.806%	0.04552	0.997
S45	1000	0.998	144.922	14.492%	19.48	6.293%	0.05798	0.998
S46	1000	0.998	129.939	12.994%	18.725	6.008%	0.04609	0.998
S47	1000	0.998	139.652	13.965%	22.653	6.823%	0.04522	0.998
S48	1000	0.998	136.678	13.668%	19.843	6.207%	0.04475	0.998
S49	1000	0.998	133.893	13.389%	18.132	5.951%	0.05	0.998
S50	1000	0.998	127.416	12.742%	19.537	6.09%	0.03815	0.998
S51	1000	0.995	179.707	17.971%	32.104	10.174%	0.05012	0.995
S52	1000	0.995	184.212	18.421%	33.229	10.486%	0.0529	0.994
S53	1000	0.997	162.496	16.25%	22.845	7.286%	0.06362	0.997
S54	1000	0.995	188.211	18.821%	33.527	10.493%	0.05947	0.994
S55	1000	0.997	174.887	17.489%	25.181	7.971%	0.07231	0.996
S56	1000	0.997	153.933	15.393%	24.734	7.91%	0.0572	0.996
S57	1000	0.996	185.52	18.552%	29.147	9.47%	0.05419	0.995
S58	1000	0.997	140.062	14.006%	23.332	7.455%	0.04083	0.997
S59	1000	0.998	134.339	13.434%	19.333	5.984%	0.04831	0.998
S60	1000	0.998	158.668	15.867%	23.141	7.194%	0.05545	0.997
S61	1000	0.998	149.523	14.952%	20.743	6.754%	0.05716	0.997
S62	1000	0.994	162.206	16.221%	32.303	10.583%	0.04406	0.994
