,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99
SBS1,411.2760370462854,410.10801257221215,422.6202969740557,471.72705647590084,355.216588142638,403.6551087562416,472.76674768558456,403.57741032119543,400.9818913898996,410.2654007708061,446.44061948069526,455.27523539373396,450.86213605455663,441.36526771142314,486.0450772115726,407.2427680113292,407.2530030348536,370.79058183040456,458.2076542879384,419.684872201501,454.30015378402726,458.24325549264466,486.31971583560573,463.38803246763484,452.2102432961145,433.39341126340884,413.9977393163717,403.6132996402911,449.4883039163284,335.13939128769164,431.9278225178877,427.0231357800611,494.6815768361172,366.7615041383788,460.3367309510696,420.69440790038146,395.7482247247921,462.7835320168631,426.77205491438826,373.96802434089585,426.9010646620981,439.99409216866167,413.8367896476865,399.6951718159835,390.85037537271916,412.1889564965593,419.4867877805469,329.49471739821115,391.01414575540974,419.45565209033265,403.1223511999705,456.6535864159109,435.127081015736,448.93512586644283,437.8253707813201,428.47418300527147,461.0116833935839,435.9790987781969,458.7775204711058,422.43513752582265,463.26663442273843,466.88054903816777,381.1277515991076,459.6202438228603,426.7472395350382,401.7636855750876,419.9935329871545,462.54985018278285,408.22727456389293,486.90600322129467,478.8223751657399,449.87498502490723,397.12556971405536,383.3571828052924,439.14454280419704,496.80115835519985,400.81908393323255,431.3673887736376,416.84885539254407,440.29941395417393,401.5881296227635,437.5993631968505,413.76479071806153,397.5567646002078,397.4431118422104,421.09028607820693,467.0421764628189,394.62249195618386,442.60604528562493,434.03953567297935,442.79299320147317,487.0346018512453,449.00359232415116,422.68896841751575,420.12458723251984,459.8717314552738,396.1431957860977,411.4084626524708,413.7958878483307,455.07207758365416
SBS2,138.24539389605818,106.85454703581316,106.97929561776395,92.03765713019949,62.79307970172696,130.00351204780173,92.08023801462876,127.68324754014083,129.17741041152334,98.42139963070079,116.66372458186783,105.01263664092009,147.89705380408597,123.31405695708321,91.57690506486098,86.46713568757346,113.00068470834807,118.6545226873054,110.55550894693266,176.11982012879272,140.16449025159233,142.45556069210932,124.76035406093098,88.08869949088164,118.31249590896985,148.99635417157862,150.5070211868353,161.34750326822663,102.58988095231672,115.93115323664087,122.81809182652827,127.82174637351903,128.57170423202467,112.41457141988394,84.88747231791832,97.50032312094714,132.36104558531076,124.20354684455513,124.24433988435958,136.3256786741751,105.89094483264373,161.40262387793058,128.20084054507316,90.2258059145922,100.21923325960428,138.76641729419177,137.1438608281657,101.23354508977148,130.70116676042466,167.46166525968064,130.5316287497827,98.36517191904026,101.85081019194422,111.58797422069152,152.9565877560983,160.94820629096054,146.12563733537684,78.83382506522729,89.77058913055254,114.82548120899459,106.34365907698715,100.34268468321945,116.2096702019492,128.36071740227726,113.00796093704466,135.92486012428947,133.15218506861706,125.66347452987824,106.93964902638017,124.29303239313217,156.86754333617523,82.66883365428755,156.76677749801738,119.06380336626854,156.6250241926856,129.66796727304916,74.8369115962957,106.34638632464451,128.70290296176657,123.60059063494701,118.62420312100492,129.2526583605253,102.20899037474346,123.16298875158914,90.42175922727614,124.17495396015109,120.6646163372006,140.5189020033961,126.7280385055127,120.18824334106323,97.03597992853217,124.8476207625458,154.27925248466104,118.74410468877701,117.33247574429602,120.03479895632249,148.94554729768922,121.59039274529918,103.90057105469788,108.40797184082467
SBS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS5,982.368766665518,1238.4206595393775,885.4725372007854,0.0,1012.2191575101451,1012.8882822455961,0.0,995.4736941679297,1310.3705791872087,1034.866821985349,677.6477338154749,0.0,872.3096805509508,1100.1394483331278,650.7910087863668,1013.2997080489107,1031.7206930126094,1134.8880095785767,973.0096116433826,1146.104298483884,978.7463171499636,797.409816749292,1145.8293007953441,903.7629010147413,844.1353814074886,937.1488328236816,1033.3629669501115,1083.8191253162865,1149.5003118162815,0.0,992.6919979390955,1130.9926031947107,0.0,1204.6576286225566,867.3425140273284,862.7451291704365,1063.6587234682088,0.0,1035.211921737094,1054.918194346783,1158.2235428164067,1166.5716344167674,851.3942952519284,1141.968831936728,1034.029850868213,1102.2288591985032,1037.2981675294564,1109.3120281542751,1352.9230946158377,1067.5976941692516,1091.9369625403574,1009.2869093802011,953.1772518583806,596.1642664335724,842.9370220681978,1151.9915552582352,1105.3061712818874,1018.4972981737425,930.0052869427249,1058.724153252843,0.0,1111.3169126561397,1155.59224731976,877.1736168554439,999.3129274129008,1099.3977417547424,861.8744663571845,1163.0323923115648,991.1997591463149,953.0136500087021,705.6450861976613,829.9475506067711,929.9650385980887,1339.180301232834,1064.1346215686847,916.2797880296508,1003.6849606649207,816.521810524338,1094.4634062432442,926.9497018183955,1164.365918727749,981.20299762914,1035.6754624009207,890.5866122806384,1096.373327911293,806.020680992087,1069.9029895961426,1147.1347327793155,1051.4914741862028,1070.7135074992923,976.7288863208911,839.8680891962888,990.0006700907308,1020.1487352952092,1186.0742836450784,967.5941400108903,1023.2804002804512,1112.6036953280948,1146.5896511196556,853.9030844750313
SBS6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.4742372528376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.50629139048925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS7a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.55760996218615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.29515590010345,0.0
SBS7b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5084637016837,136.86394405083462,0.0,0.0,0.0,0.0,0.0,138.88745502318676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.70147507224007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS7c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.53310996569631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS7d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.370847490262555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
