"","S0","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99"
"SBS1",361.0157,300.0914,316.0434,396.0477,224.3162,319.2816,302.4048,283.7634,371.2402,320.4583,365.1701,376.5421,323.4616,383.3824,434.2464,264.9461,308.9465,233.8396,372.8805,383.2402,361.3724,404.8635,430.5007,357.0768,391.7603,297.6711,307.2785,249.4965,321.9822,344.9506,380.2293,385.9732,426.1574,277.7532,416.5697,404.7374,304.5359,375.9023,381.9499,314.4377,396.2452,331.2542,384.8983,321.2294,291.1518,291.209,380.882,351.7169,283.2838,373.8533,264.1201,436.6762,338.5509,390.6481,329.7402,355.646,361.4317,342.6655,369.0517,326.5248,382.6586,366.6965,259.3321,404.9638,411.1145,302.3843,372.7606,405.1794,341.4962,445.1719,431.4672,380.6631,223.2691,298.0756,354.0199,430.3416,297.4081,385.2863,314.7398,400.9659,340.6063,389.5102,365.0741,303.2299,201.6887,363.0632,415.0975,282.2592,371.1471,322.9253,351.342,398.4664,383.3846,344.7671,300.8581,372.555,336.3842,338.1015,328.5094,391.8542
"SBS2",142.2845,97.3802,85.456,101.0261,57.6914,118.7218,128.5623,138.4494,124.2867,115.6731,135.9529,115.1969,125.7567,89.234,76.9218,59.4554,124.7895,128.9502,95.2734,152.5483,124.4307,133.8606,92.7036,92.1313,118.698,150.2851,143.422,167.8427,108.7476,121.7016,105.5367,120.6326,126.8969,116.0329,106.1259,84.2383,142.5228,139.6481,106.1155,139.2637,105.1226,138.1231,82.0307,92.0776,98.0296,129.3678,144.3334,103.2608,150.6701,150.808,127.0166,95.9451,110.0476,122.6715,150.4474,130.0435,125.6392,98.7896,96.8492,104.8235,128.2187,100.6204,154.1618,137.4764,121.8905,133.6836,151.6822,113.3627,104.0621,139.684,177.6616,54.1172,156.8241,97.5214,141.1305,124.5143,92.5233,88.8353,151.289,111.0315,130.1481,118.562,99.4477,132.1819,108.7391,148.2681,120.7861,110.1276,92.1149,113.144,96.2808,109.1768,157.855,109.3949,131.2243,115.6193,138.6898,120.5503,102.3212,92.2842
"SBS3",0,0,155.7316,0,0,0.1331,0,127.3879,0,0,0,0,0,237.8672,0,0,91.3322,205.0123,0,0,201.9511,0,0,59.9733,0,0,251.3208,155.8715,235.3244,0,0,7.5861,0,92.7421,238.6041,403.7018,0,423.0738,0,343.4111,0,0,0,0,0,0,15.6979,6.2242,0,61.3402,0,89.1813,0,0,0,0,0,22.5646,74.026,0,33.2266,0,2.8586,177.9525,12.7669,68.7377,480.6287,0,190.5242,199.9564,0,0,0,42.3903,0,59.3006,0,0,0,0,0,0,152.1691,343.7901,112.2359,0,172.8761,0,0,12.4878,0,0,166.5868,0,0,0,0,66.469,47.3225,0
"SBS4",0,0,0,16.496,0,50.1514,43.4681,0,0,31.4872,20.7932,29.4959,0,0,35.4312,0,119.0202,0,0,0,27.0006,0,0,0,0,0,0,0,0,0.9052,0,0,15.5084,31.2328,29.7031,0,0,0,47.5633,18.8355,0,0,0,0,0,2.9684,43.3626,0,0,0,151.5146,0,0,108.097,56.1759,0,0,0,0,0,68.7945,115.6959,0.0584,0,0,11.9506,0,0,63.4899,0,0,34.9112,0,0,140.5291,0,0,0,0,138.0184,78.4905,38.2704,62.2508,4.5859,0,0,0,30.0786,43.1244,82.4899,0,18.1561,0,90.4286,76.3314,30.5694,0,82.1053,1.2229,0
"SBS5",446.2398,537.1436,385.1768,0,354.6185,293.6587,0,364.9261,257.5001,129.9981,431.1611,461.5228,0,470.816,0,261.878,205.7947,0,814.3509,835.933,0,255.7237,63.3893,49.2785,0,0,0,466.9887,0,0,0,61.413,384.3615,282.1475,201.0285,100.2674,393.9214,0,6.2188,595.51,464.956,555.5339,41.4422,716.3603,31.6061,353.75,0,650.6425,334.643,0,597.0971,43.1068,121.2588,0,0,309.7859,371.7953,0,0,524.7853,68.0901,0,620.8117,39.8777,314.8709,192.4878,0,271.9803,214.3186,0,0,229.3652,0,625.6637,0,0,570.0361,94.1192,0,0,548.2054,689.2145,675.7501,238.0276,459.6952,0,0,447.1149,251.5196,779.9714,139.1144,357.3487,0,149.214,166.2521,496.7738,325.5897,87.7803,190.1636,0
"SBS6",3.6233,206.4735,129.2942,0,229.346,133.4969,296.1811,149.5067,1.8674,253.6438,68.9978,0,259.5938,0,0,236.5127,165.7131,333.1685,34.8817,0,66.5092,0,0,246.6015,98.9223,142.6585,27.4846,180.8759,277.2963,77.9358,41.0629,0,0,73.6189,59.0145,0,169.3193,63.6443,0,76.3025,0,226.3965,97.9533,93.7129,223.669,204.3675,114.3308,6.7246,218.0619,16.7453,255.215,0,193.5283,84.8876,120.7918,154.34,66.6169,236.0667,143.1453,88.0578,132.5833,122.0364,307.031,91.1057,0,241.9519,165.0308,0,0,33.931,94.6449,49.5783,365.0018,188.5318,0,0,189.0716,0,214.9416,0,50.2164,12.7278,121.5597,123.3615,296.99,167.7137,0,133.7638,0,153.4083,213.7558,0,115.2022,166.2138,293.1928,0,11.8724,184.6557,0,0
"SBS7a",15.0961,52.8105,99.4801,7.9952,47.5036,33.2264,19.3704,18.2663,2.8352,0,0,32.3427,24.6198,63.5303,0,129.3267,0,0,18.2039,59.4158,23.2043,65.047,63.3245,0,0,0,0,0,34.1894,0,0,0,0,0,0,113.5917,18.6329,38.845,50.471,9.6655,54.2419,0,96.7993,31.443,50.5159,0.9322,7.5191,41.2831,0,7.8725,41.3254,36.4745,0,0,62.1417,60.164,19.432,0,0,28.274,0,14.1113,0,0,41.5377,43.777,0,0,10.1849,11.5913,10.137,52.8224,59.9519,98.4715,6.3594,0,106.7628,3.5844,0,23.834,0,4.9975,54.072,75.3753,0,0,0,47.0964,64.8177,0,0,0,0,38.694,57.6262,30.3828,37.209,0,86.5059,0
"SBS7b",111.5125,0,0,13.3646,23.9823,51.947,70.4605,26.4284,0,21.4257,0,0,146.0602,141.3885,0,26.852,34.8529,98.0106,56.0312,84.8569,0,0,0,0,0,18.2847,35.1958,0,74.2651,0,0,0,0,56.8134,0,0,85.1583,0,0,0,0,95.395,0,7.2732,34.9068,0,65.2611,0,6.8408,0,0,0,8.6744,0,0,0,0,54.2679,0,68.0742,130.7936,67.1344,148.7635,0,84.2712,32.0672,0,0,31.996,0,104.9759,21.3015,77.8424,0,0,0,22.1986,0,53.6675,0,0,0,0,0,46.5805,43.9231,0,0,0,38.8564,0,0,0,0,35.8947,0,0,0,0,0
"SBS7c",0,5.2484,0,0,66.0289,6.8163,51.7046,0,0,0,0,3.049,15.8037,12.4522,3.9354,0,14.4413,0,7.6282,0,7.9311,1.522,3.9862,0,46.4238,0,0,0,0,0,52.1027,0,0,29.4498,28.1369,17.9775,0,0,0,0,0,20.0473,0,0,2.8206,0,0,22.202,0,30.3027,50.1163,0,15.8728,0,36.8093,34.6729,26.145,4.123,0,28.6347,13.6423,52.0255,0,0,0,53.7961,0,0,1.9056,0,0,0,17.4941,0,5.396,3.2202,2.8333,0,0,0,0,0,32.0592,0,30.5164,25.4331,0,0,0,0,8.556,25.4754,0,4.4942,6.8024,13.6947,0,0,8.425,0
"SBS7d",0,16.8678,0,20.2193,0,0,19.3711,0,0,34.3594,35.3965,34.5229,0,0,41.0832,48.1615,13.6757,33.9021,0,17.7653,10.1799,8.5095,0,0,7.8025,25.0185,11.8096,0.3436,0,19.3228,0,22.9531,0,0,0.3393,0,0,0,0,0,29.7405,0,0,10.0551,18.8512,11.729,0,0,21.2583,30.7129,38.7618,6.6091,9.5275,6.9334,0,18.502,18.8122,0,0,8.1373,0,39.4147,0,30.0651,7.2899,0,0,13.8635,7.4963,0,19.9524,0,5.2911,10.8342,2.1305,0,24.9633,19.7777,0,0,3.8203,6.7058,25.6269,0,0,3.3316,23.7099,52.1397,25.2585,0,22.0352,15.0297,20.207,1.9545,0,0,16.3798,0,0,0
