"","S0","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99"
"SBS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.693,0,0,27.9408,0,0,0,0,0,27.1615,47.7598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7842,0,0,0,0,0,25.1171,0,0,0,0,0,0
"SBS2",34.5638,41.3186,0,34.3963,36.1514,43.4297,40.7183,38.3988,27.8746,39.1097,38.0853,43.2731,35.3354,0,43.702,45.9681,37.8031,26.5975,22.4404,48.4771,0,43.1391,0,36.0256,30.6489,0,51.7534,37.4957,32.0837,36.3024,36.1185,37.6219,0,26.0252,0,0,0,25.007,30.4265,49.2781,38.5007,0,46.5517,30.4754,22.6428,40.1744,34.6386,27.7885,0,0,0,26.7517,32.4334,55.9078,35.2124,40.8922,54.2021,0,0,56.704,54.9237,43.496,41.4858,33.6179,0,32.8222,0,43.312,45.4488,44.6199,28.3268,35.5297,44.6023,0,0,23.7308,32.2509,26.1453,53.7227,42.5546,0,26.2463,0,23.7228,0,37.8347,25.3239,0,24.6808,48.4167,24.8518,0,35.9895,23.2249,0,29.0211,0,49.4423,0,31.5683
"SBS3",0,0,0,0,0,0,0,0,0,72.3105,49.4083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.1852,0,0,0,0,0,0,0,0,0,0,0,0,0,107.1093,0,0,0,0,0,320.8487,0,0,0,0,0,0,0,0,72.5417,228.5493,126.067,0,0,132.798,0,0,0,0,338.0548,0,0,0,0,223.3514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBS4",104.1649,211.0936,82.0646,113.7033,166.5102,131.3797,152.1376,0,150.4678,0,152.8582,147.366,208.3487,201.4781,94.3844,153.0678,242.2956,151.9651,149.7052,175.1495,0,310.3734,220.4418,190.3006,108.6726,0,160.8125,92.0904,206.5663,207.1647,204.3749,107.4779,104.566,72.0754,0,71.5285,0,103.4824,97.2868,104.4674,88.1933,79.8566,115.7784,85.6365,143.0262,157.043,176.0071,151.5987,127.8948,168.7666,117.3636,144.6576,160.073,0,67.4591,144.583,162.9566,122.2993,94.3752,0,193.3239,193.2579,128.8412,167.3643,0,115.4326,135.7203,143.968,90.5285,233.3401,72.7886,58.3748,203.0976,113.237,140.0758,0,141.1105,56.2106,0,78.9685,0,52.2806,0,0,245.2174,96.6032,0,77.2652,196.2882,176.8435,172.6821,125.0137,164.0925,27.7607,100.6372,0,0,87.3054,109.5232,67.7503
"SBS5",0,159.3973,368.3127,0,682.3044,600.469,565.464,619.0115,281.3177,337.3603,281.2071,418.0848,661.6877,0,604.5753,0,0,188.6138,294.3011,575.1346,0,251.0636,765.9233,427.5621,0,663.7011,548.8608,0,292.6775,277.2827,382.0977,469.2123,0,453.7844,0,283.2099,0,224.4759,316.3524,101.9633,289.3477,0,588.9237,237.1478,473.8461,142.9103,481.7888,0,490.1346,545.2528,565.2822,481.085,342.7447,0,189.8942,483.9748,0,0,0,0,585.5845,567.1834,531.6969,191.6718,602.6067,496.24,0,0,531.8927,0,242.2552,257.2729,646.94,282.2523,741.3729,256.9039,282.0033,250.6648,0,343.9819,391.4775,209.1331,533.1959,0,401.3243,355.0043,0,221.3742,423.0449,530.4611,0,467.7897,132.4672,273.4422,0,690.5437,431.6587,0,528.499,171.2193
"SBS6",66.5239,70.7392,0,64.7656,0,0,0,0,49.9993,43.763,51.5392,46.9052,0,53.0153,0,60.291,74.7225,57.806,0,0,0,46.1821,0,53.7584,78.5851,0,0,0,36.9656,53.0404,0,0,61.5792,0,0,50.7294,0,38.0325,40.7538,64.5405,0,0,0,0,26.5921,44.4055,60.5484,44.6158,0,0,0,0,56.4898,84.2556,46.9027,0,57.9124,57.5552,0,0,0,0,0,58.732,0,0,91.4797,80.5822,0,76.0936,41.0217,50.4594,0,61.2962,0,61.706,66.4005,49.4885,0,0,0,44.3478,0,0,0,0,0,0,46.4802,0,55.1644,53.8423,79.0263,0,0,0,0,60.6028,0,48.77
"SBS7a",0,0,0,0,0,0,0,0,0,0,0,0,0,72.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.1202,0,0,0,0,0,0,56.5174,0,47.0453,0,0,0,0,0,0,42.6309,0,0,0,0,0,0,75.0608,0,0,0,0,0,0,72.6684,0,0,0,53.1658,0,0,0,0,59.78,0,53.1718,0
"SBS7b",0,0,0,0,0,0,0,0,0,0,0,45.379,0,0,0,0,0,34.4461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBS7c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBS7d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
