,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99
SBS1,4559.639583635039,3748.4943440017514,13340.602230749497,4712.144633618541,6111.002301629813,1868.5122605685235,3436.897828601228,1482.4042883722386,684.484502655061,4626.600030909232,828.2103294667552,3909.56208039706,6071.15351269403,7848.58973968676,0.0,7088.466122739461,3757.58453827274,9309.984948907882,3458.32504632821,2062.224648886873,4740.512145915877,4784.8145240318945,999.0289462417336,1404.848161350924,0.0,4529.543557379455,3577.8722781004694,7204.992557472918,6071.892674917232,7138.538444162702,4633.729941312914,6609.637842786766,2901.4582242154966,6489.827378319999,7055.28382263599,9199.647419858062,3484.709404577178,6210.200204167053,5318.410538377927,3890.2149357818425,0.0,7283.694732982412,1366.5597422737662,5790.130251832279,1547.7547825153638,1066.710123458903,13415.598671063288,3943.169270131958,1389.367194788096,6857.980603934051,6050.995102266117,7349.8208010973,2679.4124610137533,0.0,6283.833841693638,0.0,7221.105734390474,8331.881600960485,3514.9214152046825,743.0911888686318,5591.46049256438,8370.876800045913,3167.399784210963,0.0,6281.7057194767485,5496.397183940846,1943.1210207724455,7163.049967296739,4620.588129394438,13543.990999079731,7437.324892444114,6160.51115568169,3915.565013126215,5346.433585350031,3028.4898277398042,4295.657564805423,3624.616032299505,1993.460477810852,9236.983887194552,3401.3682966655265,970.7464172646268,1950.1276784574889,1443.233374685167,7864.802575526705,7142.207769360174,1801.0050284097697,5936.713114759267,2848.5307924061826,6146.561693223188,0.0,7978.911723515875,4409.70236331546,4857.530059088756,875.9715987557989,2947.112940366755,6769.071094724664,1816.3947671385663,3579.586287031668,7275.8118718286605,5684.221883900584
SBS2,0.0,4805.126531500537,5442.867079810745,14273.018946546303,3362.526818091223,10185.123603725267,3194.202111919557,1695.2685150101156,17083.02347237446,2810.108580889008,19989.325689748544,10451.937774585023,7989.716804144692,3383.3417820235995,1057.6046003561423,3032.4839274532756,4893.322392150745,3752.0810618064984,0.0,16125.438205579832,14141.384107884016,2886.77365087672,6161.53789025836,1593.2240057679642,1268.38907853908,0.0,0.0,4792.21225152143,4610.865367640391,3084.5138771725315,0.0,5604.338443558202,5961.92937896768,2849.1440017100103,4656.45995777043,3931.767136907214,3282.5411352902856,3393.2995897965657,8553.885505366345,1863.8209982295214,1180.5792637147085,4728.6099388468665,1547.076551995467,12577.512859520166,1671.8951481636752,6207.963257745245,5246.830255173482,4919.149012502008,698.6165242616929,5381.933173930847,4415.981002047785,2588.8570407068796,14977.774273094072,1236.6413575513648,0.0,1025.3680279074,2670.700527900365,3324.281571392757,9346.541905383114,20023.991203121324,3259.664546606091,3602.208700644064,17202.95383001542,1227.1909679578396,2942.3093629594937,12507.389302040767,4038.6456485086183,3129.767673177556,0.0,5472.738176981338,2565.0093484018535,3470.5822152223122,1872.9075034281161,8538.035275974746,17223.67558220983,8335.068835327038,3276.1941327047844,15780.148994435953,3939.5114909349513,19066.51821505471,6165.4267865728125,4011.520874773867,780.0591268156393,11943.868577693756,3109.0811785730643,7848.078928132607,8174.018658897071,1027.9892823252258,4510.9786564573715,1217.0118926774123,12116.288966880496,8369.600194428947,13984.106898687382,5038.540356530128,16992.41347810744,5460.67664560924,9923.24360050619,3233.646897243172,2626.6714198939753,3156.3717389992785
SBS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13704.995982849889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24977.25903899121,0.0,0.0,0.0,0.0,0.0,0.0
SBS4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12689.981388099033,0.0,0.0,0.0,0.0,0.0,0.0,26180.10660923714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12881.328960966592,23208.259835538476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23211.985344857847,0.0,12909.955430742457,0.0,12850.586105408562,0.0,0.0,0.0,8891.327709410267,0.0,0.0,0.0,0.0,25960.563586865737,0.0,25969.46935787107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23636.65968724352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8666.899532214757,0.0,0.0,0.0,0.0,0.0,0.0,23343.343466343485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS5,13674.94247878848,12057.350271860574,29052.7304564328,9615.695270688611,22796.842568172204,13896.507059497464,24199.510193380607,32003.93316514215,12118.589012478331,30575.4966894648,6976.015267115313,9508.543411193063,18584.665122759616,26347.86235676663,20724.38315527333,26213.962127495804,11885.026301121525,22282.802202540497,9758.408328590618,12563.544513750543,9897.066576257936,30479.603371597426,7140.921454086423,31986.059134304134,23632.161044806464,13799.6098738939,8166.468084968796,24307.663179999567,24674.630864170384,25720.934800718736,13862.42535471839,31584.740197672694,5295.825075843672,10714.379607846035,24607.41191136352,22463.692771899383,24415.48563539815,22711.204270007696,10713.91182014056,13087.391011504724,23617.55281871852,24668.528770709658,32041.60767959286,11964.009954319949,31747.627393331648,5590.682699901203,29103.609621797103,11543.158003702745,16122.953544561911,24284.192632503615,25263.712319248156,10769.462240595214,6674.659693365629,20522.915442441954,10609.11822073792,20772.063686018333,11649.27826275839,15160.559316556351,10053.087431083462,6780.561134315721,25594.08117431108,15489.398479623997,17876.70587263179,23227.605556265513,10878.13009191619,12121.037329325509,12759.261678731196,26037.10758352321,13684.572050532486,28622.04432975819,11390.056399792198,22661.65691761359,12578.624536996083,11461.404367384093,17853.799368991717,20850.934939010967,24156.25655803113,12713.483452717011,22291.86542005911,11811.968398633457,6564.523767667558,12765.682820089545,15141.25623838816,26337.682721206078,25294.093017696858,28623.508719263533,18582.75283722103,23101.68154467643,25000.990022763413,23467.828845217024,26280.03487547667,20680.336283486176,8773.824345074763,13176.952939621691,17681.49917109899,24582.94627835593,14408.791269679337,24284.409691797176,11202.950940887416,25433.379671411563
SBS6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS7a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS7b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2962.675611846423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2836.268423838773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3099.6932949852726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS7c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBS7d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
