"","S0","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99"
"SBS1",177.4018,108.9196,463.8553,195.594,224.7001,97.6566,147.6227,73.6318,28.6991,170.2949,53.8028,143.3457,242.3085,322.166,4.926,264.0162,138.4665,422.1167,139.3314,52.1201,208.173,148.0729,28.6135,35.3411,0,223.4841,123.3349,276.0156,244.697,311.5112,162.32,226.8851,128.9479,279.9464,282.5029,406.7096,113.4688,267.2732,213.4864,169.2543,9.1641,348.0055,27.5301,233.6607,76.1553,8.7048,546.7922,122.7829,56.9062,270.8185,202.6988,291.4057,83.3492,0,201.3961,0,282.242,291.7186,124.5571,8.4183,195.8215,351.5381,131.6476,0,262.5609,234.2996,78.8593,274.3745,147.1627,500.1499,277.9626,209.8897,163.0937,231.6287,104.3826,159.1079,114.2575,69.0161,278.1672,149.8122,34.7104,36.338,32.3113,309.594,280.0276,40.7034,254.1036,59.2143,272.7786,0,309.0369,165.9499,181.8222,20.4099,122.2109,280.1623,63.2667,145.5683,290.4792,267.4897
"SBS2",15.9964,208.3939,221.3775,564.4384,145.5556,370.2658,129.4192,82.1361,653.7738,98.9646,831.4316,466.8612,353.7093,158.0912,39.9891,105.2516,167.2439,147.6396,17.9716,632.5391,554.8864,117.6741,258.5349,66.4485,53.2697,0,0,179.0806,176.6065,121.5245,17.3803,220.8187,203.2649,117.0887,164.5769,126.1198,145.9373,119.3602,351.5452,117.9089,38.775,172.1767,60.9233,434.9524,43.6896,232.7693,214.9826,197.8228,12.7992,226.61,177.2061,95.181,543.9066,63.673,12.2569,42.0838,136.6405,159.9969,384.7273,802.5125,103.3245,153.1631,700.8332,58.8771,136.0338,472.7274,174.8587,98.6821,12.3897,205.7575,103.3405,131.7867,72.3676,371.8834,649.838,347.227,108.3978,588.3463,186.981,721.4629,237.6399,188.3063,22.2571,444.9076,175.6061,316.4848,288.0235,43.4508,182.335,68.3263,476.0119,334.7904,603.4487,201.0375,703.9495,245.0106,372.5551,136.1186,83.4683,120.2213
"SBS3",74.5396,0,0,0,0,0,0,114.6045,0,0,0,5.8887,0,0,0,0,0,0,82.835,0,0,0,0,0,0,81.3191,0,0,0,0,0,0,87.1688,0,0,0,103.2878,0,9.0306,0,0,0,0,0,0,18.646,0,0,0,32.5566,0,0,0,104.2247,0,0,19.9257,130.4102,317.7826,0,0,125.2902,0,4.823,74.631,7.8174,125.5881,0,0,49.7623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1158,0,0,0,0,653.7349,0,0,0,0,197.3703,0
"SBS4",12.3196,28.8085,0,11.7324,0,0,0,504.6483,0,0,0,0,0,0,789.3043,0,0,0,14.3206,0,0,0,0,472.1454,786.1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0967,822.0231,12.9074,429.2875,0,313.0746,0,0,0,338.1653,6.3652,0,0,0,961.182,0,995.0436,0,0,0,0,0,0,0,795.4046,0,0,27.9115,0,13.0515,0,0,0,0,85.853,0,0,0,0,0,0,0,0,217.1098,0,0,0,0,0,0,828.7656,0,0,7.5019,0,0,0,0,0,0,0
"SBS5",168.804,573.9973,976.9821,152.8774,613.5606,181.5438,176.7764,673.0922,132.1769,982.6035,0,0,222.8491,748.1119,304.1343,774.897,416.0638,496.2759,0,243.3109,0,842.8196,189.4425,893.8359,771.2405,0,257.877,766.0208,669.7063,579.0959,379.127,898.1549,0,0,557.5957,438.2223,325.6942,261.5905,7.2916,232.1686,622.1141,214.8814,858.1878,297.8008,250.6041,107.9462,744.6108,292.9762,167.1065,653.2219,895.1162,0,0,23.3386,187.3893,488.6377,88.4138,298.8375,0,0,672.5596,0,245.7377,600.2561,0,93.7883,356.1958,341.7805,242.4115,449.1496,353.8691,618.0633,109.3787,2.0223,390.8489,304.6498,687.5508,220.2514,512.0336,156.9488,0,82.3819,0,607.3832,642.7927,784.1526,284.46,501.2071,716.0905,654.7598,504.8435,453.5943,0,301.9219,208.0076,674.7779,144.8626,636.6726,0,630.015
"SBS6",0,31.1676,48.9575,0,27.1475,0,0,13.0517,0,0,0,50.1967,0,0,0,36.1902,16.8436,0,0,45.6595,0,56.4326,27.3586,57.5801,26.6729,0,13.4359,50.6557,35.4634,0,1.5293,23.0826,0,0,0,0,52.7912,0,0,22.1061,0,0,56.9457,6.0225,0,28.7734,0,42.2298,0,10.5703,12.4248,0,9.3442,23.978,44.9643,0,0,0,44.676,46.1599,0,0,17.4753,0,0,3.7843,2.0299,61.8418,52.7369,162.5344,14.0703,120.8135,0,19.4502,43.3819,9.1712,0,16.7594,128.1635,0,0,75.6412,5.2687,19.2424,15.8117,76.8821,0,86.4528,0,0,0,49.1917,0,15.3885,67.9324,0,0,25.5134,57.7063,0
"SBS7a",0,0,0,35.7357,7.9884,0,29.8156,0,13.6132,34.4011,0,0,43.0505,0,0,10.2734,0,3.6962,0,19.4631,7.6431,3.7854,0,0,0,0,0,27.3379,0,0,0,47.8218,19.4057,0,0,0,6.1616,0,0,0.343,0,37.3812,0,0,0,7.7531,0,0,33.0936,0,0,10.6978,55.0556,30.605,8.6023,0,0,0,0,0,0,18.3368,0,0,0,6.623,0,0,0,0,20.108,0,0,0,7.0522,2.8545,15.3828,0,0,0,0,0,23.2147,0,0,0,0.6958,0,0,4.6203,0,8.6912,0,0,0,7.4181,32.2805,0,0,24.3912
"SBS7b",0,0,0,0,7.9434,0,0,0,0,0,0,0,0,0,0,0,21.5118,0,0,8.3425,36.6561,0,64.0839,0,0,0,28.1398,0,0,0,0,0,37.2069,0,12.6256,0,0,0,0,0,0,13.1565,0,0,0,104.0063,0,14.081,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,22.1194,0,16.2241,0,0,1.1861,0,15.5873,0,0,0,8.8796,36.5184,118.1573,0,0,15.196,0,0,4.1279,30.1164,0,0,0,0,0,0,0,0,25.7095,0,0,0
"SBS7c",2.3695,34.2871,0,3.6674,0,0,17.7332,0.1929,0,0,0,0,0,1.699,2.5984,0,0,16.2264,0,0,14.1748,31.5784,16.6371,0,23.3797,26.5727,0,0,16.078,0,0,0,7.3901,19.9743,6.402,0,0,13.3805,14.8082,63.7821,0,0,11.1559,0,0,7.5375,0,0.0786,0,0,0,10.1058,4.6474,17.8003,18.694,0,24.672,5.112,22.6016,6.2081,0,0,0,0,12.1904,0,12.8726,7.9855,12.6861,13.1548,0,0,2.0952,18.8475,7.9768,0,0,0,0,0,10.7393,0,0.2384,0,12.2685,0,0,13.0829,0,0,0,0,14.894,8.0201,3.8234,8.839,4.1046,0,15.3678,16.9415
"SBS7d",15.7963,0,2.0516,0,11.5792,0,8.4336,9.0441,3.4065,0,0,6.3041,0,0,8.4303,0,15.4481,0,0,15.1365,0,0,16.598,15.7087,0,0,0.2863,8.2338,0,0,0,3.539,0.3579,0,0,5.0767,0.5915,0,4.814,2.7968,0,0.9272,0,0.7589,0,0,0,11.7662,0,0,0,0,4.6641,0,0,0,0,0,0,0,0,8.7306,0,27.0741,22.2712,0,0,0,13.7301,3.7619,0,14.4555,35.5264,0,9.6926,0,0,27.9973,0,14.6558,18.0405,12.4616,0,11.7564,0,2.1797,0,28.8338,0,0,16.6084,16.297,19.9416,6.7048,0,0,8.8051,0,0,0
