Sample	SBS10a	SBS1	SBS29	SBS3	SBS26	SBS19	SBS15	SBS10b	SBS6	SBS30	SBS13	SBS7a	SBS44	SBS5	SBS2
TCGA-AN-A046-01A-21W-A050-09	2713	278	0	0	0	0	0	4024	0	0	0	0	0	538	0
TCGA-D8-A1JG-01B-11D-A13L-09	42	19	11	0	0	0	0	25	0	0	0	0	0	81	0
TCGA-3C-AALI-01A-11D-A41F-09	0	36	0	0	0	0	0	0	0	0	366	0	0	126	284
TCGA-5L-AAT0-01A-12D-A41F-09	0	10	0	0	0	0	0	0	0	0	74	0	0	78	116
TCGA-5T-A9QA-01A-11D-A41F-09	0	14	41	0	0	0	0	0	0	12	0	0	0	0	0
TCGA-A1-A0SQ-01A-21D-A142-09	0	14	0	0	0	0	0	0	0	0	0	0	0	14	0
TCGA-A2-A04W-01A-31D-A10Y-09	0	12	0	0	0	0	0	0	0	0	69	0	0	54	52
TCGA-A2-A0CL-01A-11D-A10Y-09	0	23	0	0	0	0	0	0	0	0	82	0	0	27	73
TCGA-A2-A0CT-01A-31W-A071-09	0	29	0	0	0	0	0	0	0	0	16	0	0	49	29
TCGA-A2-A0CX-01A-21W-A019-09	0	18	0	0	0	0	0	0	0	0	124	0	0	63	163
TCGA-A2-A0D3-01A-11D-A10Y-09	0	17	0	0	0	0	0	0	0	0	0	0	0	17	0
TCGA-A2-A0EQ-01A-11W-A050-09	0	17	0	0	0	0	0	0	0	0	152	0	0	67	78
TCGA-A2-A0EU-01A-22W-A071-09	0	20	0	0	0	0	0	0	0	0	0	0	0	35	0
TCGA-A2-A0SY-01A-31D-A099-09	0	13	0	0	0	0	0	0	0	23	74	0	0	13	54
TCGA-A2-A0YD-01A-11D-A10G-09	0	10	0	0	0	0	0	14	0	15	24	0	0	0	25
TCGA-A2-A0YH-01A-11D-A10G-09	0	12	0	27	0	0	0	0	0	0	30	0	0	14	20
TCGA-A2-A0YK-01A-22D-A117-09	0	10	0	0	0	0	0	0	0	0	255	0	0	0	216
TCGA-A2-A0YM-01A-11D-A10G-09	0	21	0	0	0	0	0	0	0	0	21	0	0	51	18
TCGA-A2-A3XZ-01A-42D-A23C-09	0	10	0	0	0	0	0	0	0	0	15	0	0	21	10
TCGA-A7-A0CG-01A-11W-A019-09	0	17	0	0	0	0	0	0	0	0	0	0	0	37	15
TCGA-A7-A26E-01A-11D-A272-09	0	16	0	0	0	0	0	0	0	0	0	0	0	31	19
TCGA-A7-A26H-01A-11D-A167-09	0	23	0	0	0	0	0	0	0	0	49	0	0	42	38
