Sample	SBS10a	SBS1	SBS11	SBS31	SBS40	SBS15	SBS10b	SBS30	SBS42	SBS13	SBS5	SBS2
TCGA-06-5416-01A-01D-1486-08	3834	557	0	0	0	3246	5448	0	0	0	5141	0
TCGA-19-5956-01A-11D-1696-08	2693	1142	0	0	0	1225	1734	0	0	0	3167	0
TCGA-02-0003-01A-01D-1490-08	0	31	0	0	0	0	0	0	0	0	30	0
TCGA-02-0055-01A-01D-1490-08	0	42	0	0	33	0	0	0	0	0	0	0
TCGA-02-2470-01A-01D-1494-08	0	39	0	0	31	0	0	0	0	0	0	0
TCGA-02-2486-01A-01D-1494-08	0	45	0	0	0	0	0	0	0	0	26	0
TCGA-06-0119-01A-08D-1490-08	0	34	0	0	42	0	0	0	0	0	10	0
TCGA-06-0122-01A-01D-1490-08	0	50	0	0	52	0	0	0	0	0	0	0
TCGA-06-0126-01A-01D-1490-08	0	30	0	0	46	0	0	0	0	0	0	0
TCGA-06-0140-01A-01D-1490-08	0	27	0	0	14	0	0	13	0	0	0	0
TCGA-06-0152-01A-02D-1492-08	0	33	0	0	43	0	0	0	0	0	0	0
TCGA-06-0152-02A-01D-2280-08	0	49	0	0	36	0	0	0	0	0	0	0
TCGA-06-0154-01A-03D-1491-08	0	41	0	0	23	0	0	0	0	0	0	0
TCGA-06-0158-01A-01D-1491-08	0	37	0	0	35	0	0	0	0	0	0	0
TCGA-06-0169-01A-01D-1490-08	0	24	0	0	0	0	0	0	0	0	42	0
TCGA-06-0173-01A-01D-1491-08	0	38	0	0	34	0	0	0	0	0	23	0
TCGA-06-0174-01A-01D-1491-08	0	46	0	0	0	0	0	0	0	0	44	0
TCGA-06-0184-01A-01D-1491-08	0	32	0	0	23	0	0	14	0	0	0	0
TCGA-06-0188-01A-01D-1491-08	0	34	0	0	33	0	0	0	0	0	0	0
TCGA-06-0195-01B-01D-1491-08	0	36	0	0	35	0	0	19	0	0	0	0
TCGA-06-0237-01A-02D-1491-08	0	33	0	0	23	0	0	0	0	0	0	0
TCGA-06-0644-01A-02D-1492-08	0	37	0	0	0	0	0	0	0	0	32	0
TCGA-06-0645-01A-01D-1492-08	0	42	0	0	36	0	0	0	0	0	0	0
TCGA-06-0648-01A-01D-1492-08	0	31	0	0	0	0	0	0	0	0	52	0
TCGA-06-0649-01B-01D-1492-08	0	26	0	0	49	0	0	0	0	0	45	0
TCGA-06-0743-01A-01D-1492-08	0	49	0	0	56	0	0	25	0	0	0	0
TCGA-06-0744-01A-01D-1492-08	0	31	0	0	0	0	0	0	0	0	59	0
TCGA-06-0747-01A-01D-1492-08	0	14	0	0	0	23	0	0	0	0	53	0
TCGA-06-0749-01A-01D-1492-08	0	41	0	0	0	0	0	0	0	0	22	0
TCGA-06-0876-01A-01D-1492-08	0	36	0	0	38	0	0	19	0	0	0	0
TCGA-06-0877-01A-01D-1492-08	0	34	0	0	27	0	0	0	0	0	30	0
TCGA-06-0879-01A-01D-1492-08	0	38	0	0	37	0	0	0	0	0	0	0
TCGA-06-0939-01A-01D-1353-08	0	46	0	0	0	0	0	0	0	0	55	0
TCGA-06-1800-01A-01W-0643-08	0	30	0	0	59	0	0	12	0	0	0	0
TCGA-06-1802-01A-01W-0643-08	0	43	0	0	509	0	0	0	0	0	117	0
TCGA-06-2565-01A-01D-1494-08	0	29	0	0	20	0	0	16	0	0	0	0
TCGA-06-2567-01A-01D-1494-08	0	30	0	0	0	0	0	15	0	0	28	0
TCGA-06-5418-01A-01D-1486-08	0	36	0	0	0	0	0	0	0	0	22	0
TCGA-06-5858-01A-01D-1696-08	0	212	0	0	0	0	0	0	0	0	44	0
TCGA-06-6695-01A-11D-1845-08	0	31	0	0	25	0	0	11	0	0	0	0
TCGA-06-6697-01A-11D-1845-08	0	28	0	0	49	0	0	0	0	0	0	0
TCGA-06-6699-01A-11D-1845-08	0	40	0	0	24	0	0	0	0	0	10	0
TCGA-06-A5U0-01A-11D-A33T-08	0	21	0	0	0	0	0	12	0	0	11	0
TCGA-06-A5U1-01A-11D-A33T-08	0	41	0	0	53	0	0	0	0	0	0	0
TCGA-06-A7TK-01A-21D-A391-08	0	33	0	0	29	0	0	0	0	0	0	0
TCGA-12-0615-01A-01D-1492-08	0	35	0	0	34	0	0	0	0	0	13	0
TCGA-12-0619-01A-01D-1492-08	0	34	0	0	0	0	0	0	0	0	33	0
TCGA-12-0670-01B-01W-0424-08	0	43	0	0	38	0	0	0	0	0	0	0
TCGA-12-0692-01A-01D-1492-08	0	45	0	0	44	0	0	0	0	0	0	0
TCGA-12-1600-01A-01W-0643-08	0	51	0	0	39	0	0	0	0	0	0	0
TCGA-12-3646-01A-01W-0922-08	0	26	0	0	36	0	0	13	0	0	22	0
TCGA-12-3652-01A-01D-1495-08	0	27	0	0	0	0	0	0	0	0	54	0
TCGA-12-5299-01A-02D-1486-08	0	28	0	0	23	0	0	0	0	0	0	0
TCGA-12-5301-01A-01D-1486-08	0	50	0	0	15	0	0	0	0	0	25	0
TCGA-14-0789-01A-01D-1492-08	0	37	0	0	34	0	0	20	0	0	0	0
TCGA-14-0817-01A-01D-1492-08	0	53	0	0	33	0	0	0	0	0	0	0
TCGA-14-0867-01A-01W-0424-08	0	31	0	0	61	0	0	42	0	0	0	0
TCGA-14-1450-01B-01D-1845-08	0	33	0	0	20	0	0	13	0	0	0	0
TCGA-14-1455-01A-01W-0643-08	0	27	0	0	25	0	0	15	0	0	20	0
TCGA-14-1794-01A-01W-0643-08	0	32	0	0	153	0	0	36	0	0	24	30
TCGA-14-1795-01A-01W-0643-08	0	41	0	0	182	0	0	84	0	0	85	108
TCGA-14-1825-01A-01D-1494-08	0	29	0	0	26	0	0	10	0	0	0	0
TCGA-14-3476-01B-01D-1353-08	0	33	0	0	53	0	0	0	0	0	0	0
TCGA-15-0742-01A-01D-1492-08	0	45	0	0	0	0	0	0	0	0	40	0
TCGA-16-0848-01A-01D-1492-08	0	431	0	0	0	0	0	0	0	0	83	0
TCGA-16-0850-01A-01W-0424-08	0	19	0	0	0	0	0	0	0	0	52	0
TCGA-16-1045-01B-01D-1492-08	0	43	0	0	36	0	0	0	0	0	23	0
TCGA-16-1048-01B-01D-1353-08	0	35	0	0	31	0	0	0	0	0	29	0
TCGA-19-0957-01C-01W-0643-08	0	44	0	0	122	0	0	0	0	0	0	0
TCGA-19-1787-01B-01D-1495-08	0	704	0	0	0	0	0	0	0	0	141	0
TCGA-19-1789-01A-01W-0643-08	0	32	0	0	44	0	0	17	0	0	0	0
TCGA-19-2623-01A-01D-1495-08	0	55	0	0	46	0	0	0	0	0	0	0
TCGA-19-2631-01A-01D-1353-08	0	34	0	0	37	0	0	0	0	0	33	0
TCGA-19-4065-01A-01D-2280-08	0	26	0	0	0	0	0	0	0	0	37	0
TCGA-19-4068-01A-01D-1353-08	0	40	0	0	0	0	0	0	0	0	30	0
TCGA-19-5950-01A-11D-1696-08	0	44	0	0	33	0	0	0	0	0	0	0
TCGA-19-5951-01A-11D-1696-08	0	44	0	0	0	0	0	0	0	0	48	0
TCGA-19-5952-01A-11D-1696-08	0	32	0	0	22	0	0	0	0	0	0	0
TCGA-19-5953-01B-12D-1845-08	0	30	0	0	0	0	0	0	0	0	39	0
TCGA-19-5954-01A-11D-1696-08	0	40	0	0	48	0	0	0	0	0	10	0
TCGA-19-5959-01A-11D-1696-08	0	65	0	0	45	0	0	0	0	0	0	0
TCGA-26-5139-01A-01D-1486-08	0	35	0	0	17	0	0	0	0	0	0	0
TCGA-26-A7UX-01B-11D-A391-08	0	28	0	0	18	0	0	0	0	0	0	0
TCGA-27-1830-01A-01D-1494-08	0	28	0	0	0	0	0	0	0	0	33	0
TCGA-27-1833-01A-01D-1494-08	0	53	0	0	0	0	0	0	0	0	34	0
TCGA-27-1837-01A-01D-1494-08	0	25	0	0	22	0	0	0	0	0	0	0
TCGA-27-1838-01A-01D-1494-08	0	40	0	0	76	0	0	0	0	0	0	0
TCGA-27-2518-01A-01D-1494-08	0	36	0	0	30	0	0	0	0	0	0	0
TCGA-27-2519-01A-01D-1494-08	0	27	0	0	0	0	0	0	0	0	21	0
TCGA-27-2526-01A-01D-1494-08	0	29	0	0	22	0	0	12	0	0	0	0
TCGA-28-1747-01C-01D-1494-08	0	33	0	0	23	0	0	0	0	0	0	0
TCGA-28-1753-01A-01D-1494-08	0	36	0	0	0	0	0	0	0	0	31	0
TCGA-28-2501-01A-01D-1696-08	0	37	0	0	14	0	0	0	0	0	13	0
TCGA-28-2502-01B-01D-1494-08	0	32	0	0	0	0	0	0	0	0	32	0
TCGA-28-2509-01A-01D-1494-08	0	28	0	0	23	0	0	25	0	0	0	0
TCGA-28-2513-01A-01D-1494-08	0	38	0	0	27	0	0	0	0	0	23	0
TCGA-28-2514-01A-02D-1494-08	0	38	0	0	28	0	0	0	0	0	0	0
TCGA-28-5208-01A-01D-1486-08	0	51	0	0	0	0	0	0	0	0	26	0
TCGA-28-5209-01A-01D-1486-08	0	59	0	0	47	0	0	0	0	0	0	0
TCGA-32-1976-01A-01W-0837-08	0	42	0	0	37	0	0	0	0	0	0	0
TCGA-32-1979-01A-01D-1696-08	0	62	0	0	0	0	0	0	0	0	35	0
TCGA-32-1982-01A-01D-1494-08	0	52	0	0	44	0	0	0	0	0	0	0
TCGA-32-2491-01A-01D-1353-08	0	49	0	0	66	0	0	0	0	0	0	0
TCGA-32-2495-01A-01D-1353-08	0	35	0	0	44	0	0	0	0	0	11	0
TCGA-32-2616-01A-01D-1495-08	0	1473	0	0	0	0	0	0	0	0	56	0
TCGA-32-2632-01A-01D-1495-08	0	58	0	0	67	0	0	0	0	0	0	0
TCGA-32-2638-01A-01D-1495-08	0	36	0	0	37	0	0	0	0	0	0	0
TCGA-32-4210-01A-01D-1353-08	0	37	0	0	0	0	0	0	0	0	66	0
TCGA-32-4213-01A-01D-1353-08	0	25	0	0	0	0	0	0	0	0	42	0
TCGA-32-4719-01A-01D-1353-08	0	32	0	0	33	0	0	0	0	0	0	0
TCGA-32-5222-01A-01D-1486-08	0	44	0	0	33	0	0	0	0	0	14	0
TCGA-41-2571-01A-01D-1495-08	0	26	0	0	27	0	0	13	0	0	0	0
TCGA-41-2572-01A-01D-1353-08	0	39	0	0	29	0	0	0	0	0	13	0
TCGA-41-3393-01A-01D-1353-08	0	51	0	0	0	0	0	0	0	0	37	0
TCGA-41-6646-01A-11D-1845-08	0	37	0	0	30	0	0	0	0	0	0	0
TCGA-4W-AA9R-01A-11D-A391-08	0	47	0	0	0	0	0	27	0	0	26	0
TCGA-4W-AA9T-01A-11D-A391-08	0	40	0	0	18	0	0	0	0	0	0	0
TCGA-74-6575-01A-11D-1845-08	0	52	0	0	66	0	0	0	0	0	0	0
TCGA-74-6577-01A-11D-1845-08	0	24	0	0	0	0	0	0	0	0	0	0
TCGA-74-6578-01A-11D-1845-08	0	33	0	0	0	0	0	0	0	0	48	0
TCGA-76-4927-01A-01D-1486-08	0	29	0	0	0	0	0	0	0	0	42	0
