Sample	SBS10a	SBS1	SBS3	SBS21	SBS26	SBS40	SBS9	SBS20	SBS15	SBS10b	SBS28	SBS6	SBS30	SBS13	SBS17a	SBS17b	SBS44	SBS5	SBS2
TCGA-AA-3510-01A-01D-1408-10	1572	261	0	0	0	0	0	0	0	1924	0	0	0	0	0	0	0	847	0
TCGA-AA-3984-01A-02D-1981-10	1672	65	0	0	0	0	0	0	979	3006	0	0	0	0	0	0	0	1892	0
TCGA-AA-A010-01A-01D-A17O-10	3833	266	0	0	0	0	0	0	1422	2721	0	0	0	0	0	0	0	3004	0
TCGA-AZ-4315-01A-01D-1408-10	2126	62	0	0	0	0	0	0	1397	3883	0	0	0	0	0	0	0	2331	0
TCGA-AG-3892-01A-01W-1073-09	1572	130	0	0	0	0	0	0	0	956	0	0	0	0	0	0	0	935	0
TCGA-AG-A002-01A-01W-A00K-09	8001	763	0	0	0	0	0	0	0	5936	0	0	0	0	0	0	0	2261	0
TCGA-EI-6917-01A-11D-1924-10	1558	681	0	0	0	0	0	0	0	4520	0	0	0	0	0	0	0	525	0
sysucc-1364T	8776	144	0	0	0	0	0	0	0	2983	3256	0	0	0	0	0	0	1460	0
sysucc-311T	3847	484	0	0	0	0	0	0	0	3071	3118	0	0	0	0	0	0	3639	0
sysucc-919T	8999	423	0	0	0	0	0	0	0	3513	3036	0	0	0	0	0	0	2639	0
587222	1010	94	0	0	0	0	0	0	0	964	0	0	0	0	0	0	0	216	0
587376	3350	249	0	0	0	0	0	0	0	2274	2374	0	0	0	0	0	0	1022	0
HT115	1077	0	0	0	0	0	0	0	1231	2226	474	0	0	0	0	0	0	1064	0
P100	220	28	0	0	0	0	0	0	106	162	0	0	0	0	0	0	0	42	0
T2269	933	255	0	0	0	0	0	0	469	1956	475	0	0	0	0	0	0	984	0
T578	1663	343	0	0	0	0	0	0	0	1447	546	0	0	0	0	0	0	383	0
TCGA-3L-AA1B-01A-11D-A36X-10	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0
TCGA-4N-A93T-01A-11D-A36X-10	0	57	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	22	0
TCGA-4T-AA8H-01A-11D-A40P-10	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0
TCGA-5M-AAT4-01A-11D-A40P-10	0	90	0	0	0	122	0	0	0	0	0	0	0	0	0	13	0	31	0
TCGA-5M-AAT5-01A-21D-A40P-10	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0
TCGA-5M-AAT6-01A-11D-A40P-10	0	1104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	805	629	0
TCGA-5M-AATA-01A-31D-A40P-10	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0
TCGA-5M-AATE-01A-11D-A40P-10	0	85	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	28	0
TCGA-A6-2671-01A-01D-1408-10	0	44	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A6-2674-01A-02D-A270-10	0	83	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A6-2675-01A-02D-1719-10	0	86	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	17	0
TCGA-A6-2677-01A-01D-A270-10	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0
TCGA-A6-2684-01A-01D-A270-10	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0
TCGA-A6-2686-01A-01D-1408-10	0	934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1135	542	0
TCGA-A6-3808-01A-01W-0995-10	0	65	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	101	0
TCGA-A6-3809-01A-01D-A270-10	0	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575	531	0
TCGA-A6-3810-01A-01D-A270-10	0	93	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	30	11
TCGA-A6-4105-01A-02D-1771-10	0	67	0	0	0	120	0	0	31	0	0	0	0	0	0	0	0	0	0
TCGA-A6-4107-01A-02D-1408-10	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0
TCGA-A6-5656-01A-21D-A270-10	0	94	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	27	0
TCGA-A6-5657-01A-01D-1650-10	0	64	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A6-5659-01A-01D-A270-10	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0
TCGA-A6-5660-01A-01D-1650-10	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0
TCGA-A6-5661-01A-01D-1650-10	0	611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	785	225	0
TCGA-A6-5662-01A-01D-1650-10	0	42	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	11	0
TCGA-A6-5665-01A-01D-1650-10	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	739	845	0
TCGA-A6-5666-01A-01D-1650-10	0	71	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A6-6137-01A-11D-1771-10	0	69	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	46	0
TCGA-A6-6138-01A-11D-1771-10	0	64	0	0	0	35	0	0	0	0	0	0	26	0	0	0	0	32	0
TCGA-A6-6142-01A-11D-1771-10	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0
TCGA-A6-6649-01A-11D-1771-10	0	89	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A6-6651-01A-21D-1835-10	0	38	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	38	0
TCGA-A6-6652-01A-11D-1771-10	0	38	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	36	0
TCGA-A6-6653-01A-11D-1771-10	0	630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	426	0
TCGA-A6-6654-01A-21D-1835-10	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0
TCGA-A6-6780-01A-11D-A270-10	0	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	532	0
TCGA-A6-6781-01A-22D-A270-10	0	1420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	765	317	0
TCGA-A6-6782-01A-11D-1835-10	0	61	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	11	0
TCGA-AA-3492-01A-01D-1408-10	0	692	0	0	0	0	0	0	355	0	0	0	0	0	0	0	793	858	0
TCGA-AA-3496-01A-21D-1835-10	0	68	0	0	0	42	0	31	0	0	0	0	0	0	0	0	0	51	0
TCGA-AA-3502-01A-01D-1408-10	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0
TCGA-AA-3506-01A-01D-2188-10	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0
TCGA-AA-3519-01A-02D-1953-10	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
TCGA-AA-3520-01A-01D-1953-10	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
TCGA-AA-3524-01A-02D-1953-10	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AA-3526-01A-02D-1953-10	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AA-3530-01A-01W-0995-10	0	56	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	20	0
TCGA-AA-3534-01A-01D-1953-10	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
TCGA-AA-3548-01A-01D-1953-10	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
TCGA-AA-3655-01A-02D-1719-10	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0
TCGA-AA-3660-01A-01D-1719-10	0	88	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	45	0
TCGA-AA-3663-01A-01D-1719-10	0	334	0	0	0	0	0	287	0	0	0	0	0	0	0	0	844	903	0
TCGA-AA-3667-01A-01W-0900-09	0	12	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	63	0
TCGA-AA-3673-01A-01W-0900-09	0	48	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AA-3675-01A-02W-0900-09	0	67	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	10	0
TCGA-AA-3678-01A-01W-0900-09	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0
TCGA-AA-3679-01A-02W-0900-09	0	43	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AA-3680-01A-01W-0900-09	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0
TCGA-AA-3681-01A-01W-0900-09	0	74	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AA-3684-01A-02W-0900-09	0	64	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	46	15
TCGA-AA-3692-01A-01W-0900-09	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0
TCGA-AA-3695-01A-01W-0900-09	0	105	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	32	0
TCGA-AA-3696-01A-01W-0900-09	0	50	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	20	0
TCGA-AA-3712-01A-21D-1719-10	0	38	0	0	0	78	0	0	0	0	0	0	0	49	0	0	0	0	32
TCGA-AA-3713-01A-21D-1719-10	0	280	0	0	0	0	0	0	405	0	0	0	0	0	0	0	0	538	0
TCGA-AA-3715-01A-01W-0900-09	0	226	0	0	0	0	0	0	515	0	0	0	0	0	0	0	645	1261	0
TCGA-AA-3811-01A-01W-0995-10	0	671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	951	925	0
TCGA-AA-3812-01A-01W-0900-09	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0
TCGA-AA-3814-01A-01W-0900-09	0	76	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AA-3815-01A-01W-0995-10	0	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	572	0
TCGA-AA-3818-01A-01W-0900-09	0	76	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AA-3819-01A-01W-0900-09	0	27	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	31
TCGA-AA-3821-01A-01W-0995-10	0	305	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	446	0
