Sample	SBS1	SBS3	SBS18	SBS38	SBS10b	SBS6	SBS13	SBS7b	SBS4	SBS17a	SBS17b	SBS16	SBS44	SBS5	SBS2
TCGA-2H-A9GF-01A-11D-A37C-09	90	0	0	0	0	0	12	0	0	24	34	0	0	222	35
TCGA-2H-A9GI-01A-11D-A37C-09	48	0	0	0	0	0	0	0	0	52	51	0	0	151	0
TCGA-2H-A9GJ-01A-11D-A37C-09	24	0	0	0	0	0	0	0	0	0	0	0	0	124	0
TCGA-2H-A9GK-01A-11D-A37C-09	32	70	0	0	0	0	22	0	0	42	59	0	0	69	15
TCGA-2H-A9GL-01A-12D-A37C-09	33	97	0	0	0	0	0	0	0	42	49	0	0	98	0
TCGA-2H-A9GN-01A-11D-A37C-09	28	0	0	0	0	0	18	0	0	0	13	0	0	116	0
TCGA-2H-A9GO-01A-11D-A37C-09	24	0	0	0	0	0	0	0	0	15	38	0	0	138	0
TCGA-2H-A9GQ-01A-11D-A37C-09	35	0	0	0	0	0	13	0	0	0	10	0	0	138	17
TCGA-2H-A9GR-01A-12D-A37C-09	89	0	0	0	0	0	0	0	0	54	146	0	0	232	0
TCGA-IC-A6RE-01A-11D-A33E-09	57	252	0	0	0	0	29	0	0	80	158	0	0	134	23
TCGA-IG-A3I8-01A-11D-A247-09	49	0	0	0	0	0	19	0	0	0	0	0	0	74	16
TCGA-IG-A3QL-01A-11D-A247-09	25	67	0	0	0	0	0	0	0	0	0	0	0	48	15
TCGA-IG-A3Y9-01A-12D-A247-09	20	0	0	0	0	0	174	0	0	0	0	0	0	73	85
TCGA-IG-A3YB-01A-11D-A247-09	29	0	0	0	0	0	15	0	0	0	0	0	0	69	0
TCGA-IG-A4QS-01A-11D-A27G-09	64	0	0	0	0	0	0	0	0	53	68	0	0	134	0
TCGA-IG-A51D-01A-11D-A27G-09	38	0	0	0	0	0	31	0	0	0	0	0	0	104	40
TCGA-IG-A5B8-01A-11D-A28B-09	18	0	0	0	0	0	170	0	0	0	0	0	0	96	159
TCGA-JY-A6F8-01A-11D-A33E-09	55	0	0	0	0	0	0	0	0	0	0	0	0	117	11
TCGA-JY-A6FB-01A-11D-A33E-09	40	0	0	0	0	0	0	0	0	0	0	0	0	104	0
TCGA-JY-A6FD-01A-11D-A33E-09	12	0	0	0	0	0	37	0	0	0	0	0	0	113	43
TCGA-JY-A6FG-01A-11D-A33E-09	45	0	127	0	0	0	0	0	0	0	0	0	0	139	17
TCGA-JY-A6FH-01A-11D-A33E-09	20	0	0	0	0	0	10	0	0	13	34	0	0	102	17
TCGA-JY-A938-01A-11D-A37C-09	59	0	0	0	0	0	0	0	0	0	18	0	0	101	12
TCGA-JY-A939-01A-12D-A37C-09	29	0	0	0	0	0	0	0	0	0	0	0	0	70	0
TCGA-JY-A93C-01A-11D-A387-09	41	0	0	0	0	0	0	0	0	0	0	0	0	112	0
TCGA-JY-A93D-01A-11D-A387-09	36	0	0	0	0	0	0	0	0	12	26	0	0	77	0
TCGA-JY-A93E-01A-11D-A37C-09	102	0	0	0	0	0	0	0	0	0	0	0	0	180	0
TCGA-L5-A43C-01A-11D-A247-09	28	0	0	0	0	56	0	0	0	0	0	0	0	123	0
TCGA-L5-A43E-01A-11D-A247-09	68	0	0	0	0	0	0	0	0	22	48	0	0	88	0
TCGA-L5-A43I-01A-11D-A247-09	75	0	0	0	0	0	13	0	0	0	19	0	0	177	19
TCGA-L5-A43J-01A-12D-A247-09	379	0	0	0	0	0	0	0	0	0	0	0	0	557	0
TCGA-L5-A4OE-01A-11D-A27G-09	37	0	418	0	0	0	0	0	0	0	0	0	0	25	0
TCGA-L5-A4OG-01A-11D-A27G-09	61	0	0	0	0	0	0	0	0	15	21	0	0	142	0
TCGA-L5-A4OI-01A-11D-A27G-09	649	0	0	0	0	684	0	0	0	0	0	0	0	991	0
TCGA-L5-A4OJ-01A-11D-A27G-09	74	0	107	0	0	0	0	0	0	27	48	0	0	114	0
TCGA-L5-A4ON-01A-11D-A27G-09	55	0	0	0	0	0	0	0	0	23	60	0	0	102	0
TCGA-L5-A4OO-01A-11D-A27G-09	51	0	0	0	0	0	0	0	0	0	0	0	0	108	0
TCGA-L5-A4OR-01A-11D-A27G-09	43	0	33	0	0	0	0	0	0	0	25	0	0	128	0
TCGA-L5-A4OS-01A-11D-A28B-09	37	55	0	0	0	0	26	0	0	0	0	0	0	27	0
TCGA-L5-A4OT-01A-11D-A28B-09	45	0	0	0	0	0	0	0	0	41	153	0	0	119	0
TCGA-L5-A4OU-01A-11D-A28B-09	35	0	0	0	0	0	0	0	0	43	64	0	0	145	0
TCGA-L5-A4OW-01A-11D-A28B-09	66	0	0	0	0	0	0	0	0	27	55	0	0	182	27
TCGA-L5-A4OX-01A-21D-A28B-09	43	0	0	0	0	0	0	0	0	12	33	0	0	130	0
TCGA-L5-A88S-01A-11D-A36J-09	25	0	19	0	0	0	0	0	0	0	0	0	0	69	0
TCGA-L5-A88V-01A-11D-A351-09	71	0	0	0	0	0	0	0	0	0	0	0	0	191	0
TCGA-L5-A88W-01A-11D-A351-09	20	0	38	0	0	0	20	0	0	0	0	0	0	122	26
TCGA-L5-A88Y-01A-11D-A351-09	42	0	0	0	0	0	13	0	0	24	85	0	0	144	23
TCGA-L5-A891-01A-11D-A36J-09	42	0	0	0	0	0	16	0	0	0	0	0	0	163	18
TCGA-L5-A893-01A-11D-A36J-09	46	0	0	0	0	0	0	0	0	18	32	0	0	106	0
TCGA-L5-A8NE-01A-11D-A37C-09	30	0	0	0	0	0	0	0	0	31	104	0	0	194	0
TCGA-L5-A8NF-01A-11D-A37C-09	27	0	29	0	0	0	0	0	0	0	11	0	0	128	0
TCGA-L5-A8NG-01A-11D-A37C-09	33	0	0	0	0	0	10	0	0	15	35	0	0	126	14
TCGA-L5-A8NH-01A-11D-A37C-09	46	0	0	0	0	0	0	0	0	10	15	0	0	124	0
TCGA-L5-A8NI-01A-11D-A37C-09	33	98	0	0	0	0	10	0	0	25	22	0	0	115	0
TCGA-L5-A8NJ-01A-11D-A36J-09	50	0	0	0	0	0	12	0	0	55	64	0	0	149	17
TCGA-L5-A8NK-01A-21D-A37C-09	34	0	0	0	0	0	89	0	0	0	0	0	0	110	69
TCGA-L5-A8NL-01A-12D-A37C-09	41	0	0	0	0	0	0	0	0	11	26	0	0	81	0
TCGA-L5-A8NM-01A-11D-A37C-09	396	0	0	0	0	588	0	0	0	0	0	0	0	1042	0
TCGA-L5-A8NN-01A-11D-A37C-09	35	0	29	0	0	0	0	0	0	0	0	0	0	106	0
TCGA-L5-A8NQ-01A-11D-A36J-09	23	0	0	0	0	0	112	0	0	0	0	0	0	115	113
TCGA-L5-A8NR-01A-11D-A37C-09	78	0	0	0	0	0	0	0	0	27	49	0	0	199	0
TCGA-L5-A8NS-01A-12D-A37C-09	48	245	0	0	0	0	83	0	0	0	0	0	0	206	22
TCGA-L5-A8NT-01A-11D-A37C-09	52	0	0	0	0	0	0	0	0	0	0	0	0	85	0
TCGA-L5-A8NV-01A-11D-A37C-09	50	0	0	0	0	0	0	0	0	0	0	0	0	138	0
TCGA-L5-A8NW-01A-11D-A37C-09	55	0	0	0	0	0	0	0	0	0	20	0	0	158	0
TCGA-L7-A6VZ-01A-12D-A33E-09	49	0	35	0	0	0	0	0	0	0	32	0	0	83	0
TCGA-LN-A49L-01A-11D-A247-09	10	0	63	0	0	0	31	0	0	0	0	0	0	104	25
TCGA-LN-A49R-01A-11D-A247-09	11	33	0	0	0	0	0	0	0	0	0	101	0	24	0
TCGA-LN-A49S-01A-11D-A247-09	14	0	0	0	0	0	53	0	0	0	0	0	0	123	46
TCGA-LN-A49U-01A-31D-A27G-09	16	42	0	0	0	0	53	0	0	0	0	43	0	19	57
TCGA-LN-A49V-01A-11D-A247-09	60	0	0	0	0	0	0	0	0	0	0	0	0	116	0
TCGA-LN-A49W-01A-11D-A27G-09	20	0	0	0	0	0	0	0	0	0	0	65	0	43	0
TCGA-LN-A49Y-01A-11D-A27G-09	19	0	0	0	0	0	26	0	238	0	0	0	0	54	33
TCGA-LN-A4A2-01A-31D-A27G-09	22	0	42	0	0	0	11	0	0	0	0	26	0	101	0
TCGA-LN-A4MR-01A-11D-A28B-09	23	0	0	0	0	0	57	0	0	0	0	0	0	110	47
TCGA-LN-A7HX-01A-11D-A33E-09	22	67	0	0	0	0	23	0	0	0	0	31	0	27	23
TCGA-LN-A9FO-01A-11D-A387-09	16	0	0	0	0	0	31	0	0	0	0	51	0	44	16
TCGA-LN-A9FP-01A-31D-A387-09	19	0	0	0	0	0	47	0	463	0	0	0	0	48	45
TCGA-LN-A9FQ-01A-31D-A387-09	17	0	0	0	0	0	16	0	0	0	0	0	0	89	23
TCGA-M9-A5M8-01A-11D-A28B-09	26	0	0	0	0	0	0	0	0	0	0	0	0	87	0
TCGA-Q9-A6FU-01A-11D-A31U-09	12	0	0	0	0	0	89	0	0	0	0	0	0	92	50
TCGA-Q9-A6FW-01A-31D-A31U-09	64	0	0	0	0	0	0	0	0	12	33	0	0	185	0
TCGA-R6-A6DN-01B-11D-A31U-09	45	0	0	0	0	0	0	0	0	0	11	0	0	80	0
TCGA-R6-A6DQ-01B-11D-A31U-09	41	0	0	0	0	0	0	0	0	0	0	0	0	81	0
TCGA-R6-A6KZ-01A-11D-A31U-09	39	0	0	0	0	0	0	0	0	21	43	0	0	120	0
TCGA-R6-A6L6-01B-11D-A33E-09	31	0	39	0	0	0	26	0	0	0	0	0	0	61	22
TCGA-R6-A6XG-01B-11D-A33E-09	74	0	0	0	0	0	0	0	0	19	32	0	0	179	0
TCGA-R6-A6XQ-01B-11D-A33E-09	41	0	0	0	0	0	0	0	0	0	0	0	0	77	0
TCGA-R6-A6Y0-01B-11D-A33E-09	21	80	0	0	0	0	55	0	0	0	20	0	0	74	25
TCGA-R6-A6Y2-01B-11D-A33E-09	35	0	21	0	0	0	0	0	0	0	0	0	0	88	10
TCGA-R6-A8W8-01B-11D-A37C-09	58	0	0	0	0	0	0	0	0	0	15	0	0	130	0
TCGA-R6-A8WC-01A-11D-A37C-09	52	0	0	0	0	0	0	0	0	0	11	0	0	114	14
TCGA-R6-A8WG-01A-11D-A37C-09	31	0	0	0	0	0	0	0	0	0	22	0	0	107	0
TCGA-RE-A7BO-01A-11D-A33E-09	48	0	0	0	0	0	0	0	0	43	85	0	0	157	0
TCGA-S8-A6BV-01A-21D-A31U-09	53	0	0	0	0	0	0	0	0	0	18	0	0	103	10
TCGA-V5-A7RB-01A-11D-A351-09	52	0	0	0	0	0	26	0	0	25	35	0	0	205	13
TCGA-V5-A7RE-01A-11D-A351-09	42	0	0	0	0	0	17	0	0	0	0	0	0	163	12
TCGA-V5-AASW-01A-11D-A403-09	37	0	0	0	0	0	0	0	0	0	0	0	0	149	19
TCGA-V5-AASX-01A-11D-A387-09	124	0	0	0	0	0	33	0	0	0	37	0	0	199	54
TCGA-VR-A8EQ-01A-11D-A36J-09	59	0	0	0	0	0	0	0	0	18	50	0	0	123	0
TCGA-VR-A8EX-01A-11D-A36J-09	16	0	0	0	0	0	47	0	0	0	0	0	0	97	29
TCGA-VR-AA4D-01A-11D-A37C-09	49	0	0	0	0	0	0	0	0	0	0	0	0	99	0
TCGA-VR-AA7B-01A-31D-A403-09	40	0	0	0	0	0	73	0	0	0	0	0	0	99	49
TCGA-VR-AA7D-01A-11D-A403-09	16	0	0	0	0	0	17	0	0	0	0	0	0	102	26
TCGA-X8-AAAR-01A-11D-A403-09	50	0	0	0	0	0	0	0	0	0	28	0	0	94	0
TCGA-Z6-A8JD-01A-11D-A36J-09	19	0	0	0	0	0	122	0	0	0	0	0	0	115	51
TCGA-Z6-A8JE-01A-11D-A37C-09	18	0	0	0	0	0	83	0	0	0	0	0	0	141	41
TCGA-Z6-A9VB-01A-21D-A37C-09	29	0	30	0	0	0	0	0	0	0	0	0	0	80	0
TCGA-Z6-AAPN-01A-11D-A403-09	16	0	0	0	0	0	281	0	0	0	0	0	0	158	101
TCGA-ZR-A9CJ-01B-11D-A387-09	42	0	0	0	0	0	0	0	0	10	26	0	0	107	0
169	253	0	0	0	0	0	0	0	0	0	0	0	490	285	0
230	34	0	0	0	0	0	0	0	0	0	16	0	0	113	0
234	366	0	0	0	0	0	0	0	0	0	0	0	0	491	0
255	180	0	0	0	0	0	0	0	0	0	0	0	0	426	0
258	13	0	0	0	0	0	0	0	0	0	25	0	0	39	0
ESO-0001	47	0	0	0	0	0	0	0	0	36	130	0	0	76	0
ESO-0013	20	0	0	0	0	0	0	0	0	76	188	0	0	107	0
ESO-0019	12	0	0	0	0	0	0	0	0	28	78	0	0	59	0
ESO-0023	47	0	0	0	0	0	0	0	0	0	34	0	0	118	0
ESO-0025	24	0	0	0	0	0	0	0	0	26	66	0	0	60	0
ESO-0029	60	0	0	0	0	0	0	0	0	0	11	0	0	125	0
ESO-003	49	0	0	0	0	0	0	0	0	16	29	0	0	80	0
ESO-005	37	0	0	0	0	0	0	0	0	0	0	0	0	50	0
ESO-0053	55	0	0	0	0	0	0	0	0	0	0	0	0	121	0
ESO-0059	25	0	0	0	0	0	0	0	0	0	25	0	0	73	0
ESO-0061	44	0	0	0	0	0	0	0	0	0	31	0	0	49	0
ESO-0067	37	0	0	0	0	0	0	0	0	0	14	0	0	138	0
ESO-007	50	0	0	0	0	0	0	0	0	0	22	0	0	100	11
ESO-0103	39	0	0	0	0	0	0	0	0	0	0	0	0	81	13
ESO-0115	53	0	0	0	0	0	0	0	0	0	23	0	0	135	0
ESO-0123	36	0	0	0	0	0	0	0	0	0	0	0	0	56	0
ESO-0133	82	0	0	0	0	0	0	0	0	0	0	0	0	130	0
ESO-021	34	0	0	0	0	0	0	0	0	14	11	0	0	81	0
ESO-0280	14	0	0	0	0	0	0	0	0	39	104	0	0	91	0
ESO-0292	233	0	0	0	0	0	0	0	0	0	0	0	0	595	0
ESO-043	31	0	0	0	0	0	0	0	0	0	14	0	0	90	0
ESO-045	25	0	0	0	0	0	0	0	0	0	23	0	0	79	0
ESO-0459	47	0	0	0	0	0	0	0	0	18	53	0	0	134	0
ESO-049	52	0	0	0	0	0	0	0	0	24	57	0	0	126	0
ESO-0590	34	0	0	0	0	0	0	0	0	18	20	0	0	102	13
ESO-075	54	0	0	0	0	0	0	0	0	0	35	0	0	94	0
ESO-077	22	0	0	0	0	0	0	0	0	68	34	0	0	79	0
ESO-081	303	0	0	0	0	0	0	0	0	0	0	0	0	319	0
ESO-083	48	0	0	0	0	0	0	0	0	0	0	0	0	88	0
ESO-085	38	0	0	0	0	0	0	0	0	26	63	0	0	97	0
ESO-0950	53	0	0	0	0	0	0	0	0	0	0	0	0	159	0
ESO-105	27	0	0	0	0	0	0	0	0	99	165	0	0	91	0
ESO-1060	40	0	0	0	0	0	0	0	0	0	21	0	0	101	0
ESO-1096	41	0	0	0	0	0	0	0	0	0	0	0	0	134	0
ESO-111	37	0	0	0	0	0	0	0	0	10	17	0	0	74	0
ESO-1133	37	0	0	0	0	0	0	0	0	10	44	0	0	115	0
ESO-114	44	0	0	0	0	0	116	0	0	23	58	0	0	131	116
ESO-1145	42	0	0	0	0	0	0	0	0	29	89	0	0	96	0
ESO-116	37	0	0	0	0	0	0	0	0	17	18	0	0	68	0
ESO-1163	60	0	0	0	0	0	0	0	0	15	53	0	0	120	0
ESO-118	40	0	0	0	0	0	0	0	0	13	28	0	0	100	12
ESO-120	41	0	0	0	0	0	0	0	0	12	24	0	0	103	19
ESO-122	78	0	0	0	0	0	0	0	0	25	64	0	0	133	0
ESO-130	39	0	0	0	0	0	0	0	0	0	0	0	0	95	13
ESO-137	36	0	0	0	0	0	0	0	0	15	12	0	0	51	0
ESO-141	37	0	0	0	0	0	0	0	0	0	10	0	0	116	0
ESO-1427	61	0	0	0	0	0	0	0	0	0	22	0	0	88	0
ESO-147	24	0	0	0	0	0	0	0	0	12	28	0	0	107	0
ESO-1488	43	0	0	0	0	0	0	0	0	0	0	0	0	110	0
ESO-152	36	0	0	0	0	0	0	0	0	16	47	0	0	115	0
ESO-153	37	0	0	0	0	0	12	0	0	0	0	0	0	94	0
ESO-157	65	0	0	0	0	0	0	0	0	0	22	0	0	75	16
ESO-160	60	0	0	0	0	0	0	0	0	0	16	0	0	103	0
ESO-1608	45	0	0	0	0	0	0	0	0	0	17	0	0	98	12
ESO-161	52	0	0	0	0	0	0	0	0	0	0	0	0	108	0
ESO-164	43	0	0	0	0	0	10	0	0	0	0	0	0	87	0
ESO-1670	73	0	0	0	0	0	0	0	0	0	0	0	0	140	0
ESO-169	50	0	0	0	0	0	0	0	0	26	43	0	0	62	0
ESO-171	18	0	0	0	0	0	0	0	0	27	47	0	0	72	0
ESO-173	63	0	0	0	0	0	0	0	0	24	34	0	0	81	0
ESO-175	22	0	0	0	0	0	0	0	0	95	132	0	0	156	0
ESO-184	39	0	0	0	0	0	0	0	0	0	0	0	0	46	0
ESO-185	43	0	0	0	0	0	0	0	0	0	0	0	0	94	0
ESO-187	48	0	0	0	0	0	0	0	0	16	36	0	0	121	0
ESO-189	35	0	0	0	0	0	0	0	0	0	0	0	0	58	0
ESO-191	42	0	0	0	0	0	21	0	0	0	17	0	0	135	26
ESO-2143	22	0	0	0	0	0	16	0	0	17	28	0	0	155	25
ESO-250	54	0	0	0	0	0	0	0	0	32	55	0	0	148	0
ESO-251	37	0	0	0	0	0	0	0	0	0	0	0	0	72	0
ESO-2536	42	0	0	0	0	0	0	0	0	0	0	0	0	106	0
ESO-327	23	0	0	0	0	0	0	0	0	24	63	0	0	72	0
ESO-408	29	0	0	0	0	0	0	0	0	0	0	0	0	59	0
ESO-409	24	0	0	0	0	0	0	28	0	0	15	0	0	50	0
ESO-512	56	0	0	0	0	0	0	0	0	0	0	0	0	89	0
ESO-536	69	0	0	0	0	0	0	0	0	0	0	0	0	95	0
ESO-539	55	0	0	0	0	0	0	0	0	0	0	0	0	134	0
ESO-555	39	0	0	0	0	0	0	0	0	0	0	0	0	63	0
ESO-582	12	0	0	0	0	0	0	0	0	0	22	0	0	82	0
ESO-601	59	0	0	0	0	0	17	0	0	0	0	0	0	93	0
ESO-610	33	0	0	0	0	0	0	0	0	0	0	0	0	86	0
ESO-640	55	0	0	0	0	0	0	0	0	0	0	0	0	76	11
ESO-669	41	0	0	0	0	0	0	0	0	0	0	0	0	92	0
ESO-682	40	0	0	0	0	0	0	0	0	0	30	0	0	121	0
ESO-683	26	0	0	0	0	0	0	0	0	0	0	0	0	62	0
ESO-708	56	0	0	0	0	0	0	0	0	19	19	0	0	81	0
ESO-717	159	0	0	0	0	235	0	0	0	0	0	0	0	445	0
ESO-718	52	0	0	0	0	0	0	0	0	0	0	0	0	86	0
ESO-720	41	0	0	0	0	0	0	0	0	0	0	0	0	125	0
ESO-732	47	0	0	0	0	0	0	0	0	33	51	0	0	85	0
ESO-752	34	0	0	0	0	0	34	0	0	0	19	0	0	113	25
ESO-805	32	0	0	0	0	0	0	0	0	0	0	0	0	64	0
ESO-837	40	0	0	0	0	0	0	0	0	0	0	0	0	107	0
ESO-838	45	0	0	0	0	0	12	0	0	19	37	0	0	53	11
ESO-859	918	0	0	0	0	0	0	0	0	0	0	0	0	1266	0
ESO-866	25	0	0	34	0	0	0	0	0	0	23	0	0	61	0
ESO-887	33	0	0	0	0	0	32	0	0	10	25	0	0	288	12
ESO-913	36	0	0	0	0	0	0	0	0	0	16	0	0	84	0
ESO-963	22	0	0	0	0	0	0	0	0	0	0	0	0	64	0
ESO-D76	49	0	0	0	0	0	0	0	0	0	0	0	0	68	0
ESO-H01	25	0	0	0	0	0	45	0	0	0	0	0	0	88	46
ESO-K08	32	0	0	0	0	0	14	0	0	0	17	0	0	85	11
ESO-S41	30	0	0	0	0	0	0	0	0	0	0	0	0	74	0
ESO03T	21	0	0	0	0	0	0	0	0	0	16	0	0	27	0
ESO15T	20	0	0	0	0	0	0	0	0	0	0	0	0	24	0
ESOCB11T	37	0	0	0	0	0	0	0	0	0	0	0	0	51	11
TCGA-VR-A8EZ-01A-11D-A36J-09	0	100	41	0	0	0	33	0	0	0	0	0	0	69	0
TCGA-IG-A4P3-01A-11D-A27G-09	0	0	85	0	0	0	108	0	0	0	0	0	0	111	64
TCGA-R6-A6L4-01A-11D-A31U-09	0	0	20	0	0	0	0	0	0	21	48	0	0	52	0
ESO14T	0	0	0	0	11	0	11	0	0	0	11	0	0	42	0
TCGA-LN-A49M-01A-21D-A27G-09	0	0	0	0	0	0	109	0	0	0	0	0	0	108	133
TCGA-LN-A4A8-01A-32D-A27G-09	0	0	0	0	0	0	51	0	0	0	0	0	0	100	38
TCGA-LN-A4A9-01A-11D-A28B-09	0	0	0	0	0	0	100	0	0	0	0	0	0	173	62
TCGA-S8-A6BW-01A-11D-A31U-09	0	0	0	0	0	0	23	0	0	0	0	0	0	72	53
TCGA-VR-A8EP-01A-31D-A403-09	0	0	0	0	0	0	39	0	0	0	0	0	0	109	0
ESO-139	0	0	0	0	0	0	0	0	0	59	128	0	0	78	0
TCGA-LN-A4A1-01A-21D-A27G-09	0	0	0	0	0	0	0	0	0	0	0	56	0	108	0
