Sample	SBS1	SBS32	SBS33	SBS36	SBS3	SBS21	SBS7c	SBS7d	SBS15	SBS38	SBS10b	SBS30	SBS13	SBS7b	SBS4	SBS7a	SBS44	SBS5	SBS39	SBS2
TCGA-BA-4078-01A-01D-1434-08	12	0	0	0	0	0	0	0	0	0	0	0	14	0	282	0	0	249	0	26
TCGA-BA-5151-01A-01D-1434-08	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0
TCGA-BA-5152-01A-02D-1870-08	25	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	69	0	259
TCGA-BA-5557-01A-01D-1512-08	16	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	13	0	0
TCGA-BA-5558-01A-01D-1512-08	32	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	43	0	82
TCGA-BA-6871-01A-11D-1870-08	10	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	90	0	23
TCGA-BA-A6DF-01A-11D-A30E-08	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	14
TCGA-BA-A6DJ-01A-11D-A30E-08	60	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	113	0	73
TCGA-BB-4223-01A-01D-1434-08	27	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	113
TCGA-BB-4224-01A-01D-1434-08	24	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	33	0	23
TCGA-BB-4227-01A-01D-1870-08	16	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	51	0	90
TCGA-BB-4228-01A-01D-1434-08	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
TCGA-BB-A5HU-01A-11D-A28R-08	17	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	48	0	86
TCGA-BB-A5HY-01A-11D-A28R-08	17	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	160	0	42
TCGA-BB-A6UM-01A-12D-A34J-08	37	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0
TCGA-BB-A6UO-01A-12D-A34J-08	21	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	89	0	0
TCGA-CN-4723-01A-01D-1434-08	35	0	0	0	0	0	0	0	0	0	0	0	542	0	0	0	0	140	0	379
TCGA-CN-4729-01A-01D-1434-08	18	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	101	0	22
TCGA-CN-4730-01A-01D-1434-08	10	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	108	0	32
TCGA-CN-4731-01A-01D-1434-08	23	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	86	0	14
TCGA-CN-4734-01A-01D-1434-08	46	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	70	0	34
TCGA-CN-4735-01A-01D-1434-08	11	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	95	0	52
TCGA-CN-4740-01A-01D-1434-08	23	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	82	0	40
TCGA-CN-4741-01A-01D-1434-08	27	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	88	0	40
TCGA-CN-5369-01A-01D-1434-08	108	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	128	99	0	102
TCGA-CN-5370-01A-01D-2012-08	26	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	59	0	18
TCGA-CN-5373-01A-01D-1434-08	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	22
TCGA-CN-6013-01A-11D-1683-08	30	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	73	0	96
TCGA-CN-6016-01A-11D-1683-08	20	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	83	0	20
TCGA-CN-6018-01A-11D-1683-08	35	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	57	0	22
TCGA-CN-6997-01A-11D-2012-08	12	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	93	0	16
TCGA-CN-6998-01A-23D-2012-08	36	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	39	0	16
TCGA-CN-A498-01A-11D-A24D-08	11	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	97	0	22
TCGA-CN-A499-01A-11D-A24D-08	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0
TCGA-CN-A49A-01A-11D-A24D-08	22	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	66	0	30
TCGA-CN-A63T-01A-11D-A28R-08	16	0	0	0	0	0	0	0	0	0	0	0	17	0	122	0	0	166	0	0
TCGA-CN-A63V-01A-11D-A28R-08	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0
TCGA-CN-A63Y-01A-11D-A30E-08	25	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	34	0	88
TCGA-CN-A640-01A-21D-A30E-08	15	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	31	0	13
