Sample	SBS1	SBS29	SBS18	SBS40	SBS20	SBS15	SBS10b	SBS28	SBS6	SBS13	SBS4	SBS17a	SBS17b	SBS5	SBS2
TCGA-05-4249-01A-01D-1105-08	17	0	0	0	0	0	0	0	0	20	224	0	0	118	12
TCGA-05-4382-01A-01D-1931-08	21	0	0	0	0	0	0	0	0	107	1491	0	0	272	111
TCGA-05-4390-01A-02D-1753-08	11	0	0	0	0	0	0	0	0	0	499	0	0	167	0
TCGA-05-4405-01A-21D-1855-08	16	0	0	0	0	0	0	0	0	21	270	0	0	159	0
TCGA-05-4410-01A-21D-1855-08	15	0	0	0	0	0	0	0	0	78	899	0	0	307	78
TCGA-05-4424-01A-22D-1855-08	22	0	0	0	0	0	0	0	0	75	587	0	0	175	49
TCGA-05-5428-01A-01D-1625-08	19	0	0	254	0	0	0	0	0	43	0	0	0	0	75
TCGA-05-5715-01A-01D-1625-08	17	0	0	0	0	0	0	0	0	54	0	0	0	44	36
TCGA-17-Z007-01A-01W-0746-08	39	0	0	44	0	0	0	0	0	0	0	0	0	10	0
TCGA-17-Z010-01A-01W-0746-08	12	0	0	0	0	0	0	0	0	15	244	0	0	50	30
TCGA-17-Z014-01A-01W-0746-08	12	0	0	0	0	0	0	0	0	22	245	0	0	167	25
TCGA-17-Z015-01A-01W-0746-08	54	0	0	0	0	0	0	0	0	0	350	0	0	234	0
TCGA-17-Z016-01A-01W-0746-08	10	0	0	0	0	0	0	0	0	0	230	0	0	127	0
TCGA-17-Z031-01A-01W-0746-08	33	0	0	473	0	0	0	0	0	0	1702	32	131	448	0
TCGA-17-Z037-01A-01W-0746-08	69	0	0	98	0	0	0	0	0	0	0	0	0	0	0
TCGA-17-Z053-01A-01W-0747-08	10	0	0	0	0	0	0	0	0	21	162	0	0	162	15
TCGA-35-3615-01A-01D-1040-01	13	0	0	73	0	0	0	0	0	15	0	0	0	0	28
TCGA-38-4625-01A-01D-1553-08	14	0	0	0	0	0	0	0	0	61	492	0	0	92	74
TCGA-44-2656-01A-41D-A27T-08	18	0	0	0	0	0	0	0	0	0	738	0	0	284	0
TCGA-44-2657-01A-01D-1105-08	18	0	0	0	0	0	0	0	0	25	300	0	0	129	24
TCGA-44-3918-01A-01D-A271-08	10	0	0	0	0	0	0	0	0	63	816	0	0	198	34
TCGA-44-4112-01A-31D-A27T-08	18	0	0	0	0	0	0	0	0	61	350	0	0	120	49
TCGA-44-5644-01A-21D-2036-08	20	0	0	0	0	0	0	0	0	0	834	0	0	322	0
TCGA-44-6145-01A-11D-1753-08	10	0	0	126	0	0	0	0	0	0	249	0	0	0	0
TCGA-44-7667-01A-31D-2063-08	20	0	0	0	0	0	0	0	0	0	317	0	0	220	0
TCGA-44-7670-01A-11D-2063-08	13	0	0	0	0	0	0	0	0	101	922	0	0	230	80
TCGA-44-8117-01A-11D-2238-08	17	0	0	0	0	0	0	0	0	0	620	0	0	234	0
TCGA-44-8119-01A-11D-2238-08	21	0	0	0	0	0	0	0	0	0	411	0	0	301	0
TCGA-44-A47A-01A-21D-A24D-08	13	0	0	0	0	0	0	0	0	71	0	0	0	127	31
