Sample	SBS1	SBS36	SBS3	SBS11	SBS7c	SBS31	SBS7d	SBS38	SBS10b	SBS14	SBS7b	SBS7a	SBS17a	SBS17b	SBS5
TCGA-3N-A9WB-06A-11D-A38G-08	10	0	0	0	0	0	0	0	0	0	35	135	0	0	30
TCGA-3N-A9WD-06A-11D-A38G-08	11	0	0	0	0	0	43	0	0	0	292	743	0	0	104
TCGA-BF-A3DL-01A-11D-A20D-08	10	0	0	0	0	0	19	0	0	0	128	359	0	0	64
TCGA-BF-A3DM-01A-11D-A20D-08	14	0	0	0	0	0	12	0	0	0	233	302	0	0	59
TCGA-BF-A5EO-01A-12D-A27K-08	10	0	0	0	0	0	0	0	0	0	176	496	0	0	127
TCGA-BF-A5EQ-01A-21D-A27K-08	10	0	0	0	0	0	32	0	0	0	272	428	0	0	38
TCGA-BF-A5ES-01A-11D-A27K-08	20	0	0	0	0	0	11	0	0	0	238	316	0	0	70
TCGA-BF-AAOU-01A-12D-A397-08	14	0	0	0	0	0	12	0	0	0	149	234	0	0	27
TCGA-BF-AAOX-01A-11D-A397-08	17	0	0	0	0	0	31	0	0	0	506	892	0	0	193
TCGA-BF-AAP1-01A-11D-A397-08	18	0	0	0	0	0	0	0	0	0	252	741	0	0	166
TCGA-BF-AAP4-01A-11D-A401-08	12	0	0	0	35	0	31	0	0	0	398	505	0	0	62
TCGA-D3-A1Q6-06A-11D-A196-08	11	0	0	0	0	0	43	0	0	0	459	466	0	0	0
TCGA-D3-A1QB-06A-11D-A19A-08	13	0	0	0	0	0	0	0	0	0	181	222	0	0	65
TCGA-D3-A2JE-06A-11D-A372-08	11	0	0	0	0	0	0	0	0	0	162	214	0	0	43
TCGA-D3-A2JF-06A-11D-A196-08	21	0	0	0	25	0	23	0	0	0	641	1117	0	0	63
TCGA-D3-A2JH-06A-11D-A196-08	19	0	0	0	0	0	12	0	0	0	295	365	0	0	81
TCGA-D3-A3C1-06A-12D-A196-08	11	0	0	0	0	0	0	0	0	0	57	58	0	0	75
TCGA-D3-A3C3-06A-12D-A19A-08	15	0	0	0	11	0	0	0	0	0	141	92	0	0	73
TCGA-D3-A3ML-06A-11D-A21A-08	18	0	0	0	0	0	51	0	0	0	259	784	0	0	105
