Sample	SBS10a	SBS1	SBS36	SBS21	SBS18	SBS40	SBS20	SBS15	SBS10b	SBS28	SBS6	SBS13	SBS14	SBS17a	SBS17b	SBS44	SBS5	SBS2
TCGA-BR-8680-01A-11D-2394-08	1612	587	0	0	0	0	0	0	2696	0	0	0	0	0	0	0	2954	0
TCGA-3M-AB46-01A-11D-A410-08	0	26	0	0	0	125	0	0	0	0	0	14	0	0	0	0	24	0
TCGA-3M-AB47-01A-22D-A410-08	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0
TCGA-B7-5816-01A-21D-1600-08	0	328	0	0	0	0	229	137	0	0	0	0	0	0	0	0	728	0
TCGA-B7-A5TI-01A-11D-A31L-08	0	262	0	0	0	0	123	86	0	0	0	0	0	0	0	0	232	0
TCGA-B7-A5TJ-01A-11D-A31L-08	0	122	0	0	0	0	0	0	0	0	0	0	0	13	30	0	150	0
TCGA-B7-A5TK-01A-12D-A31L-08	0	35	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BR-4183-01A-02D-1126-08	0	29	0	0	0	34	0	0	0	0	0	0	0	0	0	0	17	0
TCGA-BR-4188-01A-01D-1126-08	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0
TCGA-BR-4201-01A-01D-1126-08	0	489	0	0	0	0	0	208	0	0	0	0	0	0	0	0	824	0
TCGA-BR-4256-01A-01D-1126-08	0	198	0	0	0	0	232	0	0	0	254	0	0	0	0	0	478	0
TCGA-BR-4257-01A-01D-1126-08	0	238	0	0	0	0	211	0	0	0	231	0	0	0	0	0	585	0
TCGA-BR-4279-01A-01D-1126-08	0	15	0	0	0	0	0	0	12	0	0	0	0	0	0	0	33	0
TCGA-BR-4292-01A-01D-1126-08	0	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	633	0
TCGA-BR-4357-01A-01D-1158-08	0	19	0	0	0	0	0	0	0	0	0	36	0	30	34	0	175	22
TCGA-BR-4361-01A-01D-1158-08	0	384	0	923	0	0	0	309	0	0	0	0	0	0	0	0	1176	0
TCGA-BR-4362-01A-01D-1158-08	0	609	0	0	0	0	167	160	0	0	0	0	0	67	85	0	644	0
TCGA-BR-4363-01A-01D-1158-08	0	228	0	0	0	0	97	0	0	0	0	0	0	0	0	0	274	0
