Sample	SBS1	SBS34	SBS3	SBS21	SBS18	SBS26	SBS40	SBS9	SBS37	SBS30	SBS13	SBS17a	SBS17b	SBS8	SBS41	SBS44	SBS5	SBS39	SBS2
SP117956	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1703	0	0
SP117975	458	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	1824	0	131
SP2149	480	0	7560	0	751	0	0	0	0	0	297	0	0	0	0	0	1770	0	162
SP117113	369	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	1159	0	95
SP117245	376	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	1698	0	298
SP117402	326	0	0	0	0	0	0	0	0	0	958	0	0	0	0	0	1889	0	794
SP117136	247	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	1047	0	0
SP117378	201	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	1582	0	42
SP116947	376	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	2112	0	120
SP117369	178	0	0	0	0	0	0	0	0	0	24095	0	0	0	0	0	759	0	30622
SP117244	176	0	0	0	0	0	0	0	0	0	517	0	0	0	0	0	971	0	636
SP117162	518	0	965	0	258	0	0	0	0	0	80	0	0	0	0	0	1035	0	142
SP117079	199	0	0	0	0	0	0	0	0	0	701	0	0	0	0	0	1144	0	1125
SP117344	312	0	3015	0	0	0	0	0	0	0	58	0	0	0	334	0	802	0	134
SP118074	963	0	0	0	1250	0	0	0	0	0	374	0	0	0	710	0	3358	0	224
SP117598	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1764	0	0
SP117312	357	0	0	0	0	0	0	0	0	0	412	0	0	0	0	0	1274	0	197
SP118038	240	0	0	0	0	0	0	0	0	0	2977	0	0	0	0	0	3347	0	2678
SP117552	233	0	0	0	201	0	0	0	0	0	14	0	0	0	0	0	760	0	47
SP118073	378	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	1187	0	0
SP117933	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1036	0	0
SP118012	261	0	0	0	207	0	0	0	0	0	13	0	0	0	0	0	1120	0	111
SP117108	323	0	0	0	581	0	0	0	0	0	0	0	0	0	0	0	1038	0	0
SP117812	262	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	1188	0	0
SP117354	400	0	0	0	723	0	0	0	0	0	88	0	0	0	0	0	1958	0	120
SP117370	329	0	0	0	313	0	0	0	0	0	29	0	0	0	0	0	999	0	115
SP116991	342	0	0	0	328	0	0	0	0	0	84	0	0	0	0	0	1499	0	293
SP117629	284	0	3613	0	0	0	0	0	0	0	430	0	0	0	0	0	1196	0	268
SP124199	464	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	2009	0	358
SP124195	461	0	0	0	241	0	0	0	0	0	46	0	0	0	0	0	1196	0	111
SP117850	329	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	1192	0	327
SP117127	260	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	914	0	0
SP117614	398	0	3551	0	0	0	0	0	0	0	158	0	0	0	0	0	1232	0	110
SP116948	368	0	0	0	378	0	0	0	0	0	56	0	0	0	0	0	2092	0	213
SP117409	284	0	4056	0	793	0	0	0	0	0	338	0	0	0	0	0	1836	0	292
SP117593	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1413	0	0
SP117372	264	0	0	0	0	0	0	0	0	0	6148	0	0	0	0	0	1435	0	4869
SP118077	402	0	0	0	0	0	0	0	0	0	70	0	0	0	227	0	1560	0	146
SP117840	273	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	1573	0	90
SP117363	316	0	0	0	1287	0	0	0	0	0	92	0	0	0	0	0	2492	0	176
SP117887	428	0	5688	0	0	0	0	0	0	0	195	0	0	0	0	0	998	0	307
SP116946	394	0	0	0	449	0	0	0	0	0	48	0	0	0	0	0	1967	0	93
SP117901	234	0	0	0	0	0	0	0	0	0	1264	0	0	0	0	0	4177	0	1001
SP117454	383	0	497	0	0	0	0	0	0	0	49	0	0	0	0	0	753	0	60
SP124197	278	0	8871	0	0	0	0	0	0	0	7286	0	0	0	0	0	350	0	6452
SP117919	367	0	5710	0	0	0	0	0	0	0	723	0	0	0	0	0	1655	0	548
SP117250	245	0	0	0	0	0	0	0	0	0	3036	0	0	0	0	0	1514	0	3681
SP117983	284	0	0	0	540	0	0	0	0	0	509	0	0	0	0	0	1729	0	485
SP117676	213	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	1418	0	196
SP117011	239	0	0	0	0	0	0	0	0	0	12879	0	0	0	0	0	1432	0	21565
SP117057	212	0	0	0	449	0	0	0	0	0	291	0	0	0	0	0	1486	0	560
SP117126	446	0	0	0	227	0	0	0	0	0	52	0	0	0	0	0	1493	0	92
SP117728	278	0	0	0	269	0	0	0	0	0	16	0	0	0	0	0	1373	0	57
SP117618	213	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	947	0	0
SP117257	230	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	954	0	229
SP116963	317	0	0	0	164	0	0	0	0	0	23	0	0	0	0	0	1049	0	68
SP117078	414	0	0	0	1088	0	0	0	0	0	260	0	0	0	0	0	3683	0	458
SP117944	179	0	0	0	1094	0	0	0	0	0	1340	0	0	0	0	0	4815	0	750
SP117639	728	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	3508	0	1234
SP117834	416	0	0	0	830	0	0	0	0	0	193	0	0	0	0	0	3671	0	124
SP117105	523	0	0	0	387	0	0	0	0	0	325	0	0	0	0	0	2093	0	322
SP117785	318	0	0	0	0	0	0	0	0	0	1080	0	0	0	0	0	2687	0	354
SP117882	262	0	0	0	289	0	0	0	0	0	244	0	0	0	0	0	1007	0	244
SP117778	320	0	0	0	262	0	0	0	0	0	29	0	0	0	0	0	2158	0	76
SP117032	299	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	1877	0	38
SP117710	262	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	1830	0	494
SP117538	342	0	6859	0	0	0	0	0	0	0	674	0	0	0	0	0	1390	0	539
SP124207	340	0	2690	0	1361	0	0	0	0	0	153	0	0	0	744	0	3052	0	306
SP117800	500	0	0	0	658	0	0	0	0	0	308	0	0	0	0	0	2418	0	283
SP117724	508	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	2074	0	105
SP124193	266	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	1374	0	770
SP2293	517	0	0	0	0	0	0	0	0	0	31726	0	0	0	0	0	414	0	32408
SP2357	375	0	7221	0	0	0	0	0	0	0	205	0	0	0	0	0	1789	0	771
SP2144	260	0	3992	0	0	0	0	0	0	0	685	0	0	0	0	0	840	0	338
SP2145	238	0	0	0	0	0	4190	0	0	0	381	0	0	0	0	0	764	0	336
SP2147	373	0	6709	0	1279	0	0	0	0	0	531	0	0	0	0	0	2634	0	474
SP2146	260	0	3303	0	0	0	0	0	0	0	465	0	0	0	0	0	759	0	335
SP2148	242	0	2954	0	0	0	0	0	0	0	1646	0	0	0	0	0	784	0	1162
SP2150	436	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	2642	0	144
SP2152	323	0	0	0	541	0	0	0	0	0	106	0	0	0	0	0	936	0	126
SP2349	604	0	0	0	1002	0	0	0	0	0	637	0	0	0	0	0	2924	0	771
SP2155	234	0	6125	0	0	0	0	0	0	0	828	0	0	0	0	0	1251	0	536
SP2154	446	0	6870	0	0	0	0	1046	0	0	310	0	0	0	0	0	1362	0	294
SP2158	694	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	3957	0	718
SP2156	354	0	1556	0	0	0	0	0	0	0	553	0	0	0	0	0	2062	0	391
SP2159	322	0	0	0	0	0	0	0	0	0	2592	0	0	0	0	0	1603	0	2657
SP2153	1004	0	4457	0	0	0	0	0	0	0	1457	0	0	0	0	0	3357	0	886
SP2160	193	0	0	0	323	0	0	0	0	0	130	0	0	0	0	0	1702	0	145
SP2151	146	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	1280	0	255
SP116341	271	0	5792	0	0	0	0	0	0	0	1230	0	0	0	0	0	1955	0	599
SP116331	425	0	0	0	1438	0	0	0	0	0	134	0	0	0	577	0	2514	0	102
SP116351	441	0	0	0	723	0	0	0	0	0	79	0	0	0	0	0	1891	0	132
SP116371	246	0	1641	0	415	0	0	0	0	0	368	0	0	0	0	0	1428	0	482
SP116361	135	0	0	0	0	0	0	0	0	0	4643	0	0	0	0	0	3247	0	2519
SP116343	700	0	2354	0	662	0	0	0	0	0	324	0	0	0	0	0	2326	0	281
SP116333	373	0	2101	0	0	0	0	0	0	0	264	0	0	0	0	0	1716	0	169
SP116373	413	0	7162	0	0	0	0	0	0	0	521	0	0	0	0	0	765	0	176
SP116363	286	0	4245	0	467	0	0	0	0	0	332	0	0	0	0	0	922	0	190
SP116353	976	0	2477	0	1596	0	0	0	0	0	275	0	0	0	0	0	4197	0	425
SP116345	361	0	0	0	421	0	0	0	0	0	45	0	0	0	329	0	1635	0	108
SP116365	288	0	3668	0	0	0	0	0	0	0	1024	0	0	0	0	0	983	0	416
SP116375	1107	0	0	0	1692	0	0	0	0	0	0	0	0	0	0	0	5072	0	0
SP116335	365	0	2674	0	719	0	0	0	0	0	0	183	370	0	611	0	1808	0	0
SP116355	353	0	6257	0	982	0	0	0	0	0	996	0	0	0	0	0	1086	0	374
SP116347	534	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	1636	0	0
SP116367	725	0	4656	0	793	0	0	0	0	0	168	0	0	0	560	0	1361	0	171
