Sample	SBS1	SBS11	SBS40	SBS15	SBS37	SBS30	SBS5
SP24708	2611	0	3742	0	0	0	1366
SP24301	2468	0	3353	0	0	0	1459
SP27201	2647	0	3265	0	0	0	838
SP28791	543	0	1256	0	0	0	1448
SP23739	1490	0	0	0	0	690	4481
SP24702	1712	0	3882	0	0	0	2358
SP25332	438	0	0	0	0	0	1308
SP28335	1976	0	4467	0	0	0	1659
SP26709	1079	0	1888	0	0	0	1453
SP25350	2384	0	3232	0	0	0	1332
SP25380	2452	0	4228	0	0	0	1509
SP24565	1889	0	2410	0	0	0	1212
SP25833	1356	0	4433	0	0	0	1151
SP25905	1456	0	3558	0	0	0	1055
SP26439	609	0	0	0	0	0	4309
SP24236	2964	0	7681	0	0	0	312
SP24815	2987	0	6918	0	0	0	1256
SP27957	3133	0	4632	0	0	0	719
SP27603	2773	0	4229	0	0	0	1701
SP27825	2481	0	4175	0	0	0	1769
SP24135	2703	0	4173	0	0	0	1745
SP26499	952	0	0	0	0	0	2578
SP25518	3286	0	5562	0	0	0	1761
SP28659	3165	0	0	0	0	0	6855
SP23622	1560	0	2609	0	0	0	893
SP27939	2350	0	0	0	0	0	3349
SP23754	1052	0	0	0	0	0	2048
SP29697	1376	0	0	0	0	0	2795
SP27339	1852	0	2166	0	0	0	1197
SP29559	442	0	2401	0	0	0	2114
SP29331	2389	0	3533	0	0	0	1870
SP26475	1305	0	3620	0	0	0	1103
SP23775	2453	0	0	0	0	0	9544
SP28275	2101	0	0	0	0	0	4047
SP28581	2404	0	0	0	0	0	4839
SP23639	2305	0	0	0	0	0	4848
SP24391	2297	0	3165	0	0	0	1351
SP28041	4345	0	5669	0	0	0	1267
SP25494	1589	213551	0	0	0	0	29903
SP26649	2121	0	2077	0	0	0	759
SJHGG001_A	69	0	265	0	0	0	50
SJHGG002_A	129	0	1037	0	0	0	204
SJHGG003_A	70	0	0	1558	0	0	2989
SJHGG004_D	56	0	258	0	49	0	64
SJHGG007_A	85	0	315	0	0	0	178
SJHGG008_A	87	0	287	0	0	0	0
SJHGG009_A	75	0	343	0	0	0	74
SJHGG010_D	222	0	574	0	0	0	310
SJHGG011_D	207	0	2023	0	0	0	0
SJHGG012_D	132	0	282	0	0	0	129
SJHGG019_E	156	0	1345	0	166	0	223
SJHGG022_D	811	0	1347	0	0	0	644
SJHGG024_D	134	0	535	0	259	0	63
SJHGG027_D	93	0	241	0	0	0	83
SJHGG028_D	55	0	1192	0	0	0	280
SJHGG033_D	34	0	125	0	0	0	178
SJHGG041_D	267	0	525	0	0	0	372
SJHGG044_D	92	0	207	0	0	0	207
SJHGG052_A	80	0	285	0	51	0	86
SJHGG064_A	129	0	346	0	0	0	128
SJHGG077_A	67	0	316	0	0	0	89
SJHGG101_A	77	0	271	0	0	0	236
SJHGG102_D	56	0	403	0	73	0	110
