Sample	SBS10a	SBS1	SBS18	SBS40	SBS15	SBS10b	SBS28	SBS37	SBS17a	SBS17b	SBS41	SBS44	SBS5
SP81312	286145	27622	0	0	0	288758	81266	0	0	0	0	0	123696
SP22031	120638	4441	0	0	0	41834	49250	0	0	0	0	0	18068
SP16886	406630	2051	0	0	0	106952	255962	0	0	0	0	0	77687
SP19295	134596	6240	0	0	0	44143	44673	0	0	0	0	0	30215
SP17905	946039	3924	0	0	0	208495	607474	328078	0	0	0	0	338607
SP21400	223491	28611	0	0	0	210699	152178	0	0	0	0	0	178061
SP18946	439421	17610	0	0	0	127205	164708	0	0	0	0	0	211869
SP80615	1046491	948	0	0	0	236800	690231	0	0	0	0	0	451999
SP18310	0	33221	0	0	0	0	0	0	0	0	0	49282	25724
SP17172	0	31717	0	0	0	0	0	0	0	0	0	46366	46279
SP96133	0	13278	0	0	0	0	0	0	0	0	0	31246	36824
SP110242	0	14945	0	0	0	0	0	0	0	0	0	57440	41590
SP114330	0	2984	2192	3232	0	0	0	0	0	0	0	0	2400
SP21017	0	7861	0	0	21789	0	0	0	0	0	0	25201	33583
SP22383	0	12546	0	0	0	0	0	0	0	0	0	35926	49006
SP96112	0	1703	1617	0	0	0	0	0	0	0	0	0	3604
SP19215	0	11321	0	0	0	0	0	0	0	0	0	36994	46589
SP96120	0	2734	8191	9605	0	0	0	2916	0	0	0	0	628
SP96124	0	2343	3215	0	0	0	0	0	0	0	0	0	3829
SP19670	0	2335	6212	0	0	0	0	0	0	0	0	0	2858
SP16934	0	1975	3133	6224	0	0	0	1469	950	2355	0	0	923
SP20993	0	3327	2408	9421	0	0	0	0	0	0	0	0	3389
SP19983	0	3681	4108	12119	0	0	0	0	0	0	0	0	1694
SP18121	0	6255	0	0	0	0	0	25367	0	0	0	65500	64017
SP96122	0	2734	10355	0	0	0	0	0	0	0	0	0	6193
SP119755	0	2755	5434	7291	0	0	0	0	0	0	0	0	3795
SP96126	0	3573	6481	0	0	0	0	0	0	0	0	0	8907
SP19606	0	2694	0	19555	0	0	660	0	1452	5376	0	0	411
SP96118	0	5746	0	0	0	0	0	0	0	0	0	11947	6878
SP21528	0	3081	3734	0	0	0	0	0	0	0	0	0	5446
SP23078	0	2079	0	11337	0	0	0	0	0	0	0	0	0
SP17430	0	2301	0	7254	0	0	0	0	0	0	0	0	1015
SP96110	0	2157	4599	0	0	0	0	0	0	0	0	0	5689
SP21057	0	2772	2989	8657	0	0	0	1511	0	0	0	0	2274
SP22750	0	3297	4082	0	0	0	0	0	0	0	0	0	5001
SP19750	0	1531	2292	0	0	0	0	0	0	0	0	0	3078
SP17016	0	2267	4092	4836	0	0	0	0	0	0	0	0	2154
SP16958	0	3938	4932	5782	0	0	0	0	0	0	0	0	2640
SP17329	0	2212	1304	4717	0	0	0	0	0	0	0	0	1529
SP96116	0	2215	6980	1976	0	0	0	0	0	0	0	0	1389
SP96129	0	2543	2464	3641	0	0	0	0	0	0	0	0	2740
SP21193	0	3045	1864	7747	0	0	0	0	0	0	0	0	2158
SP18787	0	3923	8790	0	0	0	0	0	0	0	0	0	5548
SP96114	0	3755	3832	8140	0	0	0	0	0	0	0	0	1911
SP19582	0	1829	0	8749	0	0	0	0	0	0	0	0	870
SP17294	0	3467	5488	6670	0	0	530	0	1484	4338	0	0	4810
SP82087	0	3396	0	11126	0	0	0	0	0	0	0	0	681
SP80271	0	2301	2326	5316	0	0	224	0	496	1290	0	0	3016
SP81172	0	2145	0	14785	0	0	0	1807	0	0	0	0	345
SP81840	0	2473	2363	3294	0	0	0	0	0	0	0	1128	2255
SP80657	0	2579	2218	0	0	0	0	0	0	0	0	0	4303
SP81494	0	2920	307	11475	0	0	0	0	0	0	0	0	6364
SP81711	0	3671	3848	8195	0	0	0	0	0	0	0	0	4559
SP80423	0	2489	1697	6891	0	0	0	0	0	0	0	0	2540
SP80754	0	2239	2460	0	0	0	423	0	0	0	0	0	6086
SP81440	0	1764	1953	2838	0	0	0	0	0	0	0	0	1109
SP80950	0	1715	2678	2164	0	0	0	0	0	0	0	0	981
SP82103	0	2511	2514	2643	0	0	0	0	0	0	0	0	1678
SP81137	0	2401	0	14787	0	0	809	2609	0	0	0	0	0
CRC-26T	0	917	0	0	0	0	0	0	0	0	0	0	13039
CRC-27T	0	1512	0	3987	0	0	0	0	0	0	0	0	7199
CRC-38T	0	865	0	3249	0	0	0	0	0	0	0	0	5557
CRC-39T	0	1658	0	5076	0	0	0	0	0	0	0	0	7643
CRC-40T	0	1753	0	6602	0	0	0	0	0	0	0	0	9138
Sample_1	0	3342	1930	8467	0	0	0	0	0	0	0	0	2693
CRC-01T	0	58	0	0	0	0	0	0	0	0	0	0	559
CRC-12T	0	42	0	0	0	0	0	0	0	0	0	0	590
CRC-15T	0	79	0	0	0	0	0	0	0	0	0	0	611
CRC-17T	0	42	0	0	0	0	0	0	0	0	0	0	463
CRC-20T	0	93	0	0	0	0	0	0	0	0	0	0	497
CRC-22T	0	71	0	0	0	0	0	0	0	0	0	0	674
PD26636a6	0	2331	4512	0	0	0	0	0	0	0	3726	0	5578
