Sample	SBS1	SBS34	SBS3	SBS18	SBS26	SBS40	SBS20	SBS28	SBS6	SBS13	SBS17a	SBS17b	SBS5	SBS2
SP111062	1735	0	0	3622	0	4742	0	0	0	317	201	449	3171	547
SP111006	2018	0	0	4926	0	0	0	0	0	2142	2326	4164	14097	1021
SP110846	837	0	0	0	0	5589	0	0	0	595	0	0	2676	329
SP111086	1802	0	11549	0	0	0	0	0	0	0	5536	12754	9443	0
SP111096	1445	0	0	2867	0	5071	0	0	0	102	1951	2995	1239	895
SP111058	777	0	0	0	0	0	0	0	0	0	12092	37547	13567	0
SP111092	1328	0	0	0	0	15443	0	0	0	0	2786	3943	1628	0
SP111076	1404	0	0	2545	0	3943	0	0	0	0	106	347	2486	0
SP111098	1313	0	0	1849	0	5009	0	0	0	307	692	1402	3374	568
SP111039	1079	0	0	654	0	3237	0	0	0	0	0	0	2271	0
SP111052	503	0	1649	0	0	0	0	0	0	113	780	1400	1290	253
SP111166	2229	0	0	0	0	0	0	2656	0	0	7195	15844	15782	0
SP111014	839	0	0	0	0	6275	0	0	0	0	2180	3557	696	0
SP111066	489	0	0	0	0	0	0	0	0	0	17909	35143	26118	0
SP111094	3200	0	0	0	0	14305	0	0	0	0	1599	4410	3250	0
SP111015	873	0	0	0	0	9695	0	0	0	0	2496	4769	3709	0
SP110853	1857	0	0	0	0	15308	0	0	0	0	4321	8177	2564	0
SP111051	628	0	2903	1161	0	0	0	0	0	382	281	535	2241	361
SP110855	1703	0	0	0	0	0	0	0	0	0	4640	12957	15698	0
SP111004	2636	0	0	4766	0	0	0	0	0	0	397	879	9346	0
SP111078	1050	0	0	1198	0	6134	0	0	0	0	1575	2358	1136	0
SP110863	1645	0	0	0	0	0	0	0	0	0	4913	11561	10652	0
SP111013	1283	0	0	1366	0	3237	0	0	0	137	636	1232	2238	445
SP111042	384	0	0	0	0	1974	0	0	0	0	156	199	591	0
SP111040	747	0	0	1364	0	6914	0	0	0	0	588	996	965	0
SP111031	1894	0	0	6210	0	10859	0	0	0	0	3828	7916	3269	0
SP23496	1223	0	5802	0	0	0	0	0	0	1713	3016	5599	4840	1391
SP111030	1224	0	0	3385	0	0	0	0	0	890	3042	6014	8650	851
SP111019	1183	0	0	0	0	11333	0	3737	0	0	10230	13756	2333	0
SP111026	1588	0	0	0	0	0	0	0	0	0	9694	24572	10935	0
SP110860	1793	0	0	0	0	14307	0	0	0	0	6848	14956	1980	0
SP110851	2043	0	0	3881	0	0	0	0	0	955	718	1466	9577	681
SP111059	1960	0	0	4023	0	6008	0	0	0	0	1313	2366	3386	0
SP111170	1616	0	0	6439	0	0	0	0	0	0	3908	7266	12894	0
SP111054	1405	0	0	0	0	20298	0	0	0	0	5121	12529	1121	0
SP111033	1354	0	0	0	0	8399	0	0	0	0	1789	3950	2317	0
SP111113	617	0	0	0	0	0	0	0	0	0	12591	39051	26881	0
SP110865	1678	0	19462	0	0	0	0	0	0	3642	4625	10435	11407	4502
SP111061	2030	0	0	4104	0	6689	0	0	0	0	1094	2783	3849	0
SP111101	3191	0	0	0	0	7778	0	0	0	0	1003	1998	2941	0
SP110859	2031	0	0	0	0	14796	0	3520	0	0	8020	7726	2552	0
