Sample	SBS1	SBS33	SBS3	SBS18	SBS40	SBS7d	SBS13	SBS7b	SBS4	SBS7a	SBS17a	SBS17b	SBS16	SBS5	SBS2
SP29914	797	0	0	0	0	0	1142	0	6959	0	0	0	0	17212	873
SP31046	435	0	0	690	0	0	132	0	0	0	0	0	0	1477	287
SP31334	472	0	0	0	4419	0	1648	0	0	0	0	0	0	3501	2472
SP30011	736	0	2816	0	0	0	149	0	0	0	0	0	0	1406	449
SP31174	611	0	0	2883	0	0	472	0	0	0	0	0	0	4259	589
SP32662	959	0	0	0	8338	0	3680	0	0	0	0	0	0	1686	2030
SP31126	833	0	4908	0	0	0	779	0	0	0	0	0	0	2076	880
SP32958	1502	3321	0	0	0	0	1930	0	0	0	0	0	0	3187	3253
SP31422	1086	0	0	0	7362	0	2077	0	0	0	0	0	0	5535	836
SP33496	673	0	0	0	0	0	19849	0	0	0	0	0	0	12393	16766
SP34005	438	0	0	0	0	0	418	0	0	0	0	0	0	2146	388
SP31030	2418	0	0	0	7498	0	5653	0	0	0	0	0	0	1645	10011
SP33544	510	0	15145	0	0	0	3482	0	0	0	0	0	0	8418	3103
SP33688	734	0	0	0	0	0	21494	0	0	0	0	0	0	5971	14826
SP30907	378	0	0	0	4614	0	635	0	2206	0	0	0	1069	3801	197
SP30185	482	0	0	0	1539	0	685	0	0	0	0	0	0	923	1422
SP33837	502	0	0	693	0	0	482	0	0	0	0	0	0	1719	554
SP31790	883	0	0	2128	0	0	422	0	0	0	0	0	0	3266	488
SP30143	933	0	0	0	0	0	442	0	0	0	0	0	0	3110	1418
SP30071	955	0	0	1295	6529	0	336	0	0	0	0	0	0	8496	384
SP30493	993	0	0	0	0	0	4425	0	0	0	0	0	0	3341	5379
SP32014	690	0	0	0	2498	0	151	0	0	0	0	0	0	1047	241
SP30332	189	0	0	0	0	0	1911	0	24706	0	0	0	0	24404	1297
SP31814	381	0	0	0	4500	0	718	0	0	0	0	0	0	1218	727
SP29987	1311	0	0	0	8344	0	769	0	0	0	0	0	1652	4090	646
SP30083	598	0	0	1024	0	0	982	0	0	0	0	0	0	2456	789
SP32742	1163	0	0	0	5244	0	5744	0	0	0	0	0	0	3165	6543
SP115162	445	0	0	0	1407	0	636	0	0	0	0	0	0	935	719
SP29940	1044	0	0	1709	0	0	1318	0	0	0	0	0	0	3297	1430
SP30843	816	0	0	0	0	0	129	0	0	0	0	0	0	1763	329
SP32222	97	0	0	139	0	0	12	0	0	0	0	0	0	234	41
SP31190	923	0	0	0	8702	0	339	0	0	0	0	0	667	2320	38
SP30077	954	0	0	0	11239	0	4022	0	0	0	0	0	0	6217	1983
SP32694	812	0	0	0	0	0	5129	0	0	0	0	0	0	12548	3513
SP33774	810	0	0	1161	0	0	145	0	0	0	0	0	0	2695	344
SP30093	713	0	0	839	0	0	564	0	0	0	0	0	0	2522	560
SP33094	1002	0	0	0	6787	0	945	0	0	0	0	0	0	3166	1264
SP30803	770	0	0	0	0	0	22096	0	0	0	0	0	0	6689	19898
SP31854	642	0	0	0	16638	155	4796	1464	0	539	0	0	0	3908	3653
SP31606	524	0	0	0	1315	0	95	0	0	0	0	0	0	974	216
SP30213	443	0	0	0	0	0	1724	0	0	0	0	0	0	2563	2483
SP32894	405	0	0	719	0	0	84	0	0	0	0	0	0	1483	175
SP117260	735	0	0	0	4739	0	0	0	0	0	0	0	0	1535	0
SP117124	1090	0	0	1624	0	0	973	0	0	0	0	0	0	4519	800
SP117932	996	0	0	0	0	0	3913	0	0	0	0	0	0	5495	2853
SP117189	361	0	0	452	1356	0	0	0	0	0	23	74	0	626	0
SP117217	73	0	0	127	0	0	57	0	0	0	0	0	0	479	44
SP117779	722	0	0	1494	0	0	508	0	0	0	0	0	0	3262	420
SP117376	981	0	0	1232	5220	0	0	0	0	0	21	241	0	2940	0
SP117681	474	0	0	0	1835	0	429	0	0	0	0	0	0	804	218
SP117408	401	0	0	677	0	0	815	0	0	0	0	0	0	1880	771
SP118015	676	0	0	1113	0	0	329	0	0	0	0	0	0	3067	588
SP117509	1167	0	0	0	4786	0	2945	0	0	0	0	0	0	2987	3202
SP117482	967	0	0	0	0	0	9216	0	0	0	0	0	0	5984	7670
SP117003	891	0	3417	0	0	0	3315	0	0	0	0	0	0	2481	2364
SP30113	0	0	0	0	0	0	3988	0	45713	0	0	0	0	36117	1805
SP30675	0	0	0	0	0	0	2796	0	32568	0	0	0	0	26274	1547
