Sample	SBS1	SBS24	SBS29	SBS22	SBS3	SBS18	SBS31	SBS26	SBS40	SBS9	SBS19	SBS28	SBS6	SBS30	SBS14	SBS12	SBS4	SBS17a	SBS17b	SBS35	SBS16	SBS5
SP97749	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1582	0	0	0	0	6467
SP49235	11	0	1165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6841
SP97747	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1959	0	0	0	779	6716
SP97681	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2484	0	0	0	0	9470
SP98082	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1817	0	0	0	0	6909
SP49334	147	0	0	0	0	0	0	0	2509	0	0	0	0	0	0	0	706	0	0	0	0	4400
SP49124	103	0	0	0	0	0	0	0	6016	0	0	1288	0	0	0	0	0	348	951	0	0	7158
SP115501	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2682	0	0	0	0	6624
SP98305	116	0	2145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	883	12296
SP98092	177	0	1076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5781
SP120755	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2601
SP49175	483	0	0	2203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3882
SP49223	225	0	830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2639
SP49379	108	0	0	0	0	0	0	0	4208	0	0	0	0	0	0	0	4288	0	0	0	0	7043
SP49541	55	0	2285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9900
SP49481	10	0	0	0	0	0	0	0	1343	0	0	0	0	0	0	0	0	0	0	0	331	1444
SP106677	199	0	0	0	0	0	0	0	4232	0	0	0	0	0	0	0	0	0	0	0	0	3533
SP106743	25	0	0	0	0	0	0	0	0	643	0	0	0	0	0	0	0	0	0	0	0	2836
SP98359	453	0	0	0	0	0	0	0	5546	0	0	0	0	0	0	0	0	0	0	0	0	2761
SP98192	238	0	672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2937
SP49551	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3528	0	0	0	0	7942
SP49651	101	0	1407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6210
SP98265	413	0	0	0	0	0	0	0	0	0	0	0	0	913	0	0	5468	0	0	0	0	11607
SP98060	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1923
SP98090	593	0	0	9527	0	0	0	0	0	0	4366	0	0	0	0	15397	0	0	0	0	0	33803
SP49469	321	0	0	0	0	0	0	0	3543	0	0	0	0	0	0	0	0	0	0	0	0	3424
SP49205	242	0	745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3912
SP98327	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3089	0	0	0	0	7652
SP49449	213	0	1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2489
SP49391	187	0	0	0	0	0	0	0	3266	0	0	0	0	0	0	585	0	0	0	0	290	1297
SP49531	219	0	0	0	0	0	0	0	10634	0	0	0	0	0	0	0	0	0	0	0	0	6427
SP49322	156	0	507	0	0	0	0	0	3594	0	0	0	0	0	0	0	0	0	0	0	0	3591
SP49433	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6058
SP109384	21	0	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4706
SP98065	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3014	0	0	0	0	7372
SP49591	36	3852	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3044
SP98313	142	0	0	0	0	0	0	0	2739	897	0	0	0	0	0	0	898	0	0	0	0	2666
SP49119	83	0	887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7474
SP109301	63	0	0	0	0	0	0	0	6740	0	0	0	0	0	0	0	0	0	0	0	0	6948
SP115830	208	0	0	0	0	0	0	0	4595	0	0	0	0	0	0	0	0	0	0	0	0	3183
SP49229	341	0	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4125
SP98853	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2142	0	0	0	5401	6887
SP98855	162	0	1064	0	0	0	0	0	0	0	0	0	0	0	0	1116	0	0	0	0	0	5229
SP98859	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5514
SP98865	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3245
SP98871	61	0	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5666
SP98867	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2613	1774	0	0	0	0	6912
SP98877	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3335	1589	0	0	0	0	5759
SP98889	146	0	1424	0	0	0	0	0	0	0	0	0	0	0	0	2074	0	0	0	0	0	9015
SP98887	24	0	1328	0	0	0	0	0	0	0	0	0	0	0	0	3305	0	0	0	0	0	11395
SP98851	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2883
SP98833	288	0	0	0	0	0	0	0	3307	0	0	0	0	0	0	887	0	0	0	0	0	1201
SP98883	32	0	1386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8793
SP98849	142	0	739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	3956
SP98869	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4805
SP98847	33	0	691	0	0	0	0	0	0	0	0	0	0	0	0	1484	0	0	0	0	0	4887
SP98881	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1210	9193
SP98841	30	0	1079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6835
SP98845	636	0	0	0	0	0	0	5438	0	0	0	0	4614	0	2014	0	0	0	0	0	0	6117
SP98839	41	0	1130	0	0	0	0	0	0	0	0	0	0	0	0	1258	0	0	0	0	0	5948
SP98863	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3869
SP98891	118	0	0	0	0	0	0	0	0	0	3055	0	0	0	0	5245	2719	0	0	0	0	6795
SP98885	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4851	2389	0	0	0	1770	6853
SP107050	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2659	0	0	0	0	0	6942
SP107052	17	0	732	0	0	0	0	0	0	0	0	0	0	0	0	1206	0	0	0	0	0	6292
SP107060	51	0	1185	0	0	0	0	0	0	0	0	0	0	0	0	1807	0	0	0	0	0	7888
SP99279	140	0	0	1170	0	0	0	0	0	0	0	0	0	0	0	4974	0	0	0	0	0	7324
SP107068	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2298	0	0	0	0	0	6178
SP107071	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5057	0	0	0	2475	1663	9458
