Sample	SBS1	SBS3	SBS18	SBS40	SBS9	SBS28	SBS13	SBS4	SBS17a	SBS17b	SBS5	SBS2
SP53460	533	0	0	21491	0	0	0	31510	0	0	0	0
SP50827	227	0	4570	0	0	0	1237	23146	0	0	9596	1383
SP50263	1316	0	0	6205	0	0	507	0	0	0	2021	264
SP50317	509	0	2495	4978	0	0	4255	0	0	0	1562	2357
SP50406	141	0	0	0	0	0	0	0	0	0	446	0
SP51824	538	0	0	0	0	0	2093	9432	0	0	10172	2064
SP55387	42	0	0	0	0	0	0	13910	0	0	6306	0
SP52779	431	0	0	0	0	0	1969	25197	0	0	8824	1974
SP55235	139	0	0	0	0	0	3968	67669	0	0	37571	4456
SP50713	185	0	0	0	0	0	2600	5031	0	0	4251	1986
SP50611	255	10632	6443	0	0	0	0	31420	0	0	4654	0
SP50485	383	0	243	0	0	0	0	0	0	0	1696	0
SP51037	910	0	0	2324	0	0	0	0	0	0	1027	0
SP53387	305	0	0	0	0	0	3847	18967	0	0	10125	9076
SP54745	779	0	0	22447	0	0	5981	0	3119	6900	0	8494
SP52284	416	0	638	1779	0	0	184	0	0	0	1984	232
SP53618	185	0	0	0	0	0	0	46672	0	0	14465	0
SP52232	269	0	0	0	0	0	0	17094	0	0	8573	0
SP50412	214	0	0	0	0	0	0	0	0	0	1885	0
SP50321	224	0	0	0	0	0	0	8394	0	0	4051	0
SP53548	225	0	0	0	393	2614	0	0	952	1552	4352	0
SP55004	78	0	76	0	0	0	0	0	0	0	414	0
SP56079	381	7437	0	0	0	0	1257	30791	0	0	7125	1268
SP56168	722	0	0	8680	0	0	9249	0	0	0	3092	11295
SP54363	601	0	0	11570	0	0	3705	20817	0	0	1723	4459
SP53810	429	0	0	0	0	0	0	164287	0	0	20868	0
SP50518	751	0	0	3851	0	0	156	0	0	0	1326	233
SP56303	786	0	4917	7884	0	0	594	0	0	0	1230	305
SP55711	766	0	0	4522	0	0	596	0	0	0	1153	822
SP55509	577	0	0	23523	0	0	0	42035	0	0	0	0
SP55309	398	0	0	0	0	0	38	0	0	0	1272	90
SP52607	595	0	0	0	0	0	318	0	0	0	2684	411
SP52667	243	5109	0	0	0	0	0	22522	0	0	5583	0
SP51446	691	0	0	0	0	0	166	1056	0	0	3299	377
SP50592	728	0	653	0	0	0	104	0	0	0	3321	260
SP53073	148	0	0	0	0	0	0	11285	667	1713	9568	0
LU-A08-43	314	7228	0	0	0	0	844	0	0	0	2787	781
LUAD-2GUGK	1092	0	0	0	0	0	0	27120	0	0	19064	0
LUAD-5V8LT	803	0	0	0	0	0	0	237898	0	0	67107	0
LUAD-AEIUF	500	0	0	0	0	0	0	17619	0	0	16609	0
LUAD-D02326	1744	0	0	0	0	0	0	0	0	0	6522	0
LUAD-E00934	485	0	0	0	0	0	0	78982	0	0	36464	0
LUAD-E01014	2405	0	0	0	0	0	1296	7122	0	0	12521	1385
LUAD-E01278	300	0	0	0	0	0	2516	34401	0	0	10670	1628
LUAD-E01317	1515	0	0	17429	0	0	2387	14038	0	0	244	2193
LUAD-FH5PJ	478	0	0	0	0	0	0	22653	0	0	14396	0
LUAD-QY22Z	3033	0	0	51121	0	0	0	0	0	0	13569	0
LUAD-S00488	1396	0	0	28247	0	0	0	39734	0	0	7912	0
LUAD-S01302	650	0	0	0	0	0	0	87419	0	0	43819	0
LUAD-S01331	289	0	0	0	0	0	0	29556	0	0	16148	0
LUAD-S01341	1112	0	0	0	0	0	2786	0	0	0	10862	2183
LUAD-S01345	679	0	0	0	0	0	13402	0	0	0	13502	13929
LUAD-S01346	1372	0	0	0	0	0	3419	40116	0	0	41649	1905
LUAD-S01356	625	0	0	0	0	0	0	42101	0	0	28781	0
LUAD-S01381	424	0	0	0	0	0	0	16835	0	0	12119	0
LUAD-S01404	576	0	0	0	0	0	0	21963	0	0	13325	0
LUAD-S01405	440	0	0	0	0	0	6050	17950	0	0	23811	3258
LUAD-S01467	407	0	0	0	0	0	1862	21278	0	0	23483	1159
LUAD-S01478	323	0	0	0	0	0	6024	54210	0	0	17564	4107
LUAD-U6SJ7	497	0	0	0	0	0	0	18546	0	0	13306	0
SP54113	0	0	0	0	0	0	6764	58958	0	0	39522	5083
SP55142	0	0	0	0	0	0	17151	75878	0	0	51542	12472
