Sample	SBS1	SBS36	SBS34	SBS3	SBS40	SBS9	SBS37	SBS6	SBS13	SBS17a	SBS17b	SBS5	SBS2
SP127630	757	0	0	0	4908	2273	0	1169	0	0	0	2418	0
SP127634	1299	0	0	8732	0	0	0	0	0	2674	8041	13524	0
SP127636	408	0	0	0	0	8787	0	0	0	442	973	7063	0
SP127628	519	0	0	0	0	2363	0	0	0	68	188	3839	0
SP127640	798	0	417	0	5761	5002	0	0	451	161	311	4473	0
SP127638	998	0	0	0	3552	0	0	0	0	110	428	4088	0
SP127632	1140	0	775	0	10938	0	0	1654	0	0	0	5385	644
SP59388	426	0	0	0	0	1658	0	0	0	0	0	1929	0
SP116649	556	0	0	0	0	17481	0	0	0	0	1863	3155	0
SP59416	612	0	0	0	3027	0	0	0	0	0	0	2015	0
SP124977	720	0	0	0	2349	3165	0	0	0	62	243	3199	0
SP59356	733	0	0	0	4156	0	0	0	0	63	211	2290	0
SP116612	646	0	0	0	4758	0	0	1029	0	188	319	2707	0
SP116659	895	0	916	0	0	0	2371	0	0	0	0	8675	0
SP116668	448	0	0	0	0	0	0	0	0	8552	23991	33910	0
SP116630	484	0	479	0	6182	0	1091	796	0	0	0	500	0
SP59412	1003	0	0	0	3929	3772	0	0	0	604	851	3731	0
SP116686	349	0	0	2313	0	6065	0	0	0	0	0	2291	0
SP116694	845	0	580	4456	0	0	1767	0	0	0	0	3830	0
SP116712	198	168	83	0	0	0	0	0	0	0	0	1158	0
SP116726	808	1050	0	0	6924	0	0	1193	0	311	470	3476	0
SP116723	414	0	0	0	2048	0	0	0	0	0	0	1660	0
SP59276	320	0	0	0	1064	0	0	0	0	64	142	880	0
SP116703	565	0	0	0	2128	2050	0	0	0	0	0	2082	0
SP59312	653	0	0	0	6055	7427	0	932	0	0	0	1263	0
SP116701	991	0	0	0	5918	0	0	0	0	0	0	3091	0
SP59296	213	0	0	0	800	330	0	0	0	28	49	882	0
SP59280	371	0	221	1364	0	0	0	0	0	291	551	2370	0
SP59344	228	0	0	0	0	0	0	0	0	287	617	2017	0
SP59460	731	0	189	0	0	3589	0	0	0	0	0	4603	0
SP59404	221	300	0	0	0	397	0	0	0	63	133	1168	0
SP116709	596	0	0	0	2413	0	0	0	0	0	0	2249	0
SP59448	894	0	1700	0	10404	0	3860	2236	0	0	0	8213	0
SP116614	728	0	0	0	3929	3288	0	757	0	0	0	1802	0
SP59464	484	0	0	0	2382	0	0	0	0	0	0	1656	0
SP59364	850	0	0	0	6226	0	0	0	0	0	0	2121	0
SP116663	1662	1090	0	0	6710	0	0	0	0	495	1405	5677	0
SP59444	842	0	0	0	0	2190	0	0	0	0	0	3629	0
SP116690	1280	0	0	0	8945	8633	0	0	0	1011	2185	3504	0
SP59270	267	0	0	0	930	0	0	0	0	0	0	762	0
SP59352	813	0	546	3785	0	0	1825	0	0	0	0	3043	0
SP116652	202	163	0	0	0	457	0	0	0	0	0	920	0
SP116715	364	0	1367	0	12060	0	3785	4290	0	857	2484	5874	0
SP116718	617	0	0	0	2803	4369	0	0	0	0	0	1005	0
SP116720	603	0	0	0	0	3698	0	0	0	0	0	3124	0
SP59284	323	379	0	0	0	1312	0	0	0	0	0	1926	0
SP116618	309	1560	0	0	6499	1368	0	673	0	0	0	725	0
SP59436	258	0	196	0	0	0	332	0	0	0	0	2228	0
SP116645	723	0	0	0	8247	0	0	0	0	205	274	3373	0
SP59320	570	0	0	0	2006	2534	0	0	0	0	0	1914	0
SP116672	380	0	0	0	1783	0	0	0	0	0	0	1393	0
SP116635	507	0	0	0	4425	0	0	0	0	142	304	2306	0
SP59328	247	0	157	967	0	0	605	0	0	83	142	1257	0
SP116627	494	0	0	0	1487	0	0	0	0	0	0	1333	0
SP116725	236	172	0	0	0	434	0	0	0	94	129	1017	0
SP59292	444	0	0	0	1989	0	0	0	0	59	125	1558	0
SP116683	617	0	260	2607	0	3341	175	0	0	0	0	2648	0
SP59372	330	319	0	0	3459	0	0	0	0	0	0	1460	0
SP116610	937	0	0	0	10404	0	0	0	0	275	587	5205	0
SP116638	426	0	0	0	2075	0	0	0	0	55	150	1531	0
SP59336	237	0	65	0	0	630	0	0	0	0	0	1500	0
SP124971	960	1223	542	0	0	7643	0	0	0	0	0	6340	0
SP116665	323	0	0	0	1368	0	0	0	0	0	0	805	0
SP116674	761	0	0	0	3181	0	0	0	0	83	277	1764	0
SP116657	1967	0	0	0	12561	0	0	0	0	1001	1495	5214	0
SP116670	295	0	0	0	8674	0	0	2788	0	0	0	4979	0
SP116642	677	0	0	0	8665	0	0	0	0	746	2185	4471	0
SP116606	802	0	0	0	13358	0	0	0	96	248	1967	2958	505
SP116604	527	0	0	0	3667	0	0	0	0	307	520	2189	0
SP59376	282	0	0	0	928	0	0	0	0	0	0	740	0
SP59272	336	0	0	0	826	349	0	0	0	0	0	1042	0
SP124969	799	0	679	4955	0	8078	2404	733	128	220	1498	2964	520
SP116608	380	0	0	0	1650	5213	0	0	0	0	0	0	0
SP59396	330	172	0	0	819	0	0	0	0	0	0	748	0
SP116688	404	0	184	0	0	0	0	0	0	0	0	2938	0
SP59392	271	117	0	0	693	0	0	0	0	0	0	728	0
