Sample	SBS1	SBS3	SBS18	SBS26	SBS40	SBS13	SBS8	SBS41	SBS35	SBS5	SBS39	SBS2
SP101845	632	7495	0	0	4821	0	0	0	0	609	0	0
SP101682	927	2277	0	0	0	179	0	0	0	2272	0	208
SP61553	433	0	357	0	0	0	0	327	0	1428	0	0
SP101724	792	6361	0	0	6909	543	0	0	0	0	0	668
SP102103	493	3035	0	0	0	96	0	0	0	1786	0	242
SP102174	560	5494	0	0	0	441	0	0	0	3341	0	150
SP101622	422	6829	0	0	3336	0	0	0	0	247	0	0
SP102161	575	4157	0	0	0	491	0	0	0	1668	0	372
SP101654	604	0	0	0	5605	0	0	0	0	2315	0	0
SP102074	552	1847	359	0	0	200	0	0	0	1958	0	108
SP101694	1189	7089	0	0	0	0	0	0	0	3878	0	0
SP101616	661	8453	0	0	0	0	0	0	0	3092	0	0
SP101666	426	3515	0	0	2853	0	0	0	0	605	0	0
SP101558	350	3227	0	0	2224	0	0	0	0	86	0	0
SP102096	631	2158	0	0	0	0	0	0	0	2370	0	0
SP102084	661	3513	694	0	0	0	0	0	0	1765	0	0
SP101580	495	2228	0	0	3780	0	0	0	0	538	0	0
SP102064	307	3286	0	0	3222	0	0	0	0	0	0	0
SP101564	409	2296	0	0	0	1112	0	0	0	1260	0	469
SP101921	854	0	0	0	5821	1574	0	0	0	1206	0	1128
SP101648	402	5999	0	0	0	169	0	0	0	888	0	192
SP101628	661	4355	0	0	0	148	0	0	0	2717	0	201
SP101708	436	2514	469	0	0	0	0	0	0	1621	0	0
SP102055	389	1484	0	0	0	0	0	0	0	1013	0	0
SP101634	388	6591	0	0	0	416	0	0	0	1260	0	308
SP101588	748	3602	0	0	0	0	0	0	0	2338	0	0
SP101584	717	3745	0	0	0	0	0	0	0	2746	0	0
SP101686	797	2422	0	0	0	0	0	0	0	2234	0	0
SP101532	584	4581	0	0	3901	0	0	0	0	0	0	0
SP101732	643	6977	0	0	8346	0	0	0	0	0	0	0
SP101528	464	5601	0	0	0	0	0	0	0	1376	0	0
SP101536	563	1294	0	0	0	98	0	0	0	1962	0	181
SP101576	704	5062	0	0	0	742	0	0	0	3262	0	239
SP102015	478	8549	0	0	5211	0	0	0	0	295	0	0
SP102168	478	2225	0	0	0	37	0	0	0	1512	0	149
SP101716	980	7474	1126	0	0	0	0	0	0	4280	0	0
SP101592	568	3888	0	0	0	0	0	0	0	2614	0	0
SP101658	259	645	0	0	0	0	0	0	0	1042	0	0
SP102045	754	11642	0	0	6678	0	0	0	0	366	0	0
SP101552	445	14502	0	0	0	246	0	0	0	1521	0	292
SP101519	307	3921	0	0	0	0	0	0	0	2928	0	0
SP101690	980	9524	0	0	0	310	0	0	0	2661	0	304
SP102123	360	0	2921	0	0	0	0	0	0	2491	1189	0
SP101662	287	4242	0	0	0	182	0	0	0	1484	0	157
SP101600	184	770	270	0	0	58	0	0	0	793	0	75
SP101544	631	2686	629	0	0	0	0	0	0	2465	0	0
SP102133	1579	0	0	16961	0	0	0	8539	0	13545	0	0
SP101881	453	6314	0	0	3271	0	0	0	0	47	0	0
SP102035	409	3232	0	0	3130	0	0	0	0	466	0	0
SP101642	552	9811	0	0	4471	0	0	1381	0	844	0	0
SP101596	457	2102	301	0	0	0	0	0	0	2401	0	0
SP101670	765	7221	0	0	4372	0	0	0	0	922	0	0
SP101674	201	3797	0	0	0	0	901	0	0	1551	0	0
SP101572	659	1290	0	0	0	91	0	0	0	1528	0	163
SP101678	640	7618	0	0	0	659	1774	0	0	3987	0	290
SP101740	663	11796	0	0	5197	0	0	0	0	1580	0	0
SP101700	466	3605	0	0	3198	0	0	0	0	0	0	0
