Sample	SBS1	SBS34	SBS3	SBS18	SBS31	SBS26	SBS40	SBS20	SBS28	SBS37	SBS6	SBS30	SBS13	SBS17a	SBS17b	SBS8	SBS44	SBS5	SBS2
SP77443	579	0	3026	1058	0	0	0	0	0	0	0	0	366	0	0	0	0	3275	403
SP72118	1241	0	0	0	0	0	1993	0	0	0	0	0	192	0	0	0	0	1002	213
SP76891	1310	0	0	666	0	0	0	0	0	0	0	0	0	0	0	0	0	2417	0
SP125732	17221	0	0	0	0	33664	0	12488	0	0	18183	0	0	1509	5699	0	0	6981	0
SP125716	1531	0	0	957	0	0	0	0	0	0	0	0	0	0	0	0	0	3194	0
SP125746	16931	0	0	0	0	0	0	0	0	0	13963	0	0	0	0	0	0	17499	0
SP125797	2139	0	0	0	0	0	3072	0	0	0	0	0	0	0	0	0	0	835	0
SP76057	877	0	1623	479	0	0	0	0	0	0	0	0	47	0	0	0	0	1909	188
SP69565	1650	0	0	0	0	0	10182	0	0	0	0	0	303	400	1274	0	0	2733	1025
SP75202	896	0	1270	0	0	0	0	0	0	0	0	0	155	0	0	0	0	1374	215
SP110736	1673	0	0	0	0	0	2195	0	0	0	0	0	0	0	0	0	0	596	0
SP107774	367	0	0	1500	0	0	1624	0	0	0	0	0	74	0	0	0	0	1270	284
SP110779	1287	0	0	1694	0	0	0	0	0	0	0	0	337	159	697	0	0	6347	311
SP107805	1185	0	0	0	0	0	0	0	547	0	0	0	0	627	1794	0	0	5705	0
SP110789	798	0	4500	0	0	0	4988	0	0	0	0	0	238	0	0	0	0	29	235
SP71846	936	0	3377	0	0	0	0	0	0	0	0	0	544	0	0	0	0	3860	359
SP70122	748	0	0	825	0	0	0	0	0	0	0	0	0	0	0	0	0	2251	0
SP71404	2025	0	0	1192	0	0	0	0	0	0	0	0	0	177	660	0	0	5304	0
SP76955	820	0	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	2073	0
SP107781	991	0	0	0	0	0	2288	0	0	0	0	0	0	0	0	0	0	1078	0
SP70202	423	0	3455	0	0	0	0	0	0	0	0	0	512	0	0	0	0	1825	300
SP70677	536	0	1125	0	0	0	0	0	0	0	0	0	128	0	0	0	0	1285	151
SP70082	336	0	0	506	0	0	0	0	0	0	0	0	99	0	0	0	0	1221	123
SP70288	1253	0	0	944	0	0	0	0	0	0	0	0	0	110	213	0	0	3871	0
SP70266	243	0	0	1057	0	0	0	0	0	0	0	259	0	0	0	0	0	2161	0
SP107956	1922	0	0	0	0	0	5041	0	0	0	0	0	1037	0	0	0	0	1047	1896
SP70956	938	0	1903	0	0	0	0	0	0	0	0	0	138	0	0	0	0	1539	171
SP108017	877	0	0	0	0	0	1801	0	0	0	0	0	100	113	330	0	0	769	171
SP71536	705	0	851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1648	0
SP70756	1652	0	0	0	0	0	2714	0	0	0	0	0	0	0	0	0	0	879	0
SP76675	449	0	4807	839	0	0	0	0	0	0	0	0	208	48	280	0	0	2383	321
SP71480	1289	0	0	0	0	0	1902	0	0	0	0	0	40	0	0	0	0	1287	222
SP70313	1578	0	0	0	0	0	0	0	0	0	0	0	2375	0	0	0	0	3212	2940
SP73319	778	0	0	0	0	0	1052	0	0	0	0	0	0	0	0	0	0	659	148
SP107813	1364	0	0	765	0	0	0	0	0	0	0	0	0	0	0	0	0	2486	0
SP77339	1214	0	0	694	0	0	0	0	0	0	0	0	144	0	0	0	0	2377	193
SP76017	814	0	0	0	0	0	1455	0	0	0	0	0	345	0	0	0	0	1204	2001
SP76915	1207	0	0	0	0	0	3691	0	2060	0	0	0	608	2319	4077	0	0	3072	2227
SP71974	1505	0	5265	0	0	0	0	0	0	0	0	0	491	0	0	0	0	3415	426
SP70178	2617	0	0	0	0	0	3548	0	0	0	0	0	0	0	0	0	0	640	0
SP107920	749	0	0	0	0	0	2067	0	0	0	0	0	86	44	140	0	0	852	248
