Sample	SBS1	SBS7c	SBS40	SBS9	SBS7d	SBS38	SBS13	SBS7b	SBS7a	SBS17a	SBS17b	SBS5	SBS2
SP124339	181	74	0	0	438	190	40	125	322	0	0	1324	70
SP124454	196	1040	0	0	765	0	0	7620	45777	0	0	3417	0
SP124273	411	0	4429	0	0	0	371	0	0	0	0	1096	449
SP124357	672	0	4082	0	0	0	251	0	0	0	0	2085	433
SP124355	439	0	2247	0	0	0	157	0	0	0	0	856	116
SP124434	239	2609	0	0	1744	0	0	15538	58348	0	0	6783	0
SP124428	124	6728	0	0	7343	0	0	48254	241818	0	0	1422	0
SP124396	331	1007	0	0	829	0	0	7539	30641	0	0	7160	0
SP124341	416	0	8200	0	0	0	572	0	0	0	0	4606	472
SP124353	358	0	1440	0	0	307	266	0	0	0	0	911	192
SP124278	461	0	2614	0	0	522	0	0	0	0	0	1192	0
SP124376	214	542	0	0	1651	0	0	8501	41124	0	0	3136	0
SP124346	658	0	8155	0	1337	0	0	7536	5544	0	0	151	1807
SP124351	330	0	1871	0	710	0	0	1102	2965	0	0	0	0
SP124406	128	3027	0	0	1284	0	0	14732	46821	0	0	7762	0
SP124323	374	0	2195	0	0	2044	0	0	0	0	0	582	0
SP124391	525	61	3645	0	181	618	317	764	66	0	0	1097	336
SP124423	36	202	0	0	787	0	0	6018	24209	0	0	1666	0
SP124460	88	5671	0	0	5156	0	0	26025	127038	0	0	0	0
SP124425	101	4629	0	0	2807	0	0	18945	60043	0	0	4993	0
SP124456	185	1140	0	0	1113	0	0	10538	29936	0	0	1985	0
SP124281	221	0	1673	0	0	1834	0	0	0	0	0	665	0
SP124333	157	1191	0	0	2240	0	0	9444	30352	0	0	1823	0
SP124359	812	0	3726	0	0	239	0	0	0	0	0	2629	0
SP124286	189	0	767	0	162	199	0	138	430	0	0	261	0
SP124326	40	749	0	0	1990	0	0	11780	44386	0	0	2345	0
SP124458	152	5653	0	0	6950	0	0	38795	107255	0	0	2706	0
SP124264	699	0	9467	0	0	500	585	0	0	0	0	2017	108
SP124384	5424	4484	0	0	4099	0	0	35355	102132	0	0	26288	0
SP124403	96	384	0	0	539	0	0	2314	6361	0	0	1128	0
SP124462	99	3224	0	0	4796	0	0	23000	82233	0	0	819	0
SP124271	910	0	10356	0	812	0	0	2441	1275	0	0	1893	1280
SP124336	500	0	5858	0	0	1058	0	0	0	0	0	1503	0
SP124452	19	2196	0	0	2818	0	0	22467	61794	0	0	2615	0
SP124386	320	1550	0	0	3727	0	0	22184	86720	0	0	1334	0
SP124441	845	0	8365	0	0	643	417	0	0	0	0	1047	166
SP124291	311	0	3163	0	0	0	405	0	0	0	0	1340	506
SP124344	455	0	2936	0	0	0	473	0	0	0	0	1971	0
SP124348	439	0	2589	0	0	347	33	0	0	0	0	984	248
SP124295	651	0	7858	0	0	2368	0	0	0	922	5155	2602	0
SP124444	212	639	0	0	340	0	0	2254	12882	0	0	3048	0
SP124365	159	2482	0	0	3686	0	0	11808	51274	0	0	6127	0
SP124364	328	4901	0	0	3901	0	0	20894	75499	0	0	3891	0
SP83382	298	1436	0	0	1333	0	0	12300	38932	0	0	4583	0
SP82451	571	1278	0	0	2119	0	0	11116	27767	0	0	8682	0
SP104330	164	29	0	0	109	0	0	626	1438	0	0	615	0
SP83312	207	2361	0	0	1667	0	0	12027	37028	0	0	4452	0
SP113197	495	0	2133	0	0	0	382	0	0	0	0	1778	269
SP82636	523	0	3340	0	0	535	97	0	0	0	0	2404	418
SP82796	522	1237	0	0	905	0	0	7097	30107	0	0	5342	0
SP104530	203	2105	0	0	1338	0	0	11285	41472	0	0	14959	0
SP82429	310	518	7239	0	1477	0	0	5117	15487	0	0	0	0
SP82988	640	1748	0	0	2501	0	0	3440	77156	0	0	6938	0
SP82461	369	1792	0	0	3142	0	0	21585	53382	0	0	4449	0
SP82399	70	3537	0	0	4934	0	0	24485	81125	0	0	2144	0
SP82756	206	1797	0	0	544	0	0	2483	9809	0	0	1004	0
SP82836	140	300	0	0	1263	0	0	11827	21127	0	0	4137	0
SP82471	477	0	3399	0	0	232	0	0	0	0	0	2546	0
SP82435	304	0	2461	0	260	0	0	946	3262	0	0	241	0
SP83083	372	2986	0	0	1980	0	0	18279	46015	0	0	6045	0
SP82433	211	648	0	0	1528	0	0	4510	37072	0	0	1659	0
SP82780	37	947	0	0	1800	0	0	6869	24469	0	0	1901	0
SP83019	233	2732	0	0	2645	0	0	18959	68531	0	0	5023	0
SP83099	341	808	0	0	740	0	0	4073	12776	0	0	3473	0
SP83146	576	10612	0	0	6176	0	0	39836	277554	0	0	13132	0
SP103866	218	4712	0	0	3287	0	0	19752	66918	0	0	0	0
SP83844	249	1584	0	0	2219	0	0	10241	38216	0	0	4678	0
SP83027	681	0	2486	0	629	0	0	228	694	0	0	1500	0
ML_04_T_01	799	0	2865	0	0	0	0	0	0	0	0	3883	0
ML_06_T_01	543	0	0	0	0	0	0	0	0	0	0	5141	0
ML_07_T_01	369	0	0	0	0	2577	0	0	0	0	0	5899	0
ML_08_T_01	5338	0	0	0	0	0	0	0	0	0	0	50995	0
ML_09_T_01	408	0	0	0	0	854	0	0	0	0	0	4984	0
ML_103_T_01	146	128	0	0	165	0	0	835	2343	0	0	1127	0
ML_104_T_01	125	1034	0	0	1098	0	0	11216	24180	0	0	7305	0
