Sample	SBS1	SBS34	SBS3	SBS21	SBS18	SBS26	SBS40	SBS20	SBS15	SBS28	SBS13	SBS17a	SBS17b	SBS8	SBS41	SBS44	SBS5	SBS2
SP135335	486	0	0	0	0	0	3705	0	0	2680	0	2751	3267	0	0	0	1000	0
SP135278	157	0	0	0	621	0	0	0	0	0	459	925	727	0	0	0	1311	191
SP135287	8324	0	0	0	0	11142	0	0	18488	0	0	0	0	0	0	13021	15599	0
SP135345	1036	0	0	0	0	0	11996	0	0	0	0	5237	8909	0	0	0	0	0
SP85122	20384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31034	29241	0
SP84384	14394	0	0	0	0	22377	0	0	29918	0	0	0	0	0	0	24917	26831	0
SP135184	242	0	1646	0	310	0	0	0	0	0	60	0	0	0	0	0	739	95
SP135226	452	0	0	0	461	0	1057	0	0	0	99	74	140	0	0	0	1295	127
SP135436	1409	0	0	0	1514	0	4091	0	0	0	384	340	915	0	0	0	4411	663
SP135262	1217	0	0	0	1462	0	0	0	0	0	0	657	861	0	0	0	3826	0
SP135431	851	0	0	0	4644	0	0	0	0	0	249	457	811	0	3372	0	6879	687
SP135425	1422	0	0	0	0	0	0	0	0	0	0	11659	15591	0	0	0	16815	0
SP135222	2205	0	0	0	1896	0	2822	0	0	0	0	214	231	0	0	0	1553	0
SP135230	1073	0	0	0	2047	0	0	0	0	0	0	2103	5256	0	0	0	5606	0
SP135205	492	0	0	0	1839	0	0	0	0	0	0	543	724	0	0	0	1697	0
SP135213	619	0	0	0	2290	0	0	0	0	0	0	223	305	0	0	0	3692	0
SP135405	1820	0	0	0	1950	0	7122	0	0	0	0	1108	2559	0	0	0	3164	0
SP135238	55	0	105	0	93	0	0	0	0	0	0	14	26	0	0	0	115	0
SP135270	2355	0	0	0	1739	0	4896	0	0	0	198	0	0	0	0	0	2490	401
SP135411	884	0	0	0	0	0	7411	0	0	0	0	1135	2864	0	0	0	1218	622
SP135188	1316	0	0	0	0	0	2672	0	0	0	220	1295	2546	0	1684	0	1204	707
SP135194	1625	0	0	0	3010	0	0	0	0	0	0	246	394	0	0	0	4678	0
SP135186	1022	0	8340	0	0	0	0	0	0	0	0	3909	4424	0	0	0	7034	0
SP135420	1764	0	0	0	1953	0	0	0	0	0	0	2422	3265	0	0	0	8098	0
SP135258	388	0	0	0	374	0	1191	0	0	0	0	194	199	0	0	0	668	145
SP135234	1583	0	0	0	4804	0	0	0	0	0	0	3118	6224	0	0	0	7205	0
SP135393	1387	0	0	0	0	0	0	0	0	0	0	1713	3893	0	2618	0	6227	0
SP135299	1271	0	5708	0	2999	0	0	0	0	0	420	355	506	0	2969	0	5087	505
SP135415	493	0	0	0	0	0	4382	0	0	0	0	139	357	0	0	0	1096	162
SP135323	262	0	0	0	0	0	972	0	0	0	0	0	0	0	0	0	1058	0
SP135390	181	0	0	0	726	0	0	0	0	0	89	710	453	0	0	0	2235	123
SP135209	682	0	0	0	1080	0	0	0	0	0	0	154	322	0	544	0	1624	0
SP135240	1485	0	0	0	2010	0	2673	0	0	0	13	282	600	0	0	0	3112	319
SP135182	2182	0	0	0	10402	0	0	0	0	0	0	4504	6708	0	0	0	16889	0
SP85251	1493	0	0	0	0	0	3827	0	0	0	0	0	0	0	0	0	1325	182
SP84408	1084	0	0	0	0	0	2316	0	0	0	171	0	0	0	0	0	1738	209
SP84491	1720	0	0	0	0	0	0	0	0	0	0	9397	27324	0	0	0	26266	0
SP84743	1971	0	0	0	0	0	22710	0	0	0	0	5456	18586	0	11283	0	0	0
SP83967	1649	0	0	0	1299	0	4421	0	0	0	0	0	0	0	0	0	2446	561
SP105253	1653	0	0	0	2432	0	0	0	0	0	697	1252	3005	0	2369	0	7161	649
SP84998	1203	0	0	0	3254	0	0	0	0	0	0	165	385	0	0	0	4507	0
SP84062	714	0	0	0	0	0	2457	0	0	0	209	0	0	0	0	0	348	206
SP84982	3785	0	0	0	0	10422	0	0	6211	0	0	3552	8583	0	0	14567	16923	0
SP84790	2142	0	8947	0	0	0	0	0	0	0	0	3011	8336	0	0	0	6686	0
SP105673	1187	0	7556	0	1932	0	0	0	0	0	349	290	560	0	0	0	3243	547
SP85339	1232	0	0	0	1641	0	2574	0	0	0	41	735	1226	0	0	0	2056	649
SP84719	1481	0	0	0	4015	0	0	0	0	0	0	672	1095	0	0	0	4580	0
SP105425	1041	0	0	0	1343	0	0	0	0	0	164	354	817	0	1260	0	3452	297
SP84056	1154	0	0	0	1028	0	6199	0	0	0	0	171	358	0	0	0	2687	0
SP105261	1166	0	0	0	0	0	3657	0	0	0	97	0	0	0	0	0	1100	229
SP85379	1985	0	0	0	0	0	0	0	0	0	0	5597	9624	0	0	0	11378	0
SP105086	2527	0	0	0	5744	0	0	0	0	0	0	782	1929	0	0	0	16212	0
SP84392	11789	0	0	14894	0	0	0	0	0	0	0	2568	3660	0	0	37714	33995	0
SP105018	1694	0	40565	0	5703	0	0	0	0	0	4205	0	0	0	0	0	3797	2840
SP84858	2451	0	0	0	2881	0	0	0	0	0	197	0	0	0	1840	0	6257	555
SP84086	795	0	0	0	752	0	2809	0	0	0	0	0	0	0	0	0	1293	274
SP105213	1053	0	0	0	2240	0	0	0	0	0	0	0	0	0	0	0	6244	0
SP105577	1478	0	0	0	2412	0	0	0	0	0	103	206	397	0	0	0	3990	322
SP85431	580	0	0	0	0	0	2865	0	0	0	211	0	0	0	0	0	1573	485
SP84962	602	0	0	0	2680	0	2859	0	0	0	0	0	0	0	0	0	1533	0
SP105006	1259	0	0	0	2305	0	0	0	0	0	258	784	1519	0	0	0	5246	362
SP84439	6784	0	0	77114	0	0	0	53577	51788	0	0	0	0	0	0	0	199952	0
SP105159	1805	0	0	0	3441	0	6314	0	0	0	0	219	595	0	0	0	4132	548
SP85230	655	0	4799	0	0	0	3206	0	0	0	655	0	0	0	0	0	1379	339
SP84922	1278	0	0	0	0	0	0	0	0	0	0	10965	30597	0	0	0	25189	0
SP85130	2413	0	0	0	0	0	5808	0	0	0	0	498	1579	0	0	0	2221	0
SP104984	3045	0	0	0	1546	0	0	0	0	0	0	234	466	0	0	0	4225	0
SP85222	969	0	0	0	797	0	2153	0	0	0	160	0	0	0	0	0	689	185
SP105375	1095	0	0	0	5802	0	0	0	0	0	0	1203	2927	0	8622	0	9664	0
SP85287	1085	0	0	0	2749	0	4583	0	0	0	0	539	825	0	0	0	1752	0
pfg005T	278	0	451	0	0	0	0	0	0	0	0	0	0	0	0	0	778	0
pfg008T	9165	0	0	0	0	42543	0	0	0	0	0	3833	7674	0	0	29945	22089	0
pfg022T	1099	0	0	0	4208	0	0	0	0	0	0	0	0	0	0	0	4073	0
pfg023T	1092	0	0	0	1086	0	0	0	0	0	130	0	0	0	0	0	2718	324
pfg030T	1222	0	0	0	0	0	0	0	0	0	0	1716	3866	0	0	0	6126	0
pfg031T	470	0	0	0	779	0	0	0	0	0	0	203	442	0	0	0	1701	0
pfg032T	518	235	1175	0	1334	0	0	0	0	0	130	197	456	0	0	0	2671	266
pfg034T	1211	0	10409	0	3036	0	0	0	0	0	0	387	1046	0	0	0	5921	0
pfg035T	1112	0	0	0	2124	0	0	0	0	0	0	658	1224	0	0	0	3609	0
pfg036T	944	0	0	0	927	0	0	0	0	0	0	0	0	0	0	0	2382	0
pfg038T	1069	686	8994	0	2056	0	0	0	0	0	0	0	0	0	0	0	4708	0
pfg039T	1026	0	0	0	2932	0	0	0	0	0	0	0	0	0	0	0	4752	0
pfg043T	938	0	0	0	0	0	0	0	0	36060	0	15235	32866	0	0	0	36879	0
pfg050T	292	0	0	0	669	0	0	0	0	0	55	81	139	0	0	0	1253	92
pfg052T	680	247	2816	0	0	0	0	0	0	0	0	124	439	0	0	0	2545	0
pfg053T	1466	1193	19304	0	9192	0	0	0	0	0	0	0	0	0	0	0	9123	0
pfg054T	1442	0	0	0	0	0	0	0	0	0	1006	1876	6249	0	0	0	14036	1184
pfg057T	3457	0	0	0	0	4768	0	0	0	0	0	1929	3181	0	0	14089	13583	0
pfg058T	1120	0	0	0	2386	0	0	0	0	0	0	993	2138	0	0	0	6896	0
pfg059T	1989	0	0	0	0	0	0	0	0	0	0	7103	16739	0	0	0	13469	0
pfg060T	1461	0	5209	0	0	0	0	0	0	0	447	2370	5106	0	0	0	4791	672
pfg062T	749	0	0	0	0	0	0	0	0	3392	0	2549	4223	0	0	0	8603	0
pfg064T	1126	0	0	0	2405	0	0	0	0	0	0	1102	1942	0	0	0	4152	0
pfg065T	1300	0	5310	0	0	0	0	0	0	0	994	0	0	7388	0	1232	2318	911
pfg068T	12858	7702	0	0	0	23090	0	0	0	0	0	0	0	0	0	40885	17138	0
pfg069T	2252	0	0	0	3841	0	0	0	1243	0	0	511	1261	0	0	0	9755	0
pfg072T	771	0	0	0	0	0	0	0	0	976	0	2417	3761	0	0	0	10496	0
pfg073T	1343	0	0	0	2618	0	0	0	0	0	0	1539	3034	0	0	0	4445	0
pfg076T	1692	0	8478	0	4721	0	0	0	0	0	0	2884	5208	0	0	0	11561	0
pfg081T	2001	0	4229	0	3536	0	0	0	0	0	596	429	1042	0	0	0	5163	488
pfg082T	938	307	0	0	1377	0	0	0	0	0	0	0	0	0	0	0	4218	0
pfg088T	1285	0	6727	0	2434	0	0	0	0	0	538	0	0	0	0	0	3177	660
pfg089T	390	0	0	0	4668	0	0	0	0	0	1173	1253	3440	0	0	0	8518	421
pfg092T	883	0	0	0	0	0	0	0	0	0	0	5379	13086	0	0	0	8317	0
pfg094T	1149	0	0	0	1210	0	0	0	0	0	0	0	0	0	0	0	1462	0
pfg097T	1060	0	0	0	3056	0	0	0	0	0	0	191	343	0	0	0	2381	0
pfg099T	1290	0	0	0	4636	0	0	0	0	828	0	1667	2968	0	0	0	10948	0
pfg100T	1265	0	2304	0	0	0	0	0	0	0	0	0	0	0	0	0	2548	0
pfg102T	539	0	4331	0	0	0	0	0	0	0	309	107	217	0	0	0	2210	524
pfg103T	2809	0	0	0	2194	2579	0	0	0	0	0	516	756	0	0	5144	3706	0
pfg104T	722	0	1332	0	1207	0	0	0	0	0	0	0	0	0	0	0	1814	0
pfg105T	930	0	0	0	1787	0	0	0	0	0	377	888	1794	0	0	0	5243	690
pfg106T	1047	537	0	0	2157	0	0	0	0	0	275	0	0	0	0	0	4889	318
pfg107T	1846	0	5168	0	2511	0	0	0	0	0	659	716	1813	0	0	0	5746	631
pfg108T	1326	0	0	0	0	0	0	0	0	1964	0	5383	8999	0	0	0	16402	0
pfg115T	1870	0	0	0	3532	0	0	0	0	0	0	161	652	0	0	0	9226	0
pfg116T	2874	0	12665	0	0	0	0	0	0	0	1019	892	4528	0	0	0	6883	718
pfg118T	883	203	2005	0	899	0	0	0	0	0	0	0	0	0	0	0	2765	0
pfg119T	1305	0	5207	0	0	0	0	0	0	0	0	1750	4489	0	0	0	4562	0
pfg120T	1593	0	9089	0	0	0	0	0	0	0	1573	1238	3712	0	0	0	11925	1727
pfg121T	1293	0	0	0	2357	0	0	0	0	0	178	0	0	0	0	0	4865	545
pfg122T	8741	0	0	0	0	0	0	0	0	0	0	2014	2575	0	0	39622	32731	0
pfg123T	1602	0	0	0	0	0	0	0	0	0	0	2799	4490	0	0	0	7582	0
pfg124T	1214	335	3729	0	0	0	0	0	0	0	0	210	900	0	0	0	6316	0
pfg125T	1563	0	5659	0	0	0	0	0	0	799	0	1222	2407	0	0	0	8768	0
pfg127T	13828	0	0	0	0	6326	0	0	0	0	0	0	0	0	0	19304	11457	0
pfg129T	3687	0	0	0	0	2448	0	0	3617	0	0	0	0	0	0	9104	5637	0
pfg130T	2215	0	0	0	3155	0	0	0	0	0	0	0	0	0	0	0	4747	0
pfg132T	540	0	741	0	0	0	0	0	0	0	0	0	0	0	0	0	1280	0
pfg135T	1065	0	0	0	2113	0	0	0	0	0	0	1421	1891	0	0	0	4024	0
pfg136T	793	190	0	0	1282	0	0	0	0	0	0	149	185	0	0	0	2614	0
pfg138T	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0
pfg142T	125	0	414	0	404	0	0	0	0	0	21	0	0	0	0	0	626	71
pfg143T	9524	0	0	0	0	4943	0	0	0	0	0	0	0	0	0	18760	14706	0
pfg144T	1678	0	0	0	0	0	0	0	0	0	5859	959	2733	0	0	0	9652	3260
pfg145T	1021	0	0	0	7382	0	0	0	0	0	0	0	0	0	0	0	7690	0
pfg146T	758	0	0	0	7885	0	0	0	0	0	0	6572	8914	0	0	0	8546	0
pfg151T	1043	0	0	0	730	0	0	0	0	0	0	0	0	0	0	0	1118	0
pfg156T	519	0	0	0	842	0	0	0	0	0	0	0	0	0	0	0	844	0
pfg157T	1108	0	0	0	0	0	0	0	0	0	0	827	1012	0	0	0	4146	0
pfg160T	1370	0	0	0	0	0	0	0	0	0	0	9282	26422	0	0	0	14546	0
pfg164T	992	0	0	0	885	0	0	0	0	0	0	203	348	0	0	0	1789	0
pfg166T	440	0	0	0	2111	0	0	0	0	0	0	0	0	0	0	0	2827	0
pfg167T	949	0	0	0	2348	0	0	0	0	0	0	225	532	0	0	0	3619	0
pfg173T	776	539	4069	0	2336	0	0	0	0	0	335	0	0	0	0	0	4063	891
pfg180T	2361	0	0	0	0	0	0	0	0	0	0	3695	8595	0	0	0	12484	0
pfg181T	17297	0	0	0	0	11364	0	0	9759	0	0	0	0	0	0	38257	24834	0
pfg182T	1431	0	0	0	3509	0	0	0	0	0	0	1707	2938	0	0	0	4782	0
pfg205T	2588	0	0	0	2570	0	0	0	0	0	0	499	1422	0	0	0	6551	0
pfg212T	7547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10944	11288	0
pfg213T	1020	0	0	0	1035	0	0	0	0	0	0	300	438	0	0	0	3332	0
pfg217T	2351	0	0	0	2415	0	0	0	0	0	0	735	1324	0	0	0	7497	0
pfg220T	770	0	0	0	2245	0	0	0	0	0	0	738	1089	0	0	0	2739	0
pfg222T	2883	0	0	0	3691	0	0	0	0	0	0	842	2316	0	0	0	8339	0
pfg228T	1002	0	1332	0	898	0	0	0	0	0	0	0	0	0	0	0	1635	0
pfg258T	1746	387	0	0	1315	0	0	0	0	0	268	0	0	0	0	0	4189	193
pfg272T	975	0	0	0	2084	0	0	0	0	0	0	4878	6342	0	0	0	2925	0
pfg277T	1511	0	8883	0	0	0	0	0	0	0	860	700	1344	0	0	0	4673	331
pfg282T	1110	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	2777	228
pfg311T	503	0	5985	0	0	0	0	0	0	0	345	459	1484	0	0	0	1284	291
pfg316T	1028	0	0	0	1442	0	0	0	0	0	0	420	989	0	0	0	3218	0
pfg317T	1396	0	0	0	2495	0	0	0	0	0	0	148	252	0	0	0	2317	0
pfg344T	895	0	0	0	0	0	0	0	0	0	0	855	2440	0	0	0	7623	0
pfg373T	945	0	0	0	2193	0	0	0	0	0	0	821	2083	0	0	0	3600	0
pfg375T	784	0	0	0	996	0	0	0	0	0	0	0	0	0	0	0	1967	0
pfg378T	711	0	0	0	2472	0	0	0	0	0	0	99	155	0	0	0	2511	0
pfg398T	311	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	510	0
pfg413T	2998	0	0	0	3748	0	0	0	0	0	0	0	0	0	0	0	5016	0
pfg416T	684	0	0	0	1143	0	0	0	0	0	89	137	117	0	0	0	1140	134
pfg424T	611	0	2450	0	712	0	0	0	0	0	0	0	0	0	0	0	1659	0
