cancer_type	weights	samples	muts	TAE	TAE_std	RMSE	wT	n_eff	TAE_TP	wT_FP	wT_FP_std	n_FP	wT_FN	n_FN	P	P_std	R	R_std	S	S_std	F1	F1_std	MCC	MCC_std	Pearson	r_S1	r_S2	r_S3	r_S4	r_S5	r_S6
Head-SCC	w_0	100	100	0.4867	0.1652	0.5137	0.5427	2.7718	0.3721	0.2291	0.1782	1.5900	0.6361	1.7200	0.5043	0.3267	0.4238	0.2342	0.9791	0.0151	0.4471	0.2571	0.4408	0.2599	-0.3614	0.1416	0.9485	0.9501	0.8025	0.3128	0.6715
Head-SCC	w_0	100	2000	0.2593	0.0934	0.2755	0.9877	5.4529	0.1406	0.2374	0.0902	12.7600	0.0388	0.2400	0.2749	0.0541	0.9539	0.0951	0.8277	0.0424	0.4245	0.0693	0.4591	0.0764	0.9159	0.8307	0.9974	0.9947	0.9787	0.9593	0.9783
Head-SCC	w_0	100	50000	0.0572	0.0193	0.0603	1.0011	3.4908	0.0297	0.0550	0.0197	19.9600	0.0000	0.0000	0.2050	0.0400	1.0000	0.0000	0.7301	0.0468	0.3385	0.0536	0.3858	0.0467	0.9981	0.9910	0.9999	0.9997	0.9993	0.9991	0.9991
Head-SCC	w_1	100	100	0.4735	0.1585	0.4991	0.5674	2.9061	0.3559	0.2353	0.1560	1.6200	0.5783	1.6800	0.5150	0.2830	0.4655	0.2279	0.9787	0.0149	0.4729	0.2329	0.4646	0.2351	-0.2848	0.3351	0.9475	0.9579	0.7768	0.2870	0.6426
Head-SCC	w_1	100	2000	0.2374	0.0760	0.2491	0.9881	5.2358	0.1290	0.2168	0.0766	12.1800	0.0268	0.1900	0.2846	0.0638	0.9629	0.0814	0.8357	0.0401	0.4359	0.0753	0.4724	0.0749	0.9355	0.8417	0.9948	0.9953	0.9780	0.9772	0.9832
Head-SCC	w_1	100	50000	0.0556	0.0194	0.0589	1.0009	3.4952	0.0294	0.0525	0.0186	19.1600	0.0006	0.0100	0.2058	0.0363	0.9980	0.0199	0.7413	0.0402	0.3398	0.0490	0.3888	0.0415	0.9976	0.9914	0.9998	0.9999	0.9992	0.9989	0.9993
ColoRect-AdenoCA	w_0	100	100	0.4562	0.1849	0.4919	0.5822	2.8366	0.3444	0.2236	0.1636	1.5900	0.5549	1.6300	0.5135	0.3223	0.4847	0.2924	0.9791	0.0152	0.4799	0.2798	0.4742	0.2848	-0.1682	0.4566	0.8002	0.6661	0.2618	0.9587	0.9907
ColoRect-AdenoCA	w_0	100	2000	0.2434	0.0961	0.2615	0.9879	4.3263	0.1302	0.2265	0.0970	12.4100	0.0497	0.4300	0.2229	0.0787	0.8956	0.1247	0.8351	0.0431	0.3502	0.0998	0.3926	0.0955	0.9417	0.8954	0.9851	0.9869	0.9666	0.9819	0.9991
ColoRect-AdenoCA	w_0	100	50000	0.0550	0.0194	0.0583	1.0010	3.0615	0.0288	0.0524	0.0188	19.6300	0.0018	0.0800	0.1622	0.0446	0.9817	0.0652	0.7388	0.0440	0.2760	0.0647	0.3377	0.0581	0.9976	0.9960	0.9993	0.9994	0.9987	0.9998	0.9999
ColoRect-AdenoCA	w_1	100	100	0.4672	0.1668	0.4959	0.5693	2.7766	0.3553	0.2240	0.1584	1.5700	0.5608	1.6500	0.5102	0.2863	0.4825	0.2715	0.9794	0.0137	0.4735	0.2463	0.4672	0.2525	-0.1962	0.3489	0.7193	0.7823	0.2877	0.7571	0.9782
ColoRect-AdenoCA	w_1	100	2000	0.2415	0.0925	0.2584	0.9872	4.3100	0.1298	0.2233	0.0929	12.8100	0.0399	0.2900	0.2193	0.0856	0.9245	0.1207	0.8299	0.0451	0.3469	0.1040	0.3971	0.0983	0.9305	0.9336	0.9767	0.9825	0.9553	0.9813	0.9990
ColoRect-AdenoCA	w_1	100	50000	0.0543	0.0201	0.0579	1.0012	3.0301	0.0282	0.0523	0.0188	19.2600	0.0010	0.0500	0.1629	0.0451	0.9885	0.0518	0.7439	0.0447	0.2772	0.0663	0.3415	0.0577	0.9977	0.9968	0.9989	0.9993	0.9990	0.9996	0.9999
