# these results were obtained by calling fit_with_cosmic3_synthetic() from main.py
# Python version: 3.10.12
# Numpy version: 1.25.1
# Pandas version: 1.5.3
# SigProfilerAssignment version: 0.0.30
cancer_type	weights	samples	muts	TAE	TAE_std	RMSE	wT	n_eff	TAE_TP	wT_FP	wT_FP_std	n_FP	wT_FN	n_FN	P	P_std	R	R_std	S	S_std	F1	F1_std	MCC	MCC_std	Pearson	r_S1	r_S2	r_S3	r_S4	r_S5	r_S6
Head-SCC	w_0	100	100	0.3330	0.2141	0.3953	0.9747	2.8311	0.2374	0.1913	0.2164	0.9700	0.2604	0.7400	0.7318	0.2586	0.7568	0.2107	0.9873	0.0133	0.7303	0.2213	0.7270	0.2251	0.3217	0.3525	0.9551	0.9562	0.8534	0.3829	0.7297
Head-SCC	w_0	100	2000	0.0531	0.0830	0.0981	1.0000	2.9477	0.0530	0.0002	0.0012	0.0200	0.0197	0.3200	0.9960	0.0280	0.9404	0.1373	0.9997	0.0019	0.9609	0.0877	0.9627	0.0823	0.9764	0.9190	0.9923	0.9940	0.9879	0.9459	0.9827
Head-SCC	w_0	100	50000	0.0094	0.0222	0.0241	1.0000	3.0587	0.0094	0.0000	0.0000	0.0000	0.0019	0.1500	1.0000	0.0000	0.9775	0.0744	1.0000	0.0000	0.9869	0.0453	0.9870	0.0440	0.9984	0.9966	0.9997	0.9995	0.9995	0.9956	0.9978
Head-SCC	w_1	100	100	0.3328	0.2259	0.4016	0.9764	2.7680	0.2370	0.1917	0.2093	0.9500	0.2653	0.7800	0.7387	0.2450	0.7613	0.2206	0.9875	0.0121	0.7396	0.2194	0.7342	0.2258	0.2528	0.3430	0.9554	0.9640	0.8181	0.3851	0.6906
Head-SCC	w_1	100	2000	0.0523	0.0775	0.0932	1.0000	2.9805	0.0517	0.0011	0.0114	0.0100	0.0174	0.2900	0.9980	0.0199	0.9506	0.1248	0.9999	0.0013	0.9688	0.0801	0.9699	0.0762	0.9794	0.9310	0.9925	0.9958	0.9887	0.9563	0.9827
Head-SCC	w_1	100	50000	0.0158	0.0546	0.0566	1.0000	3.0656	0.0158	0.0000	0.0001	0.0300	0.0073	0.1800	0.9940	0.0341	0.9726	0.0886	0.9996	0.0023	0.9803	0.0579	0.9806	0.0554	0.9922	0.9681	0.9995	0.9995	0.9990	0.9802	0.9953
ColoRect-AdenoCA	w_0	100	100	0.3739	0.2772	0.4646	0.9780	2.7539	0.2528	0.2421	0.2688	1.0800	0.3344	0.9600	0.7018	0.2869	0.7012	0.2474	0.9858	0.0144	0.6892	0.2552	0.6831	0.2621	0.1324	0.6871	0.8331	0.5925	0.3817	0.8998	0.9837
ColoRect-AdenoCA	w_0	100	2000	0.0487	0.0592	0.0764	0.9999	2.7029	0.0471	0.0032	0.0165	0.0500	0.0174	0.2400	0.9868	0.0589	0.9504	0.1044	0.9993	0.0029	0.9640	0.0684	0.9646	0.0673	0.9535	0.9629	0.9921	0.9926	0.9772	0.9956	0.9995
ColoRect-AdenoCA	w_0	100	50000	0.0104	0.0119	0.0158	1.0000	2.7551	0.0102	0.0003	0.0020	0.0400	0.0024	0.1400	0.9893	0.0539	0.9738	0.0816	0.9995	0.0026	0.9785	0.0559	0.9790	0.0543	0.9984	0.9993	0.9996	0.9996	0.9989	0.9999	1.0000
ColoRect-AdenoCA	w_1	100	100	0.3643	0.2510	0.4417	0.9758	2.7422	0.2563	0.2160	0.2366	1.1000	0.2969	0.9300	0.7095	0.2610	0.7298	0.2337	0.9855	0.0152	0.7012	0.2333	0.6977	0.2379	0.2314	0.6547	0.7465	0.7888	0.3669	0.5207	0.9795
ColoRect-AdenoCA	w_1	100	2000	0.0716	0.0955	0.1190	1.0000	2.5549	0.0700	0.0033	0.0182	0.0500	0.0471	0.3400	0.9895	0.0460	0.9255	0.1177	0.9993	0.0029	0.9518	0.0727	0.9523	0.0718	0.8725	0.9484	0.9880	0.9839	0.9403	0.9875	0.9997
ColoRect-AdenoCA	w_1	100	50000	0.0092	0.0104	0.0139	1.0000	2.7323	0.0092	0.0001	0.0004	0.0200	0.0011	0.0700	0.9960	0.0280	0.9870	0.0487	0.9997	0.0019	0.9906	0.0308	0.9905	0.0309	0.9984	0.9995	0.9995	0.9998	0.9992	0.9999	1.0000
