cancer_type	weights	samples	muts	TAE	TAE_std	RMSE	wT	n_eff	MAE_TP	wT_FP	wT_FP_std	n_FP	wT_FN	n_FN	P	P_std	R	R_std	S	S_std	F1	F1_std	MCC	MCC_std	Pearson	r_S1	r_S2	r_S3	r_S4	r_S5	r_S6
Head-SCC	w_0	100	100	0.4785	0.1620	0.5049	0.5149	2.6579	0.3747	0.2075	0.1722	1.4600	0.6476	1.7400	0.5300	0.3459	0.4180	0.2336	0.9808	0.0153	0.4508	0.2606	0.4482	0.2650	-0.3881	0.1019	0.9484	0.9506	0.8026	0.3144	0.6709
Head-SCC	w_0	100	2000	0.2600	0.0927	0.2759	0.9825	5.4515	0.1423	0.2356	0.0904	12.7900	0.0388	0.2400	0.2745	0.0545	0.9539	0.0951	0.8273	0.0423	0.4240	0.0700	0.4586	0.0774	0.9146	0.8310	0.9974	0.9947	0.9787	0.9597	0.9783
Head-SCC	w_0	100	50000	0.0573	0.0192	0.0604	0.9999	3.4889	0.0301	0.0546	0.0195	20.2600	0.0000	0.0000	0.2023	0.0386	1.0000	0.0000	0.7260	0.0462	0.3349	0.0521	0.3822	0.0454	0.9981	0.9910	0.9999	0.9997	0.9993	0.9991	0.9991
Head-SCC	w_1	100	100	0.4712	0.1583	0.4968	0.5409	2.7943	0.3612	0.2200	0.1486	1.5800	0.6170	1.7600	0.4988	0.2970	0.4348	0.2355	0.9792	0.0146	0.4519	0.2446	0.4433	0.2474	-0.3112	0.2617	0.9425	0.9581	0.7767	0.2763	0.5854
Head-SCC	w_1	100	2000	0.2382	0.0759	0.2499	0.9819	5.2328	0.1309	0.2146	0.0762	12.1700	0.0268	0.1900	0.2848	0.0636	0.9629	0.0814	0.8358	0.0405	0.4362	0.0749	0.4727	0.0745	0.9334	0.8397	0.9949	0.9953	0.9779	0.9774	0.9834
Head-SCC	w_1	100	50000	0.0557	0.0193	0.0590	0.9999	3.4934	0.0297	0.0521	0.0185	19.4800	0.0006	0.0100	0.2032	0.0364	0.9980	0.0199	0.7370	0.0405	0.3361	0.0492	0.3852	0.0418	0.9976	0.9914	0.9998	0.9999	0.9992	0.9989	0.9993
ColoRect-AdenoCA	w_0	100	100	0.4520	0.1825	0.4871	0.5585	2.7553	0.3475	0.2089	0.1549	1.5100	0.5584	1.6500	0.5197	0.3276	0.4788	0.2931	0.9801	0.0146	0.4804	0.2834	0.4749	0.2888	-0.1697	0.4683	0.8002	0.6598	0.2607	0.9560	0.9906
ColoRect-AdenoCA	w_0	100	2000	0.2432	0.0963	0.2614	0.9813	4.3035	0.1317	0.2231	0.0975	12.2900	0.0497	0.4300	0.2251	0.0794	0.8956	0.1247	0.8367	0.0442	0.3529	0.1003	0.3950	0.0960	0.9408	0.8946	0.9852	0.9869	0.9667	0.9819	0.9991
ColoRect-AdenoCA	w_0	100	50000	0.0551	0.0193	0.0583	0.9999	3.0587	0.0291	0.0520	0.0188	20.1500	0.0018	0.0800	0.1588	0.0439	0.9817	0.0652	0.7318	0.0448	0.2709	0.0640	0.3324	0.0576	0.9976	0.9959	0.9993	0.9994	0.9987	0.9998	0.9999
ColoRect-AdenoCA	w_1	100	100	0.4625	0.1636	0.4903	0.5415	2.6862	0.3586	0.2077	0.1510	1.4900	0.5648	1.6800	0.5212	0.2969	0.4733	0.2696	0.9804	0.0134	0.4720	0.2471	0.4676	0.2531	-0.2030	0.3636	0.7201	0.7792	0.2829	0.7602	0.9794
ColoRect-AdenoCA	w_1	100	2000	0.2418	0.0923	0.2587	0.9805	4.2911	0.1315	0.2206	0.0931	12.7100	0.0399	0.2900	0.2207	0.0854	0.9245	0.1207	0.8313	0.0457	0.3488	0.1036	0.3988	0.0977	0.9289	0.9334	0.9767	0.9825	0.9553	0.9813	0.9990
ColoRect-AdenoCA	w_1	100	50000	0.0546	0.0198	0.0581	0.9999	3.0275	0.0286	0.0520	0.0186	19.4900	0.0010	0.0500	0.1616	0.0456	0.9885	0.0518	0.7409	0.0459	0.2752	0.0672	0.3394	0.0583	0.9976	0.9969	0.9989	0.9993	0.9990	0.9995	0.9999
