sample	SBS1	SBS2	SBS3	SBS4	SBS5	SBS7a	SBS7b	SBS13	SBS16	SBS17b	SBS18	SBS33	SBS40
S0	0.092425	0.000000	0.000000	0.000000	0.276993	0.000000	0.000000	0.000000	0.000000	0.022706	0.116073	0.000000	0.491803
S1	0.076117	0.096019	0.000000	0.000000	0.240504	0.000000	0.000000	0.071787	0.000000	0.000000	0.000000	0.000000	0.515573
S2	0.268686	0.108331	0.000000	0.000000	0.580507	0.000000	0.000000	0.042476	0.000000	0.000000	0.000000	0.000000	0.000000
S3	0.095427	0.281528	0.000000	0.000000	0.182736	0.000000	0.000000	0.135617	0.000000	0.000000	0.000000	0.000000	0.304692
S4	0.122861	0.067900	0.000000	0.000000	0.454432	0.000000	0.000000	0.058717	0.000000	0.000000	0.296090	0.000000	0.000000
S5	0.037724	0.197570	0.000000	0.000000	0.279811	0.000000	0.000000	0.131714	0.000000	0.000000	0.000000	0.000000	0.353181
S6	0.069322	0.066826	0.000000	0.000000	0.483209	0.000000	0.000000	0.053551	0.000000	0.000000	0.327093	0.000000	0.000000
S7	0.029537	0.032354	0.000000	0.257903	0.637883	0.000000	0.000000	0.042323	0.000000	0.000000	0.000000	0.000000	0.000000
S8	0.013546	0.337473	0.000000	0.000000	0.249452	0.000000	0.000000	0.399529	0.000000	0.000000	0.000000	0.000000	0.000000
S9	0.093590	0.056410	0.000000	0.000000	0.614103	0.000000	0.000000	0.073077	0.000000	0.000000	0.162821	0.000000	0.000000
S10	0.015570	0.402362	0.000000	0.000000	0.135260	0.000000	0.000000	0.446808	0.000000	0.000000	0.000000	0.000000	0.000000
S11	0.077351	0.212236	0.000000	0.000000	0.197985	0.000000	0.000000	0.195201	0.000000	0.000000	0.000000	0.000000	0.317227
S12	0.118663	0.162537	0.000000	0.000000	0.374744	0.000000	0.000000	0.149807	0.000000	0.000000	0.194249	0.000000	0.000000
S13	0.157129	0.066731	0.000000	0.000000	0.522793	0.000000	0.000000	0.028128	0.000000	0.000000	0.225218	0.000000	0.000000
S14	0.000000	0.020600	0.000000	0.521701	0.412186	0.000000	0.000000	0.045513	0.000000	0.000000	0.000000	0.000000	0.000000
S15	0.141312	0.061061	0.000000	0.000000	0.517446	0.000000	0.000000	0.029309	0.000000	0.000000	0.250872	0.000000	0.000000
